word,group,subsubsection,subsection,section,content
2,8,0,0,2,"RECORDS,"
3,8,0,0,2,AND
4,8,0,0,2,REPORTS
0,9,0,0,2,REPORTING
1,9,0,0,2,EQUIPMENT
2,9,0,0,2,IMPROVEMENT
3,9,0,0,2,RECOMMENDATIONS
4,9,0,0,2,(EIR)
0,10,0,0,2,CORROSION
1,10,0,0,2,PREVENTION
2,10,0,0,2,AND
3,10,0,0,2,CONTROL
4,10,0,0,2,(CPC)
0,11,0,0,2,CORROSION
1,11,0,0,2,PREVENTION
2,11,0,0,2,AND
3,11,0,0,2,CONTROL
4,11,0,0,2,(CPC)
5,11,0,0,2,-
6,11,0,0,2,Continued
0,12,0,0,2,DESTRUCTION
1,12,0,0,2,OF
2,12,0,0,2,ARMY
3,12,0,0,2,MATERIAL
4,12,0,0,2,TO
5,12,0,0,2,PREVENT
6,12,0,0,2,ENEMY
7,12,0,0,2,USE
0,13,0,0,2,PREPARATION
1,13,0,0,2,FOR
2,13,0,0,2,STORAGE
3,13,0,0,2,OR
4,13,0,0,2,SHIPMENT
0,14,0,0,2,WARRANTY
1,14,0,0,2,INFORMATION
0,15,0,0,2,LIST
1,15,0,0,2,OF
2,15,0,0,2,ABBREVIATIONS
3,15,0,0,2,AND
4,15,0,0,2,SYMBOLS
0,16,0,0,2,LIST
1,16,0,0,2,OF
2,16,0,0,2,ABBREVIATIONS
3,16,0,0,2,AND
4,16,0,0,2,SYMBOLS
5,16,0,0,2,-
6,16,0,0,2,Continued
0,17,0,0,2,LIST
1,17,0,0,2,OF
2,17,0,0,2,ABBREVIATIONS
3,17,0,0,2,AND
4,17,0,0,2,SYMBOLS
5,17,0,0,2,-
6,17,0,0,2,Continued
0,18,0,0,2,LIST
1,18,0,0,2,OF
2,18,0,0,2,ABBREVIATIONS
3,18,0,0,2,AND
4,18,0,0,2,SYMBOLS
5,18,0,0,2,-
6,18,0,0,2,Continued
0,19,0,0,2,Square
1,19,0,0,2,Inch
2,19,0,0,2,m
3,19,0,0,2,2
0,20,0,0,2,QUALITY
1,20,0,0,2,OF
2,20,0,0,2,MATERIAL
0,21,0,0,2,"SAFETY,"
1,21,0,0,2,"CARE,"
2,21,0,0,2,AND
3,21,0,0,2,HANDLING
0,22,0,0,2,"SAFETY,"
1,22,0,0,2,"CARE,"
2,22,0,0,2,AND
3,22,0,0,2,HANDLING
4,22,0,0,2,-
5,22,0,0,2,Continued
0,23,0,0,2,WARNING
0,24,0,0,2,ITEM
1,24,0,0,2,UNIQUE
2,24,0,0,2,IDENTIFICATION
0,25,0,0,2,SPECIAL
1,25,0,0,2,INSTRUCTIONS
2,25,0,0,2,FOR
3,25,0,0,2,ADMINISTRATIVE
4,25,0,0,2,STORAGE
0,26,0,0,2,COPYRIGHT
1,26,0,0,2,RELEASE
0,27,0,0,2,Furuno
1,27,0,0,2,USA
2,27,0,0,2,4400
3,27,0,0,2,NW
4,27,0,0,2,Pacific
5,27,0,0,2,Rim
6,27,0,0,2,"Blvd,"
7,27,0,0,2,"Cames,"
8,27,0,0,2,WA
9,27,0,0,2,98607
0,28,0,0,2,Boatmaster
1,28,0,0,2,11950
2,28,0,0,2,Amedicus
3,28,0,0,2,"Lane,"
4,28,0,0,2,Fort
5,28,0,0,2,"Meyers,"
6,28,0,0,2,FL
7,28,0,0,2,33907
0,29,0,0,2,Evinrude
1,29,0,0,2,10101
2,29,0,0,2,Science
3,29,0,0,2,"Drive,"
4,29,0,0,2,"Sturtevant,"
5,29,0,0,2,WI
6,29,0,0,2,53177
0,30,0,0,2,END
1,30,0,0,2,OF
2,30,0,0,2,WORK
3,30,0,0,2,PACKAGE
0,31,0,0,2,0001-8
0,32,0,0,2,OPERATOR
0,0,0,1,2,EQUIPMENT
1,0,0,1,2,DESCRIPTION
0,1,0,1,2,CAPABILITIES
1,1,0,1,2,AND
2,1,0,1,2,FEATURES
0,2,0,1,2,De-Watering
1,2,0,1,2,System.
0,3,0,1,2,Anti-corrosion
1,3,0,1,2,anodes.
0,4,0,1,2,LOCATION
1,4,0,1,2,AND
2,4,0,1,2,DESCRIPTION
3,4,0,1,2,OF
4,4,0,1,2,MAJOR
5,4,0,1,2,COMPONENTS
0,5,0,1,2,Figure
1,5,0,1,2,1.
2,5,0,1,2,RIB
3,5,0,1,2,Components.
0,6,0,1,2,LOCATION
1,6,0,1,2,AND
2,6,0,1,2,DESCRIPTION
3,6,0,1,2,OF
4,6,0,1,2,MAJOR
5,6,0,1,2,COMPONENTS
6,6,0,1,2,-
7,6,0,1,2,Continued
0,7,0,1,2,Table
1,7,0,1,2,1.
2,7,0,1,2,RIB
3,7,0,1,2,Components.
0,8,0,1,2,Item
1,8,0,1,2,Component
2,8,0,1,2,Description
0,9,0,1,2,LOCATION
1,9,0,1,2,AND
2,9,0,1,2,DESCRIPTION
3,9,0,1,2,OF
4,9,0,1,2,MAJOR
5,9,0,1,2,COMPONENTS
6,9,0,1,2,-
7,9,0,1,2,Continued
0,10,0,1,2,Figure
1,10,0,1,2,2.
2,10,0,1,2,Hull
3,10,0,1,2,Components.
0,11,0,1,2,Table
1,11,0,1,2,2.
2,11,0,1,2,Hull
3,11,0,1,2,Components.
0,12,0,1,2,Item
1,12,0,1,2,Component
2,12,0,1,2,Description
0,13,0,1,2,LOCATION
1,13,0,1,2,AND
2,13,0,1,2,DESCRIPTION
3,13,0,1,2,OF
4,13,0,1,2,MAJOR
5,13,0,1,2,COMPONENTS
6,13,0,1,2,-
7,13,0,1,2,Continued
0,14,0,1,2,Figure
1,14,0,1,2,3.
2,14,0,1,2,Rear
3,14,0,1,2,Hull
4,14,0,1,2,Components.
0,15,0,1,2,Table
1,15,0,1,2,3.
2,15,0,1,2,Rear
3,15,0,1,2,Hull
4,15,0,1,2,Components.
0,16,0,1,2,Item
1,16,0,1,2,Component
2,16,0,1,2,Description
0,17,0,1,2,LOCATION
1,17,0,1,2,AND
2,17,0,1,2,DESCRIPTION
3,17,0,1,2,OF
4,17,0,1,2,MAJOR
5,17,0,1,2,COMPONENTS
6,17,0,1,2,-
7,17,0,1,2,Continued
0,18,0,1,2,Figure
1,18,0,1,2,4.
2,18,0,1,2,Hull
3,18,0,1,2,Electrical
4,18,0,1,2,Components.
0,19,0,1,2,Table
1,19,0,1,2,4.
2,19,0,1,2,Hull
3,19,0,1,2,Electrical
4,19,0,1,2,Components.
0,20,0,1,2,Item
1,20,0,1,2,Component
2,20,0,1,2,Description
0,21,0,1,2,LOCATION
1,21,0,1,2,AND
2,21,0,1,2,DESCRIPTION
3,21,0,1,2,OF
4,21,0,1,2,MAJOR
5,21,0,1,2,COMPONENTS
6,21,0,1,2,-
7,21,0,1,2,Continued
0,22,0,1,2,Figure
1,22,0,1,2,5.
2,22,0,1,2,Electrical
3,22,0,1,2,Components.
0,23,0,1,2,Table
1,23,0,1,2,5.
2,23,0,1,2,Electrical
3,23,0,1,2,Components.
0,24,0,1,2,Item
1,24,0,1,2,Component
2,24,0,1,2,Description
0,25,0,1,2,Navigation
1,25,0,1,2,Lights
0,26,0,1,2,0002-11
0,27,0,1,2,LOCATION
1,27,0,1,2,AND
2,27,0,1,2,DESCRIPTION
3,27,0,1,2,OF
4,27,0,1,2,MAJOR
5,27,0,1,2,COMPONENTS
6,27,0,1,2,-
7,27,0,1,2,Continued
0,28,0,1,2,Figure
1,28,0,1,2,6.
2,28,0,1,2,Hull
3,28,0,1,2,Fuel
4,28,0,1,2,Components.
0,29,0,1,2,Table
1,29,0,1,2,6.
2,29,0,1,2,Hull
3,29,0,1,2,Fuel
4,29,0,1,2,Components.
0,30,0,1,2,Item
1,30,0,1,2,Component
2,30,0,1,2,Description
0,31,0,1,2,0002-12
0,32,0,1,2,LOCATION
1,32,0,1,2,AND
2,32,0,1,2,DESCRIPTION
3,32,0,1,2,OF
4,32,0,1,2,MAJOR
5,32,0,1,2,COMPONENTS
6,32,0,1,2,-
7,32,0,1,2,Continued
0,33,0,1,2,Figure
1,33,0,1,2,7.
2,33,0,1,2,Engine
3,33,0,1,2,Components.
0,34,0,1,2,Table
1,34,0,1,2,7.
2,34,0,1,2,Engine
3,34,0,1,2,Components.
0,35,0,1,2,Item
1,35,0,1,2,Component
2,35,0,1,2,Description
0,36,0,1,2,0002-13
0,37,0,1,2,EQUIPMENT
1,37,0,1,2,DATA
0,38,0,1,2,Table
1,38,0,1,2,8.
2,38,0,1,2,RIB
3,38,0,1,2,Equipment
4,38,0,1,2,Data.
0,39,0,1,2,Hull
1,39,0,1,2,Material
2,39,0,1,2,Aluminum
0,40,0,1,2,Inflatable
1,40,0,1,2,Tube
2,40,0,1,2,Material
3,40,0,1,2,Polyurethane
0,41,0,1,2,Electrical
1,41,0,1,2,System:
0,42,0,1,2,"Battery,"
1,42,0,1,2,Type
2,42,0,1,2,12
3,42,0,1,2,Voltage
4,42,0,1,2,(V)
5,42,0,1,2,Marine
6,42,0,1,2,Battery
0,43,0,1,2,"Battery,"
1,43,0,1,2,Number
2,43,0,1,2,5
0,44,0,1,2,Circuit
1,44,0,1,2,Breakers:
0,45,0,1,2,1x50A
1,45,0,1,2,Bilge
2,45,0,1,2,Pumps
0,46,0,1,2,3x80A
1,46,0,1,2,"House,"
2,46,0,1,2,"Port,"
3,46,0,1,2,Starboard
4,46,0,1,2,Batteries
0,47,0,1,2,1x40A
1,47,0,1,2,Spare
0,48,0,1,2,Controls:
0,49,0,1,2,Throttle
1,49,0,1,2,Electronic
0,50,0,1,2,Steering
1,50,0,1,2,Hydraulic
0,51,0,1,2,Capacities:
0,52,0,1,2,0002-14
0,53,0,1,2,EQUIPMENT
1,53,0,1,2,DATA
2,53,0,1,2,-
3,53,0,1,2,Continued
0,54,0,1,2,Table
1,54,0,1,2,8.
2,54,0,1,2,RIB
3,54,0,1,2,Equipment
4,54,0,1,2,Data
5,54,0,1,2,-
6,54,0,1,2,Continued.
0,55,0,1,2,Engine:
0,56,0,1,2,Model
1,56,0,1,2,E250Z
0,57,0,1,2,Type
1,57,0,1,2,"6-cylinder,"
2,57,0,1,2,2-stroke
0,58,0,1,2,Peak
1,58,0,1,2,Output
2,58,0,1,2,250
3,58,0,1,2,HP
4,58,0,1,2,@
5,58,0,1,2,5500
6,58,0,1,2,RPM
0,59,0,1,2,Idle
1,59,0,1,2,Speed
2,59,0,1,2,450-550
3,59,0,1,2,RPM
0,60,0,1,2,Maximum
1,60,0,1,2,RPM
2,60,0,1,2,6000
3,60,0,1,2,RPM
0,61,0,1,2,Rotation
1,61,0,1,2,–
2,61,0,1,2,Port
3,61,0,1,2,Counter
4,61,0,1,2,Clockwise
0,62,0,1,2,Rotation
1,62,0,1,2,–
2,62,0,1,2,Starboard
3,62,0,1,2,Clockwise
0,63,0,1,2,Fuel
1,63,0,1,2,Type
2,63,0,1,2,"Gasoline,"
3,63,0,1,2,Unleaded
0,64,0,1,2,Trailer:
0,65,0,1,2,Model
1,65,0,1,2,WS8M-180
0,66,0,1,2,Axles
1,66,0,1,2,3
2,66,0,1,2,Axles
0,67,0,1,2,Tire
1,67,0,1,2,Size
2,67,0,1,2,245/75R16
0,68,0,1,2,Material
1,68,0,1,2,Aluminum
0,69,0,1,2,Weights:
0,70,0,1,2,0002-15
0,71,0,1,2,EQUIPMENT
1,71,0,1,2,DATA
2,71,0,1,2,-
3,71,0,1,2,Continued
0,72,0,1,2,Table
1,72,0,1,2,8.
2,72,0,1,2,RIB
3,72,0,1,2,Equipment
4,72,0,1,2,Data
5,72,0,1,2,-
6,72,0,1,2,Continued.
0,73,0,1,2,END
1,73,0,1,2,OF
2,73,0,1,2,WORK
3,73,0,1,2,PACKAGE
0,74,0,1,2,0002-16
0,75,0,1,2,OPERATOR
0,0,0,2,2,THEORY
1,0,0,2,2,OF
2,0,0,2,2,OPERATION
0,1,0,2,2,INTRODUCTION
0,2,0,2,2,DRIVE
1,2,0,2,2,SYSTEM
0,3,0,2,2,ELECTRICAL
1,3,0,2,2,SYSTEM
0,4,0,2,2,END
1,4,0,2,2,OF
2,4,0,2,2,WORK
3,4,0,2,2,PACKAGE
0,5,0,2,2,0003-1/blank
0,6,0,2,2,CHAPTER
1,6,0,2,2,2
0,0,0,0,3,FOR
0,1,0,0,3,RIGID
1,1,0,0,3,INFLATABLE
2,1,0,0,3,BOAT
3,1,0,0,3,(RIB)
0,2,0,0,3,TM
1,2,0,0,3,5-1940-328-10
0,3,0,0,3,OPERATOR
1,3,0,0,3,INSTRUCTIONS
0,0,0,1,3,CONTROLS
1,0,0,1,3,AND
2,0,0,1,3,INDICATORS
0,1,0,1,3,Key
1,1,0,1,3,Control/Indicator
2,1,0,1,3,Function
0,2,0,1,3,HOUSE
1,2,0,1,3,BREAKER
0,3,0,1,3,AMP
0,4,0,1,3,24
1,4,0,1,3,HOUR
2,4,0,1,3,POWER
0,5,0,1,3,AMP
0,6,0,1,3,STBD
1,6,0,1,3,ENGINE
2,6,0,1,3,BATTERY
3,6,0,1,3,SWITCH
0,7,0,1,3,Figure
1,7,0,1,3,2.
2,7,0,1,3,Control
3,7,0,1,3,Panel
4,7,0,1,3,Control
5,7,0,1,3,Switches.
0,8,0,1,3,Table
1,8,0,1,3,2.
2,8,0,1,3,Control
3,8,0,1,3,Panel
4,8,0,1,3,Switches.
0,9,0,1,3,Key
1,9,0,1,3,Control/Indicator
2,9,0,1,3,Function
0,10,0,1,3,Figure
1,10,0,1,3,3.
2,10,0,1,3,Operating
3,10,0,1,3,Switch
4,10,0,1,3,Panel
5,10,0,1,3,1.
0,11,0,1,3,Table
1,11,0,1,3,3.
2,11,0,1,3,Operation
3,11,0,1,3,Switch
4,11,0,1,3,Panel
5,11,0,1,3,1.
0,12,0,1,3,Key
1,12,0,1,3,Control/Indicator
2,12,0,1,3,Function
0,13,0,1,3,INSTRUMENT
1,13,0,1,3,LIGHTS
0,14,0,1,3,Figure
1,14,0,1,3,4.
2,14,0,1,3,Operating
3,14,0,1,3,Switch
4,14,0,1,3,Panel
5,14,0,1,3,2.
0,15,0,1,3,Table
1,15,0,1,3,4.
2,15,0,1,3,Operation
3,15,0,1,3,Switch
4,15,0,1,3,Panel
5,15,0,1,3,2.
0,16,0,1,3,Key
1,16,0,1,3,Control/Indicator
2,16,0,1,3,Function
0,17,0,1,3,Figure
1,17,0,1,3,5.
2,17,0,1,3,Cabin
3,17,0,1,3,Console
4,17,0,1,3,Controls.
0,18,0,1,3,Table
1,18,0,1,3,5.
2,18,0,1,3,Cabin
3,18,0,1,3,Console
4,18,0,1,3,Controls.
0,19,0,1,3,Key
1,19,0,1,3,Control/Indicator
2,19,0,1,3,Function
0,20,0,1,3,PORT
1,20,0,1,3,THROTTLE
2,20,0,1,3,LEVER
0,21,0,1,3,0004-13
0,22,0,1,3,Figure
1,22,0,1,3,7.
2,22,0,1,3,Command
3,22,0,1,3,Microphone.
0,23,0,1,3,Table
1,23,0,1,3,7.
2,23,0,1,3,Command
3,23,0,1,3,Microphone
4,23,0,1,3,Controls.
0,24,0,1,3,Key
1,24,0,1,3,Control/Indicator
2,24,0,1,3,Function
0,25,0,1,3,POWER
1,25,0,1,3,KNOB
2,25,0,1,3,“PWR”/SQUELCH
3,25,0,1,3,DIAL
4,25,0,1,3,“SQL”/
5,25,0,1,3,VOLUME
6,25,0,1,3,DIAL
7,25,0,1,3,“VOL”
0,26,0,1,3,0004-14
0,27,0,1,3,Table
1,27,0,1,3,7.
2,27,0,1,3,Command
3,27,0,1,3,Microphone
4,27,0,1,3,Controls
5,27,0,1,3,-
6,27,0,1,3,Continued.
0,28,0,1,3,Key
1,28,0,1,3,Control/Indicator
2,28,0,1,3,Function
0,29,0,1,3,LEFT
1,29,0,1,3,AND
2,29,0,1,3,RIGHT
3,29,0,1,3,KEYS
4,29,0,1,3,”<
5,29,0,1,3,/
6,29,0,1,3,>”
0,30,0,1,3,CHANNEL
1,30,0,1,3,16/
2,30,0,1,3,CALL
3,30,0,1,3,CHANNEL
4,30,0,1,3,KEY
0,31,0,1,3,UP
1,31,0,1,3,AND
2,31,0,1,3,DOWN/
3,31,0,1,3,CHANNEL
4,31,0,1,3,SELECT
5,31,0,1,3,KEYS
6,31,0,1,3,“/\
7,31,0,1,3,/
8,31,0,1,3,\/”
0,32,0,1,3,MENU
1,32,0,1,3,KEY
2,32,0,1,3,“MENU”
0,33,0,1,3,0004-15
0,34,0,1,3,Figure
1,34,0,1,3,8.
2,34,0,1,3,Command
3,34,0,1,3,Microphone
4,34,0,1,3,Display
5,34,0,1,3,Overview.
0,35,0,1,3,Table
1,35,0,1,3,8.
2,35,0,1,3,Command
3,35,0,1,3,Microphone
4,35,0,1,3,Display.
0,36,0,1,3,Key
1,36,0,1,3,Control/Indicator
2,36,0,1,3,Function
0,37,0,1,3,BUSY/TRANSMIT
1,37,0,1,3,ICON
0,38,0,1,3,CHANNEL
1,38,0,1,3,GROUP
2,38,0,1,3,ICON
0,39,0,1,3,TIME
1,39,0,1,3,ZONE
2,39,0,1,3,INDICATOR
0,40,0,1,3,POSITION
1,40,0,1,3,INDICATOR
0,41,0,1,3,0004-17
0,42,0,1,3,Figure
1,42,0,1,3,9.
2,42,0,1,3,VHF
3,42,0,1,3,Microphone
4,42,0,1,3,Controls.
0,43,0,1,3,Table
1,43,0,1,3,9.
2,43,0,1,3,VHF
3,43,0,1,3,Microphone
4,43,0,1,3,Controls.
0,44,0,1,3,Key
1,44,0,1,3,Control/Indicator
2,44,0,1,3,Function
0,45,0,1,3,TRANSMIT
1,45,0,1,3,POWER
2,45,0,1,3,KEY
0,46,0,1,3,CHANNEL
1,46,0,1,3,16/
2,46,0,1,3,CALL
3,46,0,1,3,CHANNEL
4,46,0,1,3,KEY
0,47,0,1,3,END
1,47,0,1,3,OF
2,47,0,1,3,WORK
3,47,0,1,3,PACKAGE
0,48,0,1,3,0004-18
0,49,0,1,3,OPERATOR
1,49,0,1,3,INSTRUCTIONS
0,0,0,2,3,INITIAL
1,0,0,2,3,SETUP:
0,1,0,2,3,Personnel
1,1,0,2,3,Required
2,1,0,2,3,Diver
3,1,0,2,3,12D
0,2,0,2,3,References
1,2,0,2,3,WP
2,2,0,2,3,0014
3,2,0,2,3,WP
4,2,0,2,3,0019
0,3,0,2,3,Pre-Start
1,3,0,2,3,Procedures
0,4,0,2,3,WARNING
0,5,0,2,3,Pre-Start
1,5,0,2,3,Procedures
2,5,0,2,3,-
3,5,0,2,3,Continued
0,6,0,2,3,Figure
1,6,0,2,3,8.
2,6,0,2,3,Fuel
3,6,0,2,3,Valves.
0,7,0,2,3,Figure
1,7,0,2,3,9.
2,7,0,2,3,Ignition
3,7,0,2,3,Key.
0,8,0,2,3,END
1,8,0,2,3,OF
2,8,0,2,3,WORK
3,8,0,2,3,PACKAGE
0,9,0,2,3,0005-7/blank
0,10,0,2,3,OPERATOR
1,10,0,2,3,INSTRUCTIONS
0,0,0,3,3,INITIAL
1,0,0,3,3,SETUP:
0,1,0,3,3,Personnel
1,1,0,3,3,Required
2,1,0,3,3,Diver
3,1,0,3,3,12D
4,1,0,3,3,Assistant
5,1,0,3,3,(2)
0,2,0,3,3,References
1,2,0,3,3,WP
2,2,0,3,3,0007
3,2,0,3,3,WP
4,2,0,3,3,0008
5,2,0,3,3,WP
6,2,0,3,3,0010
0,3,0,3,3,WARNING
0,4,0,3,3,WARNING
0,5,0,3,3,WARNING
0,6,0,3,3,WARNING
0,7,0,3,3,CAUTION
0,8,0,3,3,Figure
1,8,0,3,3,4.
2,8,0,3,3,Engine
3,8,0,3,3,Lock
4,8,0,3,3,Lever.
0,9,0,3,3,WARNING
0,10,0,3,3,CAUTION
0,11,0,3,3,Figure
1,11,0,3,3,7.
2,11,0,3,3,Snatch
3,11,0,3,3,Block.
0,12,0,3,3,CAUTION
0,13,0,3,3,NOTE
0,14,0,3,3,END
1,14,0,3,3,OF
2,14,0,3,3,WORK
3,14,0,3,3,PACKAGE
0,15,0,3,3,0006-8
0,16,0,3,3,OPERATOR
1,16,0,3,3,INSTRUCTIONS
0,0,0,4,3,INITIAL
1,0,0,4,3,SETUP:
0,1,0,4,3,Personnel
