subsubsection,subsection,section,content
0,1,2,PREPARATION FOR STORAGE OR SHIPMENT
0,1,2,WARRANTY INFORMATION
0,1,2,LIST OF ABBREVIATIONS AND SYMBOLS
0,1,2,LIST OF ABBREVIATIONS AND SYMBOLS - Continued
0,1,2,LIST OF ABBREVIATIONS AND SYMBOLS - Continued
0,1,2,LIST OF ABBREVIATIONS AND SYMBOLS - Continued
0,1,2,Square Inch m 2
0,1,2,QUALITY OF MATERIAL
0,1,2,"SAFETY, CARE, AND HANDLING"
0,1,2,"SAFETY, CARE, AND HANDLING - Continued"
0,1,2,WARNING
0,1,2,ITEM UNIQUE IDENTIFICATION
0,1,2,SPECIAL INSTRUCTIONS FOR ADMINISTRATIVE STORAGE
0,1,2,COPYRIGHT RELEASE
0,1,2,"Furuno USA 4400 NW Pacific Rim Blvd, Cames, WA 98607"
0,1,2,"Boatmaster 11950 Amedicus Lane, Fort Meyers, FL 33907"
0,1,2,"Evinrude 10101 Science Drive, Sturtevant, WI 53177"
0,1,2,END OF WORK PACKAGE
0,1,2,0001-8
0,1,2,OPERATOR
0,2,2,EQUIPMENT DESCRIPTION
0,2,2,CAPABILITIES AND FEATURES
0,2,2,De-Watering System.
0,2,2,Anti-corrosion anodes.
0,2,2,LOCATION AND DESCRIPTION OF MAJOR COMPONENTS
0,2,2,Figure 1. RIB Components.
0,2,2,LOCATION AND DESCRIPTION OF MAJOR COMPONENTS - Continued
0,2,2,Table 1. RIB Components.
0,2,2,Item Component Description
0,2,2,LOCATION AND DESCRIPTION OF MAJOR COMPONENTS - Continued
0,2,2,Figure 2. Hull Components.
0,2,2,Table 2. Hull Components.
0,2,2,Item Component Description
0,2,2,LOCATION AND DESCRIPTION OF MAJOR COMPONENTS - Continued
0,2,2,Figure 3. Rear Hull Components.
0,2,2,Table 3. Rear Hull Components.
0,2,2,Item Component Description
0,2,2,LOCATION AND DESCRIPTION OF MAJOR COMPONENTS - Continued
0,2,2,Figure 4. Hull Electrical Components.
0,2,2,Table 4. Hull Electrical Components.
0,2,2,Item Component Description
0,2,2,LOCATION AND DESCRIPTION OF MAJOR COMPONENTS - Continued
0,2,2,Figure 5. Electrical Components.
0,2,2,Table 5. Electrical Components.
0,2,2,Item Component Description
0,2,2,Navigation Lights
0,2,2,0002-11
0,2,2,LOCATION AND DESCRIPTION OF MAJOR COMPONENTS - Continued
0,2,2,Figure 6. Hull Fuel Components.
0,2,2,Table 6. Hull Fuel Components.
0,2,2,Item Component Description
0,2,2,0002-12
0,2,2,LOCATION AND DESCRIPTION OF MAJOR COMPONENTS - Continued
0,2,2,Figure 7. Engine Components.
0,2,2,Table 7. Engine Components.
0,2,2,Item Component Description
0,2,2,0002-13
0,2,2,EQUIPMENT DATA
0,2,2,Table 8. RIB Equipment Data.
0,2,2,Hull Material Aluminum
0,2,2,Inflatable Tube Material Polyurethane
0,2,2,Electrical System:
0,2,2,"Battery, Type 12 Voltage (V) Marine Battery"
0,2,2,"Battery, Number 5"
0,2,2,Circuit Breakers:
0,2,2,1x50A Bilge Pumps
0,2,2,"3x80A House, Port, Starboard Batteries"
0,2,2,1x40A Spare
0,2,2,Controls:
0,2,2,Throttle Electronic
0,2,2,Steering Hydraulic
0,2,2,Capacities:
0,2,2,0002-14
0,2,2,EQUIPMENT DATA - Continued
0,2,2,Table 8. RIB Equipment Data - Continued.
0,2,2,Engine:
0,2,2,Model E250Z
0,2,2,"Type 6-cylinder, 2-stroke"
0,2,2,Peak Output 250 HP @ 5500 RPM
0,2,2,Idle Speed 450-550 RPM
0,2,2,Maximum RPM 6000 RPM
0,2,2,Rotation – Port Counter Clockwise
0,2,2,Rotation – Starboard Clockwise
0,2,2,"Fuel Type Gasoline, Unleaded"
0,2,2,Trailer:
0,2,2,Model WS8M-180
0,2,2,Axles 3 Axles
0,2,2,Tire Size 245/75R16
0,2,2,Material Aluminum
0,2,2,Weights:
0,2,2,0002-15
0,2,2,EQUIPMENT DATA - Continued
0,2,2,Table 8. RIB Equipment Data - Continued.
0,2,2,END OF WORK PACKAGE
0,2,2,0002-16
0,2,2,OPERATOR
0,3,2,THEORY OF OPERATION
0,3,2,INTRODUCTION
0,3,2,DRIVE SYSTEM
0,3,2,ELECTRICAL SYSTEM
0,3,2,END OF WORK PACKAGE
0,3,2,0003-1/blank
0,3,2,CHAPTER 2
0,0,3,FOR
0,0,3,RIGID INFLATABLE BOAT (RIB)
0,0,3,TM 5-1940-328-10
0,0,3,OPERATOR INSTRUCTIONS
0,1,3,CONTROLS AND INDICATORS
0,1,3,Key Control/Indicator Function
0,1,3,HOUSE BREAKER
0,1,3,AMP
0,1,3,24 HOUR POWER
0,1,3,AMP
0,1,3,STBD ENGINE BATTERY SWITCH
0,1,3,Figure 2. Control Panel Control Switches.
0,1,3,Table 2. Control Panel Switches.
0,1,3,Key Control/Indicator Function
0,1,3,Figure 3. Operating Switch Panel 1.
0,1,3,Table 3. Operation Switch Panel 1.
0,1,3,Key Control/Indicator Function
0,1,3,INSTRUMENT LIGHTS
0,1,3,Figure 4. Operating Switch Panel 2.
0,1,3,Table 4. Operation Switch Panel 2.
0,1,3,Key Control/Indicator Function
0,1,3,Figure 5. Cabin Console Controls.
0,1,3,Table 5. Cabin Console Controls.
0,1,3,Key Control/Indicator Function
0,1,3,PORT THROTTLE LEVER
0,1,3,0004-13
0,1,3,Figure 7. Command Microphone.
0,1,3,Table 7. Command Microphone Controls.
0,1,3,Key Control/Indicator Function
0,1,3,POWER KNOB “PWR”/SQUELCH DIAL “SQL”/ VOLUME DIAL “VOL”
0,1,3,0004-14
0,1,3,Table 7. Command Microphone Controls - Continued.
0,1,3,Key Control/Indicator Function
0,1,3,LEFT AND RIGHT KEYS ”< / >”
0,1,3,CHANNEL 16/ CALL CHANNEL KEY
0,1,3,UP AND DOWN/ CHANNEL SELECT KEYS “/\ / \/”
0,1,3,MENU KEY “MENU”
0,1,3,0004-15
0,1,3,Figure 8. Command Microphone Display Overview.
0,1,3,Table 8. Command Microphone Display.
0,1,3,Key Control/Indicator Function
0,1,3,BUSY/TRANSMIT ICON
0,1,3,CHANNEL GROUP ICON
0,1,3,TIME ZONE INDICATOR
0,1,3,POSITION INDICATOR
0,1,3,0004-17
0,1,3,Figure 9. VHF Microphone Controls.
0,1,3,Table 9. VHF Microphone Controls.
0,1,3,Key Control/Indicator Function
0,1,3,TRANSMIT POWER KEY
0,1,3,CHANNEL 16/ CALL CHANNEL KEY
0,1,3,END OF WORK PACKAGE
0,1,3,0004-18
0,1,3,OPERATOR INSTRUCTIONS
0,2,3,INITIAL SETUP:
0,2,3,Personnel Required Diver 12D
0,2,3,References WP 0014 WP 0019
0,2,3,Pre-Start Procedures
0,2,3,WARNING
0,2,3,Pre-Start Procedures - Continued
0,2,3,Figure 8. Fuel Valves.
0,2,3,Figure 9. Ignition Key.
0,2,3,END OF WORK PACKAGE
0,2,3,0005-7/blank
0,2,3,OPERATOR INSTRUCTIONS
0,3,3,INITIAL SETUP:
0,3,3,Personnel Required Diver 12D Assistant (2)
0,3,3,References WP 0007 WP 0008 WP 0010
0,3,3,WARNING
0,3,3,WARNING
0,3,3,WARNING
0,3,3,WARNING
0,3,3,CAUTION
0,3,3,Figure 4. Engine Lock Lever.
0,3,3,WARNING
0,3,3,CAUTION
0,3,3,Figure 7. Snatch Block.
0,3,3,CAUTION
0,3,3,NOTE
0,3,3,END OF WORK PACKAGE
0,3,3,0006-8
0,3,3,OPERATOR INSTRUCTIONS
0,4,3,INITIAL SETUP:
0,4,3,Personnel Required Diver 12D Assistant
0,4,3,References WP 0010 WP 0021
0,4,3,References (cont.) WP 0040 WP 0046
0,4,3,WARNING
0,4,3,WARNING
0,4,3,WARNING
0,4,3,CAUTION
0,4,3,CAUTION
0,4,3,END OF WORK PACKAGE
0,4,3,0007-4
0,4,3,OPERATOR INSTRUCTIONS
0,5,3,INITIAL SETUP:
0,5,3,Personnel Required Diver 12D Assistant (2)
0,5,3,References WP 0007
0,5,3,References (cont.) WP 0010 WP 0025
0,5,3,DOCKING PROCEDURES
0,5,3,WARNING
0,5,3,WARNING
0,5,3,WARNING
0,5,3,WARNING
0,5,3,CAUTION
0,5,3,NOTE
0,5,3,DOCKING PROCEDURES - Continued
0,5,3,CASTING-OFF PROCEDURES.
0,5,3,END OF WORK PACKAGE
0,5,3,0008-7/blank
0,5,3,OPERATOR INSTRUCTIONS
0,6,3,INITIAL SETUP:
0,6,3,Personnel Required Diver 12D Assistant
0,6,3,WARNING
0,6,3,CAUTION
0,6,3,General Information
0,6,3,Figure 1. Tie Down Locations.
0,6,3,Figure 2. Cargo Tie Downs.
0,6,3,END OF WORK PACKAGE
0,6,3,0009-2
0,6,3,OPERATOR INSTRUCTIONS
0,7,3,INITIAL SETUP:
0,7,3,Personnel Required Diver 12D
0,7,3,References WP 0005 WP 0008
0,7,3,References (cont.) WP 0015 WP 0022
0,7,3,OPERATION UNDERWAY
0,7,3,WARNING
0,7,3,WARNING
0,7,3,WARNING
0,7,3,WARNING
0,7,3,WARNING
0,7,3,OPERATION UNDERWAY - Continued
0,7,3,TRIMMING ENGINES
0,7,3,CAUTION
0,7,3,NOTE
0,7,3,END OF WORK PACKAGE
0,7,3,0010-3/blank
0,7,3,OPERATOR INSTRUCTIONS
0,8,3,INITIAL SETUP:
0,8,3,Personnel Required Diver 12D
0,8,3,WARNING
0,8,3,WARNING
0,8,3,CAUTION
0,8,3,General Information
0,8,3,Figure 1. Spotlight Receptacles.
0,8,3,NOTE
0,8,3,END OF WORK PACKAGE
0,8,3,0011-3/blank
0,8,3,OPERATOR INSTRUCTIONS
0,9,3,INITIAL SETUP:
0,9,3,Personnel Required Diver 12D
0,9,3,WARNING
0,9,3,CAUTION
0,9,3,Figure 2. Control Panel Switches.
0,9,3,END OF WORK PACKAGE
0,9,3,0012-3/blank
0,9,3,OPERATOR INSTRUCTIONS
0,10,3,INITIAL SETUP:
0,10,3,Personnel Required Diver 12D
0,10,3,NOTE
0,10,3,Figure 1. Vessel Systems Monitor.
0,10,3,END OF WORK PACKAGE
0,10,3,0013-1/blank
0,10,3,OPERATOR INSTRUCTIONS
0,11,3,INITIAL SETUP:
0,11,3,Personnel Required Diver 12D
0,11,3,References WP 0015 WP 0017 WP 0018 WP 0037
0,11,3,MULTI-FUNCTION DISPLAY OVERVIEW
0,11,3,CAUTION
0,11,3,Multi-Function Display Touchscreen Operation
0,11,3,Multi-Function Display Remote Control Operation
0,11,3,Multi-Function Display Remote Control Operation - Continued
0,11,3,Figure 4. Multi-Function Remote.
0,11,3,Table 1. Multi-Function Remote.
0,11,3,No. Key Function
0,11,3,
0,11,3,CANCEL/MO B
0,11,3,Multi-Function Display Home Screen Operation
0,11,3,NOTE
0,11,3,Multi-Function Display Home Screen Operation - Continued
0,11,3,Figure 8. Display Icons.
0,11,3,Multi-Function Display Hidden Functions
0,11,3,NOTE
0,11,3,NOTE
0,11,3,0014-10
0,11,3,Multi-Function Display Hidden Functions - Continued
0,11,3,Figure 15. Pop-up Menu
0,11,3,Multi-Function Display Split Screen Operation
0,11,3,Figure 19. Save Icon.
0,11,3,Multi-Function Display Locking/Un-Locking Screen
0,11,3,NOTE
0,11,3,
0,11,3,Multi-Function Display Alarm Operation
0,11,3,0014-14
0,11,3,Multi-Function Display Alarm Operation - Continued
0,11,3,Figure 22. Alarm Menu.
0,11,3,Table 3. Alarm Menu.
0,11,3,Alarm Name Function
0,11,3,Sea Surface Temperature Alarm:
0,11,3,Anchor Watch Alarm:
0,11,3,0014-15
0,11,3,Multi-Function Display Alarm Operation - Continued
0,11,3,Powering Off Multi-Function Display
0,11,3,CAUTION
0,11,3,END OF WORK PACKAGE
0,11,3,0014-19/blank
0,11,3,OPERATOR INSTRUCTIONS
0,12,3,INITIAL SETUP:
0,12,3,Personnel Required Diver 12D
0,12,3,Equipment Condition Multi-Function Display Powered ON (WP 0014)
0,12,3,CAUTION
0,12,3,Figure 1. Plotter Display.
0,12,3,Table 1. Plotter Display.
0,12,3,Item No
0,12,3,Key Name Function
0,12,3,Figure 3. Plotter Display Icon.
0,12,3,Figure 4. Plotter Display Range.
0,12,3,Figure 6. Zoom Slider.
0,12,3,Figure 7. Plotter Orientation Settings.
0,12,3,END OF WORK PACKAGE
0,12,3,0015-6
0,12,3,OPERATOR INSTRUCTIONS
0,13,3,INITIAL SETUP:
0,13,3,Personnel Required Diver 12D
0,13,3,CAUTION
0,13,3,POINTS
0,13,3,Entering A Point From Plotter
0,13,3,Figure 2. Home Screen.
0,13,3,Entering A Point At Selected Position
0,13,3,Figure 3. New Point.
0,13,3,Entering A Point Using Coordinates
0,13,3,Figure 5. Numeric Keyboard.
0,13,3,Displaying Point Information
0,13,3,Figure 6. Point Information Menu.
0,13,3,Moving A Point
0,13,3,Moving A Point Using The “Long Hold” Option
0,13,3,Moving a Point Using The “ Edit Pos” Option
0,13,3,Figure 8. Numeric Keyboard.
0,13,3,Deleting A Point
0,13,3,Figure 9. Points Information Menu.
0,13,3,Editing A Point
0,13,3,Figure 11. Keyboard Menu.
0,13,3,Navigating To A Point
0,13,3,CAUTION
0,13,3,Figure 12. Navigation Screen.
0,13,3,Table 1. Navigation Screen.
0,13,3,Key Graphic Icon Function
0,13,3,Figure 13. Point Information Menu.
0,13,3,0016-11
0,13,3,ROUTES
0,13,3,Figure 14. Route Icons.
0,13,3,Table 2. Route Icons.
0,13,3,Key Graphic Icon Function
0,13,3,Sleeping Route
0,13,3,Creating A New Route
0,13,3,0016-12
0,13,3,Creating A New Route - Continued
0,13,3,0016-14
0,13,3,Creating A New Route - Continued
0,13,3,Figure 17. Route Information Window.
0,13,3,Table 3. Route Information Menu.
0,13,3,Key Graphic Icon Function
0,13,3,Moving A Point In A Route
0,13,3,0016-17
0,13,3,Deleting a Point From a Route
0,13,3,Deleting A Route
0,13,3,Tap “Delete”.
0,13,3,Navigating To A Point
0,13,3,CAUTION
0,13,3,0016-18
0,13,3,Navigating To A Point - Continued
0,13,3,Figure 25. Point Navigation Display.
0,13,3,Table 4. Point Navigation Display.
0,13,3,Key Graphic Icon Function
0,13,3,Reverse Direction Of Route
0,13,3,Tap “ Stop Nav”.
0,13,3,Deleting All Points And Routes
0,13,3,NOTE
0,13,3,END OF WORK PACKAGE
0,13,3,0016-21/blank
0,13,3,OPERATOR INSTRUCTIONS
0,14,3,INITIAL SETUP:
0,14,3,Personnel Required Diver 12D
0,14,3,Equipment Condition Multi-Function Display Powered ON (WP 0014) Radome Mast Raised (WP 0005)
0,14,3,CAUTION
0,14,3,Figure 1. Radar Display.
0,14,3,Table 1. Radar Display.
0,14,3,Item No.
0,14,3,Key Name Function
0,14,3,Figure 3. Radar Display Icon.
0,14,3,Radar Transmit/Standby Mode
0,14,3,NOTE
0,14,3,Figure 4. TX/STBY Switch.
0,14,3,Figure 6. Zoom Slider.
0,14,3,Figure 7. Radar Orientation Settings.
0,14,3,Measuring Range And Bearing From Boat To Target Using Radar
0,14,3,END OF WORK PACKAGE
0,14,3,0017-6
0,14,3,OPERATOR INSTRUCTIONS
0,15,3,INITIAL SETUP:
0,15,3,Personnel Required Diver 12D
0,15,3,Equipment Condition Multi-Function Display Powered ON (WP 0014)
0,15,3,CAUTION
0,15,3,Figure 1. Sonar Operation.
0,15,3,Figure 2. Sonar Display.
0,15,3,Table 1. Sonar Display.
0,15,3,Item No.
0,15,3,Key Name Function
0,15,3,Figure 4. Sonar Display Icon.
0,15,3,Sonar Transmit/Standby Mode
0,15,3,Figure 5. Transmit/Standby Mode.
0,15,3,Selecting A Frequency Using The “Pop-Up” Menu
0,15,3,Selecting A Frequency Using The “Depth Indication Box”
0,15,3,Figure 8. Depth Indication Box.
0,15,3,Single Frequency Display
0,15,3,Dual Frequency Display
0,15,3,Figure 10. Dual Frequency Display.
0,15,3,Bottom Zoom Display
0,15,3,Figure 12. Bottom Zoom Display.
0,15,3,Table 2. Bottom Zoom Display.
0,15,3,Item No Name Function
0,15,3,Bottom Zoom Display - Continued
0,15,3,0018-10
0,15,3,Bottom Lock Display
0,15,3,Figure 14. Bottom Lock Display.
0,15,3,Table 3. Bottom Lock Display.
0,15,3,Item No Name Function
0,15,3,0018-11
0,15,3,Bottom Lock Display - Continued
0,15,3,0018-12
0,15,3,Bottom Discrimination Display
0,15,3,Figure 16. Bottom Discrimination Display.
0,15,3,END OF WORK PACKAGE
0,15,3,0018-13/blank
0,15,3,OPERATOR INSTRUCTIONS
0,16,3,INITIAL SETUP:
0,16,3,Personnel Required Diver 12D
0,16,3,NOTE
0,16,3,Figure 1. Command Microphone Remote.
0,16,3,NOTE
0,16,3,Figure 2. Command Microphone Volume Adjustment.
0,16,3,Command Microphone Remote Transmission/Reception
0,16,3,NOTE
0,16,3,Command Microphone Softkeys
0,16,3,Softkey Function Selection
0,16,3,Figure 4. Softkey Function Selection.
0,16,3,Softkey Programming
0,16,3,Figure 5. Softkey Programming Selection.
0,16,3,NOTE
0,16,3,Emergency Channel 16
0,16,3,Figure 7. Emergency Channel 16 Screen.
0,16,3,Transmitting a Distress Call
0,16,3,NOTE
0,16,3,Figure 8. Distress Button.
0,16,3,Cancelling a Distress Call
0,16,3,Figure 11. Distress Call Finish Button.
0,16,3,END OF WORK PACKAGE
0,16,3,0019-9/blank
0,16,3,OPERATOR INSTRUCTIONS
0,17,3,INITIAL SETUP:
0,17,3,Personnel Required Diver 12D
0,17,3,Powering On The VHF Radio
0,17,3,
0,17,3,Figure 1. VHF Radio
0,17,3,VHF Radio Transmission
0,17,3,NOTE
0,17,3,Emergency Channel 16
0,17,3,Figure 3. VHF Channel 16 Button.
0,17,3,Transmitting A Distress Call
0,17,3,NOTE
0,17,3,Figure 4. VHF Radio Distress Button.
0,17,3,Cancelling A Distress Call
0,17,3,Figure 7. Distress Call Finish Button.
0,17,3,END OF WORK PACKAGE
0,17,3,0020-5/blank
0,17,3,OPERATOR INSTRUCTIONS
0,18,3,INITIAL SETUP:
0,18,3,Personnel Required Diver 12D
0,18,3,References WP 0007 WP 0010
0,18,3,Engine Monitor Overview
0,18,3,Engine Monitor Overview - Continued
0,18,3,Figure 1. Engine Monitor Display.
0,18,3,Table 1. Engine Monitor Display.
0,18,3,Item No.
0,18,3,Name Function
0,18,3,
0,18,3,FLUID TANKS
0,18,3,
0,18,3,OUTBOARD
0,18,3,Engine Monitor Overview - Continued
0,18,3,System Faults
0,18,3,
0,18,3,Figure 2. System Fault Pop Up.
0,18,3,A.M.A./S.A.F.E. Mode
0,18,3,Winterizing Engines
0,18,3,Winterization Preparation
0,18,3,WARNING
0,18,3,Figure 3. Flushing Port.
0,18,3,Winterization Procedure
0,18,3,NOTE
0,18,3,END OF WORK PACKAGE
0,18,3,0021-7/blank
0,18,3,OPERATOR INSTRUCTIONS
0,19,3,INITIAL SETUP:
0,19,3,Personnel Required Diver 12D Assistant
0,19,3,References WP 0007
0,19,3,References (cont.) WP 0014 WP 0015 WP 0018 WP 0025
0,19,3,Selecting An Anchor Site
0,19,3,WARNING
0,19,3,WARNING
0,19,3,WARNING
0,19,3,WARNING
0,19,3,WARNING
0,19,3,CAUTION
0,19,3,Selecting An Anchor Site - Continued
0,19,3,CAUTION
0,19,3,NOTE
0,19,3,Determining Anchor Line Length
0,19,3,CAUTION
0,19,3,CAUTION
0,19,3,Dropping Anchor
0,19,3,CAUTION
0,19,3,Weighing Anchor
0,19,3,END OF WORK PACKAGE
0,19,3,0022-10
0,19,3,OPERATOR INSTRUCTIONS
0,20,3,INITIAL SETUP:
0,20,3,Personnel Required Diver 12D
0,20,3,Lowering Dive Platform
0,20,3,WARNING
0,20,3,WARNING
0,20,3,CAUTION
0,20,3,NOTE
0,20,3,Lowering Dive Platform - Continued
0,20,3,Lowering Dive Platform - Continued
0,20,3,Stowing Dive Platform
0,20,3,END OF WORK PACKAGE
0,20,3,0023-3/blank
0,20,3,OPERATOR INSTRUCTIONS
0,21,3,INITIAL SETUP:
0,21,3,"Materials/Parts Tape, Antiseizing (WP 0063, Table 1, Item 9)"
0,21,3,Personnel Required Diver 12D Assistant (2)
0,21,3,References WP 0010
0,21,3,WARNING
0,21,3,WARNING
0,21,3,WARNING
0,21,3,WARNING
0,21,3,WARNING
0,21,3,CAUTION
0,21,3,CAUTION
0,21,3,NOTE
0,21,3,Figure 13. Trailer Electrical Cables.
0,21,3,END OF WORK PACKAGE
0,21,3,0024-11/blank
0,21,3,OPERATOR INSTRUCTIONS
0,22,3,INITIAL SETUP:
0,22,3,Personnel Required Diver 12D
0,22,3,Equipment Condition Engines Started (WP 0007)
0,22,3,ENGINE SHUTDOWN PROCEDURES
0,22,3,WARNING
0,22,3,WARNING
0,22,3,WARNING
0,22,3,CAUTION
0,22,3,ENGINE SHUTDOWN PROCEDURES - Continued
0,22,3,Figure 4. Battery Switches.
0,22,3,END OF WORK PACKAGE
0,22,3,0025-3/blank
0,22,3,OPERATOR INSTRUCTIONS
0,23,3,INITIAL SETUP:
0,23,3,Personnel Required Diver 12D Assistant
0,23,3,WARNING
0,23,3,Attaching Trailer
0,23,3,WARNING
0,23,3,Detaching Trailer
0,23,3,END OF WORK PACKAGE
0,23,3,0026-10
0,23,3,OPERATOR INSTRUCTIONS
0,24,3,INITIAL SETUP:
0,24,3,Personnel Required Diver 12D Assistant
0,24,3,References WP 0010
0,24,3,Equipment Condition Boat Underway (WP 0010)
0,24,3,Towing Another Vessel
0,24,3,WARNING
0,24,3,WARNING
0,24,3,WARNING
0,24,3,WARNING
0,24,3,CAUTION
0,24,3,Towing Another Vessel - Continued
0,24,3,END OF WORK PACKAGE
0,24,3,0027-2
0,24,3,OPERATOR INSTRUCTIONS
0,25,3,INITIAL SETUP:
0,25,3,Personnel Required Diver 12D Assistant
0,25,3,INSTALLATION
0,25,3,NOTE
0,25,3,INSTALLATION - Continued
0,25,3,Figure 5. Rear Panel.
0,25,3,REMOVAL
0,25,3,Figure 10. Cabin Enclosure Storage Bag.
0,25,3,END OF WORK PACKAGE
0,25,3,0028-10
0,25,3,OPERATOR INSTRUCTIONS
0,26,3,INITIAL SETUP:
0,26,3,"Materials/Parts Inhibitor, Corrosion, Petroleum Fuel (WP 0063, Table 1, Item 4)"
0,26,3,Personnel Required Diver 12D
0,26,3,References WP 0005
0,26,3,References (cont.) WP 0021 WP 0028 WP 0055
0,26,3,Equipment Condition Boat Trailered (WP 0024)
0,26,3,WARNING
0,26,3,END OF WORK PACKAGE
0,26,3,0029-2
0,26,3,OPERATOR INSTRUCTIONS
0,27,3,INITIAL SETUP:
0,27,3,Personnel Required Diver 12D Assistant
0,27,3,References WP 0007
0,27,3,References (cont.) WP 0021 WP 0040
0,27,3,EMERGENCY STARTING PROCEDURES
0,27,3,WARNING
0,27,3,WARNING
0,27,3,WARNING
0,27,3,WARNING
0,27,3,CAUTION
0,27,3,NOTE
0,27,3,EMERGENCY STARTING PROCEDURES - Continued
0,27,3,General Information
0,27,3,
0,27,3,END OF WORK PACKAGE
0,27,3,0030-2
0,27,3,OPERATOR INSTRUCTIONS
0,28,3,INITIAL SETUP:
0,28,3,Personnel Required Diver 12D Assistant
0,28,3,Emergency Dewatering Procedures
0,28,3,WARNING
0,28,3,WARNING
0,28,3,Emergency Dewatering Procedures - Continued
0,28,3,END OF WORK PACKAGE
0,28,3,0031-4
0,28,3,OPERATOR INSTRUCTIONS
0,29,3,INITIAL SETUP:
0,29,3,Personnel Required Diver 12D
0,29,3,Paralleling Batteries
0,29,3,CAUTION
0,29,3,END OF WORK PACKAGE
0,29,3,0032-1/blank
0,29,3,OPERATOR INSTRUCTIONS
0,30,3,INITIAL SETUP:
0,30,3,Personnel Required Diver 12D
0,30,3,Equipment Condition Boat Underway (WP 0010)
0,30,3,Emergency Procedures During Capsizing
0,30,3,WARNING
0,30,3,WARNING
0,30,3,Emergency Procedures During Capsizing - Continued
0,30,3,General Information
0,30,3,END OF WORK PACKAGE
0,30,3,0033-2
0,30,3,OPERATOR INSTRUCTIONS
0,31,3,INITIAL SETUP:
0,31,3,Personnel Required Diver 12D
0,31,3,References WP 0031
0,31,3,Equipment Condition Boat Underway (WP 0010)
