nword,data,tag,section,subsection,paragraph
25,"Since the mind has virtually no power to know anything beyond direct sensory experience, Ernst Mach's early version of logical positivism (empirio-criticism) verged on idealism.",p,1,3,13
17,"It was alleged to even be a surreptitious solipsism, whereby all that exists is one's own mind.",p,1,3,13
12,Mach's positivism also strongly asserted the ultimate unity of the empirical sciences.,p,1,3,13
41,"Mach's positivism asserted phenomenalism as to new basis of scientific theory, all scientific terms to refer to either actual or potential sensations, thus eliminating hypotheses while permitting such seemingly disparate scientific theories as physical and psychological to share terms and forms.",p,1,3,13
32,"Phenomenalism was insuperably difficult to implement, yet heavily influenced a new generation of philosophers of science, who emerged in the 1920s while terming themselves logical positivists while pursuing a program termed verificationism.",p,1,3,13
53,"Logical positivists aimed not to instruct or restrict scientists, but to enlighten and structure philosophical discourse to render scientific philosophy that would verify philosophical statements as well as scientific theories, and align all human knowledge into a scientific worldview, freeing humankind from so many of its problems due to confused or unclear language.",p,1,3,13
19,"The verificationists expected a strict gap between theory versus observation, mirrored by a theory's theoretical terms versus observable terms.",p,1,3,14
34,"Believing a theory's posited unobservables to always correspond to observations, the verificationists viewed a scientific theory's theoretical terms, such as electron, as metaphorical or elliptical at observations, such as white streak in cloud chamber.",p,1,3,14
28,"They believed that scientific terms lacked meanings unto themselves, but acquired meanings from the logical structure that was the entire theory that in turn matched patterns of experience.",p,1,3,14
35,"So by translating theoretical terms into observational terms and then decoding the theory's mathematical/logical structure, one could check whether the statement indeed matched patterns of experience, and thereby verify the scientific theory false or true.",p,1,3,14
27,"Such verification would be possible, as never before in science, since translation of theoretical terms into observational terms would make the scientific theory purely empirical, none metaphysical.",p,1,3,14
8,Yet the logical positivists ran into insuperable difficulties.,p,1,3,14
24,Moritz Schlick debated with Otto Neurath over foundationalism—the traditional view traced to Descartes as founder of modern Western philosophy—whereupon only nonfoundationalism was found tenable.,p,1,3,14
11,"Science, then, could not find a secure foundation of indubitable truth.",p,1,3,14
35,"And since science aims to reveal not private but public truths, verificationists switched from phenomenalism to physicalism, whereby scientific theory refers to objects observable in space and at least in principle already recognizable by physicists.",p,1,3,15
9,"Finding strict empiricism untenable, verificationism underwent ""liberalization of empiricism"".",p,1,3,15
9,Rudolf Carnap even suggested that empiricism's basis was pragmatic.,p,1,3,15
18,"Recognizing that verification—proving a theory false or true—was unattainable, they discarded that demand and focused on confirmation theory.",p,1,3,15
31,"Carnap sought simply to quantify a universal law's degree of confirmation—its probable truth—but, despite his great mathematical and logical skill, discovered equations never operable to yield over zero degree of confirmation.",p,1,3,15
7,Carl Hempel found the paradox of confirmation.,p,1,3,15
16,"By the 1950s, the verificationists had established philosophy of science as subdiscipline within academia's philosophy departments.",p,1,3,15
17,"By 1962, verificationists had asked and endeavored to answer seemingly all the great questions about scientific theory.",p,1,3,15
11,Their discoveries showed that the idealized scientific worldview was naively mistaken.,p,1,3,15
17,"By then the leader of the legendary venture, Hempel raised the white flag that signaled verificationism's demise.",p,1,3,15
18,"Suddenly striking Western society, then, was Kuhn's landmark thesis, introduced by none other than Carnap, verificationism's greatest firebrand.",p,1,3,15
13,Instrumentalism exhibited by scientists often does not even discern unobservable from observable entities.,p,1,3,15
2,Historical turn,h3,1,4,16
23,"From the 1930s until Thomas Kuhn's 1962 The Structure of Scientific Revolutions, there were roughly two prevailing views about the nature of science.",p,1,4,17
26,"The popular view was scientific realism, which usually involved a belief that science was progressively unveiling a truer view, and building a better understanding, of nature.",p,1,4,17
44,"The professional approach was logical empiricism, wherein a scientific theory was held to be a logical structure whose terms all ultimately refer to some form of observation, while an objective process neutrally arbiters theory choice, compelling scientists to decide which scientific theory was superior.",p,1,4,17
39,"Physicists knew better, but, busy developing the Standard Model, were so steeped in developing quantum field theory, that their talk, largely metaphorical, perhaps even metaphysical, was unintelligible to the public, while the steep mathematics warded off philosophers of physics.",p,1,4,17
35,"By the 1980s, physicists regarded not particles, but fields as the more fundamental, and no longer even hoped to discover what entities and processes might be truly fundamental to nature, perhaps not even the field.",p,1,4,17
24,"Kuhn had not claimed to have developed a novel thesis, but instead hoped to synthesize more usefully recent developments in the philosophy of science.",p,1,4,17
48,"In 1906, Duhem had introduced the problem of the underdetermination of theory by data, since any dataset could be consistent with several different explanations, how the success of any prediction does not, by affirming the consequent, a deductive fallacy, logically confirm the truth of the theory in question.",p,1,4,18
38,"In the 1930s, Ludwik Fleck had explained the role of perspectivism (logology) in science whereby scientists are trained in thought collectives to adopt particular thought styles setting expectations for a proper scientific question, scientific experiment, and scientific data.",p,1,4,18
35,Scientists manipulate experimental conditions to obtain results that cohere with their own expectations—what the scientists presuppose is realistic—and as a result might be tempted to invoke the experimenter's regress in order to reject unexpected results.,p,1,4,18
15,They would then redo these experiments under what were supposedly better and more conducive conditions.,p,1,4,18
14,"By the 1960s, physicists recognized two, differing roles of physical theory, formalism and interpretation.",p,1,4,18
15,"Formalism involved mathematical equations and axioms that, upon input of physical data, yielded certain predictions.",p,1,4,18
7,Interpretation sought to explain why they succeeded.,p,1,4,18
19,"Widely read, Kuhn's 1962 thesis seemed to shatter logical empiricism, whose paradigmatic science was physics and which championed instrumentalism.",p,1,4,19
21,"Yet scientific realists, who were far more tenacious, responded by attacking Kuhn's thesis, perennially depicted thereafter as either illuminated or infamous.",p,1,4,19
18,Kuhn later indicated that his thesis had been so widely misunderstood that he himself was not a Kuhnian.,p,1,4,19
17,"With logical empiricism's demise, Karl Popper's falsificationism was in the ascendancy, and Popper was knighted in 1965.",p,1,4,19
20,"Yet in 1961, the molecular biology research program had made its first major empirical breakthrough in cracking the genetic code.",p,1,4,19
14,"By the 1970s, molecular genetics' research tools could also be used for genetic engineering.",p,1,4,19
47,"In 1975, philosopher of science Hilary Putnam famously resurrected scientific realism with his no miracles argument, whereby the best scientific theories' predictive successes would appear miraculous if those theories were not at least approximately true about reality as it exists in and of itself beyond human perception.",p,1,4,19
6,Antirealist arguments were formulated in response.,p,1,4,19
4,Karl Popper's scientific realism,h3,1,5,20
31,"By rejecting all variants of positivism via its focus on sensations rather than realism, Karl Popper asserted his commitment to scientific realism, merely via the necessary uncertainty of his own falsificationism.",p,1,5,21
13,Popper alleged that instrumentalism reduces basic science to what is merely applied science.,p,1,5,21
34,"In his book ""The fabric of reality"", the British physicist David Deutsch followed Popper's critique of instrumentalism and argued that a scientific theory stripped of its explanatory content would be of strictly limited utility.",p,1,5,21
7,Constructive empiricism as a form of instrumentalism,h3,1,6,22
29,"Bas van Fraassen's (1980) project of constructive empiricism focuses on belief in the domain of the observable, so for this reason it is described as a form of instrumentalism.",p,1,6,23
5,In the philosophy of mind,h2,2,6,24
42,"In the philosophy of mind, Instrumentalism is the view that propositional attitudes like beliefs are not actually concepts on which we can base scientific investigations of mind and brain, but that acting as if other beings have beliefs is a successful strategy.",p,2,6,25
3,Relation to pragmatism,h2,3,6,26
21,"Instrumentalism is closely related to pragmatism, the position that practical consequences is an essential basis for determining meaning, truth or value.",p,3,6,27
2,See also,h2,4,6,28
2,Notable proponents,h3,4,7,29
