prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	image_url	context_mask	chunk_summary	group_summary	section_summary
	FIRST AID	-1	7	0	0	0		0		1	FIRST AID		
	For first aid, refer to TC 4-02.1, First Aid. For hazardous materials, refer to the label or Material Safety Data Sheet (MSDS).	-1	8	0	0	0		0		0	For first aid, refer to TC 4-02.1, First Aid. For hazardous materials, refer to the label or Material Safety Data Sheet (MSDS).	For first aid, refer to TC 4-02.1, First Aid. For hazardous materials, refer to the label or Material Safety Data Sheet (MSDS).	
	GENERAL SAFETY WARNING DESCRIPTIONS	-1	9	0	0	0		0		1	GENERAL SAFETY WARNING DESCRIPTIONS		
	WARNING	-1	9	0	0	0		0		1	WARNING		
•	Electrical shock can cause injury or death to personnel when working near, replacing, or servicing any electrical component.	1	10	0	0	0		0		0	Electrical shock can cause injury or death to personnel when working near, replacing, or servicing any electrical component.	Electrical shock can cause injury or death to personnel when working near, replacing, or servicing any electrical component. Take great care when working around energized electrical equipment. Contact between unprotected body parts and electrical conductors can cause serious injury or death. Keep all electrical connections clean, tight, and insulated to prevent shorting or arcing and causing an explosion. Failure to comply may result in injury or death to personnel.	
•	Take great care when working around energized electrical equipment. Contact between unprotected body parts and electrical conductors can cause serious injury or death.	1	10	0	0	0		0		0	Take great care when working around energized electrical equipment. Contact between unprotected body parts and electrical conductors can cause serious injury or death.		
•	Keep all electrical connections clean, tight, and insulated to prevent shorting or arcing and causing an explosion.	1	10	0	0	0		0		0	Keep all electrical connections clean, tight, and insulated to prevent shorting or arcing and causing an explosion.		
•	Failure to comply may result in injury or death to personnel.	1	10	0	0	0		0		0	Failure to comply may result in injury or death to personnel.		
	WARNING	-1	11	0	0	0		0		1	WARNING		
	Ensure proper safety measures are taken during extremely hot and humid weather. Seek medical attention immediately if any of the following occur: weakness, dizziness, trouble breathing, painful muscle cramps, rapid pulse, pale skin, or weak pulse. Reference TB- MED 507 for proper work, rest, and water consumption cycle during extreme heat. Failure to follow this warning may cause injury or death.	-1	12	0	0	0		0		0	If weakness, dizziness or trouble breathing occur, seek medical attention immediately. Refer to TB-MED 507 for proper work and rest during extreme heat. Failure of this warning may cause injury or death; see TB-med	If weakness, dizziness or trouble breathing occur, seek medical attention immediately. Refer to TB-MED 507 for proper work and rest during extreme heat. Failure of this warning may cause injury or death; see TB-med	
	WARNING	-1	13	0	0	0		0		1	WARNING		
	To avoid personal injury, get assistance when lifting components that weigh more than 40 lbs. One assistant is required for items up to 75 lbs, two assistants for items up to 100 lbs, and three assistants for items up to 130 lbs. Ensure lifting is done with the knees and not lower back. Incorrect heavy lifting could result in lower back injury or crushed extremities. Failure to comply may result in injury to personnel.	-1	14	0	0	0		0		0	Heavy lifting could result in lower back injury or crushed extremities. One assistant is required for items up to 75lbs, two on 100lbs and three on 130lb apieces if more than 40 pounds are lifted -	Heavy lifting could result in lower back injury or crushed extremities. One assistant is required for items up to 75lbs, two on 100lbs and three on 130lb apieces if more than 40 pounds are lifted -	
	WARNING	-1	15	0	0	0		0		1	WARNING		
	Ensure all personnel in the vicinity and operating the outboard engine wear personal protective equipment such as hearing protection when engine is being operated to prevent against potential noise hazards. Failure to comply may cause damage or loss of hearing.	-1	16	0	0	0		0		0	Ensure all personnel in the vicinity and operating the outboard engine wear personal protective equipment such as hearing protection when engine is being operated to prevent against potential noise hazards. Failure to comply may cause damage or loss of hearing.	Ensure all personnel in the vicinity and operating the outboard engine wear personal protective equipment such as hearing protection when engine is being operated to prevent against potential noise hazards. Failure to comply may cause damage or loss of hearing.	
	WARNING	-1	17	0	0	0		0		1	WARNING		
	Ensure all personnel in the vicinity and operating the horn or siren wear personal protective equipment such as hearing protection while operating to prevent against potential noise hazards. Failure to comply may result in injury to personnel	-1	18	0	0	0		0		0	Ensure all personnel in the vicinity and operating the horn or siren wear personal protective equipment such as hearing protection while operating to prevent against potential noise hazards. Failure to comply may result in injury to personnel	Ensure all personnel in the vicinity and operating the horn or siren wear personal protective equipment such as hearing protection while operating to prevent against potential noise hazards. Failure to comply may result in injury to personnel	
	TM 5-1940-328-10 a	-1	19	0	0	0		0		1	TM 5-1940-328-10 a		
	WARNING SUMMARY - Continued	-1	19	0	0	0		0		1	WARNING SUMMARY - Continued		
	GENERAL SAFETY WARNING DESCRIPTIONS - Continued	-1	19	0	0	0		0		1	GENERAL SAFETY WARNING DESCRIPTIONS - Continued		
	WARNING	-1	19	0	0	0		0		1	WARNING		
•	Do not service any part of the propeller while the outboard engine is running. Always shift the outboard engine to NEUTRAL position, turn the key switch OFF.	1	20	0	0	0		0		0	Do not service any part of the propeller while the outboard engine is running. Always shift the outboard engine to NEUTRAL position, turn the key switch OFF.	Do not service any part of the propeller while the outboard engine is running. Always shift the outboard engine to NEUTRAL position, turn the key switch OFF. Ensure the outboard engine and prop area are clear of people and objects before starting or operating outboard engine. Blades can be sharp and the propeller can continue to turn even after outboard engine is OFF. Moving parts of the equipment can cause serious injury to personnel. Failure to follow these warnings may result in injury or death to personnel	
•	Ensure the outboard engine and prop area are clear of people and objects before starting or operating outboard engine. Blades can be sharp and the propeller can continue to turn even after outboard engine is OFF. Moving parts of the equipment can cause serious injury to personnel.	1	20	0	0	0		0		0	Ensure the outboard engine and prop area are clear of people and objects before starting or operating outboard engine. Blades can be sharp and the propeller can continue to turn even after outboard engine is OFF. Moving parts of the equipment can cause serious injury to personnel.		
•	Failure to follow these warnings may result in injury or death to personnel	1	20	0	0	0		0		0	Failure to follow these warnings may result in injury or death to personnel		
	WARNING	-1	21	0	0	0		0		1	WARNING		
	To avoid pinch points between boat and trailer use of appropriate personal protective equipment such as gloves when handling the winch hook is required. Keep all body parts clear of contact points between boat and trailer winch, failure to comply may result in injury to personnel.	-1	22	0	0	0		0		0	To avoid pinch points between boat and trailer use of appropriate personal protective equipment such as gloves when handling the winch hook is required. Keep all body parts clear of contact points between boat and trailer winch, failure to comply may result in injury to personnel.	To avoid pinch points between boat and trailer use of appropriate personal protective equipment such as gloves when handling the winch hook is required. Keep all body parts clear of contact points between boat and trailer winch, failure to comply may result in injury to personnel.	
	WARNING	-1	23	0	0	0		0		1	WARNING		
	To prevent falls from the sides, rear, or top of the boat, personnel should always maintain three points of contact (for example two feet and one hand) when climbing in, out, and on the boat. Failure to comply may result in injury to personnel.	-1	24	0	0	0		0		0	To prevent falls from the sides, rear, or top of the boat, personnel should always maintain three points of contact (for example two feet and one hand) when climbing in, out, and on the boat. Failure to comply may result in injury to personnel.	To prevent falls from the sides, rear, or top of the boat, personnel should always maintain three points of contact (for example two feet and one hand) when climbing in, out, and on the boat. Failure to comply may result in injury to personnel.	
	WARNING	-1	25	0	0	0		0		1	WARNING		
	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	-1	26	0	0	0		0		0	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	
	EXPLANATION OF HAZARDOUS MATERIAL ICONS	-1	27	0	0	0		0		1	EXPLANATION OF HAZARDOUS MATERIAL ICONS		
	CHEMICAL - drops of liquid on hand shows that the material will cause burns or irritation to human skin or tissue.	-1	28	0	0	0		0		0	CHEMICAL - drops of liquid on hand shows that the material will cause burns or irritation to human skin or tissue.	CHEMICAL - drops of liquid on hand shows that the material will cause burns or irritation to human skin or tissue.	
	EXPLOSION - rapidly expanding symbol shows that the material may explode if subjected to high temperatures, sources of ignition or high pressure.	-1	29	0	0	0		0		0	EXPLOSION - rapidly expanding symbol shows that the material may explode if subjected to high temperatures, sources of ignition or high pressure.	EXPLOSION - rapidly expanding symbol shows that the material may explode if subjected to high temperatures, sources of ignition or high pressure.	
	FIRE - flame shows that a material may ignite and cause burns.	-1	30	0	0	0		0		0	FIRE - flame shows that a material may ignite and cause burns.	FIRE - flame shows that a material may ignite and cause burns. VAPOR - human figure in a cloud shows that material vapors present a danger to life or health. SLICK FLOOR - indicates slippery floor that present a danger. EYE PROTECTION - indicates hazardous situation in which eye protection should be used.	
	VAPOR - human figure in a cloud shows that material vapors present a danger to life or health.	-1	30	0	0	0		0		0	VAPOR - human figure in a cloud shows that material vapors present a danger to life or health.		
	SLICK FLOOR - indicates slippery floor that present a danger.	-1	30	0	0	0		0		0	SLICK FLOOR - indicates slippery floor that present a danger.		
	TM 5-1940-328-10 b	-1	30	0	0	0		0		1	TM 5-1940-328-10 b		
	WARNING SUMMARY - Continued	-1	30	0	0	0		0		1	WARNING SUMMARY - Continued		
	EXPLANATION OF HAZARDOUS MATERIAL ICONS - Continued	-1	30	0	0	0		0		1	EXPLANATION OF HAZARDOUS MATERIAL ICONS - Continued		
	EYE PROTECTION - indicates hazardous situation in which eye protection should be used.	-1	30	0	0	0		0		0	EYE PROTECTION - indicates hazardous situation in which eye protection should be used.		
	HAZARDOUS MATERIALS WARNING DESCRIPTIONS	-1	30	0	0	0		0		1	HAZARDOUS MATERIALS WARNING DESCRIPTIONS		
	WARNING	-1	30	0	0	0		0		1	WARNING		
	Brake Fluid may be flammable. Keep away from heat, open flame and/or other ignition sources. Prolonged contact with brake fluid may cause a skin rash. Wear personal protective equipment such as eyewear, gloves and clothing. Remove saturated clothing immediately and thoroughly wash skin that comes in contact with brake fluid. If exposed, flush skin and/or eyes with water and seek medical attention.	-1	31	0	0	0		0		0	Brake Fluid may be flammable. Keep away from heat, open flame and/or other ignition sources if exposed to it - wear protective equipment unless exposed ; flush skin and eyes with water and seek medical attention.	Brake Fluid may be flammable. Keep away from heat, open flame and/or other ignition sources if exposed to it - wear protective equipment unless exposed ; flush skin and eyes with water and seek medical attention. Brake fluid, soiled/cleanup materials and drained, leaked or spilled fluids are all subject to local procedures. Use a drain pan or suitable container to capture any draining, leakage or spill Failure to comply may result in injury to personnel and/or damage to the environment.	
	Use a drain pan or suitable container to capture any draining, leaking or spilled fluid. Refer to local procedures and plans for preventing and responding to fluid spills or leaks. Immediately clean up spilled oil. Keep cloths/rags away from open flame and/or ignition sources. Comply with local procedures and environmental regulations when disposing of brake fluid, soiled/cleanup materials (such as filters and rags), and drained, leaked or spilled fluids.	-1	31	0	0	0		0		0	Brake fluid, soiled/cleanup materials and drained, leaked or spilled fluids are all subject to local procedures. Use a drain pan or suitable container to capture any draining, leakage or spill		
	Failure to comply may result in injury to personnel and/or damage to the environment.	-1	31	0	0	0		0		0	Failure to comply may result in injury to personnel and/or damage to the environment.		
	TM 5-1940-328-10 c	-1	32	0	0	0		0		1	TM 5-1940-328-10 c		
	WARNING SUMMARY - Continued	-1	32	0	0	0		0		1	WARNING SUMMARY - Continued		
	HAZARDOUS MATERIALS WARNING DESCRIPTIONS - Continued	-1	32	0	0	0		0		1	HAZARDOUS MATERIALS WARNING DESCRIPTIONS - Continued		
	WARNING	-1	32	0	0	0		0		1	WARNING		
•	Fuel is flammable and harmful to health. Keep fuel away from heat or ignition sources. DO NOT smoke within 50 feet (15 m) of a fuel source. Do not work on fuel system when engine is hot. Shut down engine before refueling. Ensure fuel nozzle is grounded to filler neck. Do not overfill fuel tank. Keep fire extinguisher nearby. Wear personal protective equipment such as gloves and eye protection and ensure adequate ventilation during refueling.	1	33	0	0	0		0		0	Fuel is flammable and harmful to health. Keep fuel away from heat or ignition sources if it's hot - do not smoke a fuel source! Wear personal protective equipment such as gloves and eye protection refuel	Flammable fuel is harmful to health and can cause burns, eye irritation and burns. Wear personal protective equipment such as gloves and eye protection refuel if it'd be hot - do not smoke a fuel source! Ensure engine operates in well ventilated area. Avoid exposure to fresh air if you see another person with exhaust poisoning symptoms – they are: Headache, Dizziness or Sleepiness — losing muscular control	
•	Refer to local procedures and plans for preventing and responding to fuel spills or leaks. Use a drain pan or suitable container to capture any draining, leaking or spilled fuel. Immediately clean up spilled fuel. Keep cloths/rags away from open flame and/or ignition sources. Comply with local procedures and environmental regulations when disposing of unused fuel, soiled/cleanup materials (such as filters and rags), and drained, leaked or spilled fuel.	1	33	0	0	0		0		0	Use a drain pan or suitable container to capture any draining, leaked or spilled fuel. Keep cloths/rag away from open flame and/or ignition sources. Comply with local procedures when disposing of unused fuel		
•	Failure to comply may result in injury to personnel and/or damage to the environment. WARNING Ensure engine is operated in well ventilated area. DO NOT idle engine without proper ventilation.	1	33	0	0	0		0		0	Failure to comply may result in injury to personnel and/or damage to the environment. WARNING Ensure engine is operated in well ventilated area. DO NOT idle engine without proper ventilation.		
•	BE ALERT for exhaust poisoning symptoms. They are: Headache, Dizziness, Sleepiness, Loss of muscular control.	1	33	0	0	0		0		0	BE ALERT for exhaust poisoning symptoms. They are: Headache, Dizziness, Sleepiness, Loss of muscular control.		
•	If you see another person with exhaust poisoning symptoms:	1	33	0	0	0		0		0	If you see another person with exhaust poisoning symptoms:		
•	Remove person from area.	1	33	0	0	0		0		0	Remove person from area.		
•	Expose to fresh air.	1	33	0	0	0		0		0	Expose to fresh air.		
•	Keep person warm.	1	33	0	0	0		0		0	Keep person warm.		
•	DO NOT permit physical exercise.	1	33	0	0	0		0		0	DO NOT permit physical exercise.		
•	Administer Cardiopulmonary Resuscitation (CPR) if necessary.	1	33	0	0	0		0		0	Administer Cardiopulmonary Resuscitation (CPR) if necessary.		
•	Notify a medic. TM 5-1940-328-10 d WARNING SUMMARY - Continued HAZARDOUS MATERIALS WARNING DESCRIPTIONS - Continued WARNING	1	33	0	0	0		0		0	Notify a medic. TM 5-1940-328-10 d WARNING SUMMARY - Continued HAZARDOUS MATERIALS WARNING DESCRIPTIONS - Continued WARNING		
•	Lubricating Oil may be flammable. Keep away from heat, open flame and/or other ignition sources. Prolonged contact with lubricating oil may cause a skin rash. Wear personal protective eyewear, gloves and clothing. Remove saturated clothing immediately and thoroughly wash skin that comes in contact with lubricating oil. If exposed, flush skin and/or eyes with water and seek medical attention.	1	33	0	0	0		0		0	Lubricating oil may be flammable, so keep away from heat, open flame and/or other ignition sources. Remove clothing immediately and thoroughly wash skin that comes in contact with a lubrifying oil if exposed		
•	Use a drain pan or suitable container to capture any draining, leaking or spilled fluid. Refer to local procedures and plans for preventing and responding to fluid spills or leaks. Immediately clean up spilled oil. Keep cloths/rags away from open flame and/or ignition sources. Comply with local procedures and environmental regulations when disposing of lubricating oil, soiled/cleanup materials (such as filters and rags), and drained, leaked or spilled fluids.	1	33	0	0	0		0		0	Lubricating oil, soiled/cleanup materials and drained fluids are prohibited in the uk. Use a drain pan or suitable container to capture any draining, leaked or spilled liquid		
•	Failure to comply may result in injury to personnel and/or damage to the environment.	1	33	0	0	0		0		0	Failure to comply may result in injury to personnel and/or damage to the environment.		
	TM 5-1940-328-10 e/blank	-1	34	0	0	0		0		1	TM 5-1940-328-10 e/blank	Date of issue for the original manual is:	
	Date of issue for the original manual is:	-1	34	0	0	0		0		0	Date of issue for the original manual is:		
	Original 01 June 2019	-1	34	0	0	0		0		1	Original 01 June 2019		
	TOTAL NUMBER OF PAGES FOR FRONT AND REAR MATTER IS 32 AND TOTAL NUMBER OF WORK PACKAGES IS 63, CONSISTING OF THE FOLLOWING:	-1	35	0	0	0		0		1	TOTAL NUMBER OF PAGES FOR FRONT AND REAR MATTER IS 32 AND TOTAL NUMBER OF WORK PACKAGES IS 63, CONSISTING OF THE FOLLOWING:		
	Page/WP No. Change No.	-1	36	0	0	0		0		1	Page/WP No. Change No.		
	Front Cover 0 Blank 0 a-j/blank 0 i-xxxii/blank 0 Chapter 1 Title Page 0 Blank 0 WP 0001 (8 pages) 0 WP 0002 (8 pages) 0 WP 0003 (2 pages) 0 Chapter 2 Title Page 0 Blank 0 WP 0004 (18 pages) 0 WP 0005 (8 pages) 0 WP 0006 (8 pages) 0 WP 0007 (4 pages) 0 WP 0008 (8 pages) 0 WP 0009 (2 pages) 0 WP 0010 (4 pages) 0 WP 0011 (4 pages) 0 WP 0012 (4 pages) 0 WP 0013 (2 pages) 0 WP 0014 (20 pages) 0 WP 0015 (6 pages) 0 WP 0016 (22 pages) 0 WP 0017 (6 pages) 0 WP 0018 (14 pages) 0 WP 0019 (10 pages) 0 WP 0020 (6 pages) 0 WP 0021 (8 pages) 0 WP 0022 (10 pages) 0 WP 0023 (4 pages) 0 WP 0024 (12 pages) 0 WP 0025 (4 pages) 0 WP 0026 (10 pages) 0 WP 0027 (2 pages) 0 WP 0028 (10 pages) 0 WP 0029 (2 pages) 0 WP 0030 (2 pages) 0 WP 0031 (4 pages) 0 WP 0032 (2 pages) 0 WP 0033 (2 pages) 0 WP 0034 (2 pages) 0	-1	37	0	0	0		0		0	0 WP 0004 (18 pages) 8 (8 pages), 8 (10) and 8 (10) eight pages, or 8 pages, of the book. 8 pages are for each page; 8 pages for each page is for each page	0 WP 0004 (18 pages) 8 (8 pages), 8 (10) and 8 (10) eight pages, or 8 pages, of the book. 8 pages are for each page; 8 pages for each page is for each page	
	Page/WP No. Change No.	-1	38	0	0	0		0		1	Page/WP No. Change No.		
	WP 0035 (2 pages) 0 WP 0036 (2 pages) 0 WP 0037 (4 pages) 0 WP 0038 (2 pages) 0 WP 0039 (8 pages) 0 Chapter 3 Title Page 0 Blank 0 WP 0040 (2 pages) 0 WP 0041 (4 pages) 0 WP 0042 (4 pages) 0 WP 0043 (4 pages) 0 WP 0044 (2 pages) 0 WP 0045 (4 pages) 0 WP 0046 (2 pages) 0 WP 0047 (2 pages) 0 WP 0048 (4 pages) 0 WP 0049 (4 pages) 0 WP 0050 (4 pages) 0 WP 0051 (4 pages) 0 WP 0052 (4 pages) 0 Chapter 4 Title Page 0 Blank 0 WP 0053 (4 pages) 0 WP 0054 (72 pages) 0 Chapter 5 Title Page 0 Blank 0 WP 0055 (2 pages) 0 WP 0056 (2 pages) 0 WP 0057 (2 pages) 0 WP 0058 (2 pages) 0 WP 0059 (2 pages) 0 WP 0060 (12 pages) 0 Chapter 6 Title Page 0 Blank 0 WP 0061 (2 pages) 0 WP 0062 (14 pages) 0 WP 0063 (2 pages) 0 FO – 01 (14 pages) 0 Inside back cover 0 Back cover 0	-1	39	0	0	0		0		0	0 WP 01 (14 pages) 0 Back cover 0 Back cover 0 Front cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover	0 WP 01 (14 pages) 0 Back cover 0 Back cover 0 Front cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover 0 Cover	
	TM 5-1940-328-10	-1	40	0	0	0		0		1	TM 5-1940-328-10	"NOTE: Zero in the ""Change No."" column indicates an original page or work package."	
	LIST OF EFFECTIVE PAGES/WORK PACKAGES	-1	40	0	0	0		0		1	LIST OF EFFECTIVE PAGES/WORK PACKAGES		
	A/blank	-1	40	0	0	0		0		1	A/blank		
	"NOTE: Zero in the ""Change No."" column indicates an original page or work package."	-1	40	0	0	0		0		0	"NOTE: Zero in the ""Change No."" column indicates an original page or work package."		
	HEADQUARTERS, DEPARTMENT OF THE ARMY WASHINGTON, DC, 01 JUNE 2019	-1	41	0	0	0		0		1	HEADQUARTERS, DEPARTMENT OF THE ARMY WASHINGTON, DC, 01 JUNE 2019		
	OPERATOR MANUAL	-1	42	0	0	0		0		1	OPERATOR MANUAL		
	FOR	-1	42	0	0	0		0		1	FOR		
	RIGID INFLATABLE BOAT (RIB) P/N NSW8MTR-OPEN-001 NSN 1940-01–646–7565	-1	43	0	0	0		0		1	RIGID INFLATABLE BOAT (RIB) P/N NSW8MTR-OPEN-001 NSN 1940-01–646–7565	DISTRIBUTION STATEMENT C is authorized to U.S Government Agencies and their contractors only for Administrative- Operational Use as determined on 16 July 2014 'at the request of the product manager, sets, kits,	
	DISTRIBUTION STATEMENT C - Distribution authorized to U.S. Government Agencies and their contractors only for Administrative- Operational Use as determined on 16 July 2014. Other requests for this document shall be referred to US Army Tank-automotive and Armaments Command, ATTN: Product Manager, Sets, Kits, Outfits & Tools (PM-SKOT), MS 901, Selfridge ANGB, SFAE-CSSFP-SK, MS 640, 6501 E. 11 Mile Road, Warren, MI 48397-5000.	-1	43	0	0	0		0		0	DISTRIBUTION STATEMENT C is authorized to U.S Government Agencies and their contractors only for Administrative- Operational Use as determined on 16 July 2014 'at the request of the product manager, sets, kits,		
	DESTRUCTION NOTICE – Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	-1	44	0	0	0		0		0	DESTRUCTION NOTICE – Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	DESTRUCTION NOTICE – Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	
	COPYRIGHT RELEASE - The contractor has obtained and provided to the Government copyright releases in writing from all pertinent copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual to Government agencies and their contractors.	-1	45	0	0	0		0		0	COPYRIGHT RELEASE - The contractor has obtained and provided to the Government copyright releases in writing from all pertinent copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual to Government agencies and their contractors.	COPYRIGHT RELEASE - The contractor has obtained and provided to the Government copyright releases in writing from all pertinent copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual to Government agencies and their contractors.	
	TM 5-1940-328-10 i	-1	46	0	0	0		0		1	TM 5-1940-328-10 i		
	REPORTING ERRORS AND RECOMMENDING IMPROVEMENTS You can help improve this publication. If you find any errors, or if you would like to recommend any improvements to the procedures in this publication, please let us know. The preferred method is to submit your DA Form 2028 (Recommended Changes to Publications and Blank Forms) through the Internet on the TACOM Unique Logistics Support Applications (TULSA) Web site. The Internet address is https://tulsa.tacom.army.mil . Access to all applications requires CAC authentication, and you must complete the Access Request form the first time you use it. The DA Form 2028 is located under the TULSA Applications on the left-hand navigation bar. Fill out the form and click on SUBMIT. Using this form on the TULSA Web site will enable us to respond more quickly to your comments and to better manage the DA Form 2028 program. You may also mail, e-mail, or fax your comments or DA Form 2028 directly to the U.S. Army Tank-automotive and Armaments Command. The postal mail address is U.S. Army Tank-automotive and Armaments Command, ATTN: AMSTA-LCL-IMP/TECH PUBS, MS 727, 6501 E. 11 Mile Road, Warren, MI 48397-5000. The e-mail address is usarmy.detroit.tacom.mbx.ilsc-tech-pubs@mail.mil . The fax number is DSN 786-1856 or Commercial (586) 282-1856. A reply will be furnished to you.	-1	47	0	0	0		0		0	Submit your DA Form 2028 through the Internet on the TULSA Web site. Access to all applications requires CAC authentication. Fill out the form and click SUBMIT. You may also mail, email or send comments directly at U	Submit your DA Form 2028 through the Internet on the TULSA Web site. Access to all applications requires CAC authentication. Fill out the form and click SUBMIT. You may also mail, email or send comments directly at U	
	HOW TO USE THIS MANUAL	-1	48	1	0	0	HOW TO USE THIS MANUAL	2		0	HOW TO USE THIS MANUAL		Manual provides operator information required to support the 8 Meter Army Rigid Inflatable Boat (RIB) tasks are noted at beginning of each authorized Work Package (WP). Explode. Views and cut-away diagrams make it easier to understand if needed a part is missing e. Warnings are precedeeden by the word NOTE. Warnings are preceden with the word 'NOT strictly monitored'. No personnel injury should occur unless specifically noted a system 'is not strictly observed' or
	GENERAL	-1	48	1	0	0		2		1	GENERAL		
	This manual has been prepared and illustrated to provide operator information required to support the 8 Meter Army Rigid Inflatable Boat (RIB). Tasks are noted at the beginning of each authorized Work Package (WP). To locate a WP in the manual quickly, check the table of contents in the front of the manual. The following is a guide to using this manual for its intended purpose.	-1	49	1	0	0		2		0	Manual provides operator information required to support the 8 Meter Army Rigid Inflatable Boat (RIB) tasks are noted at beginning of each authorized Work Package (WP). To locate a WP in the manual quickly, check table	Manual provides operator information required to support the 8 Meter Army Rigid Inflatable Boat (RIB) tasks are noted at beginning of each authorized Work Package (WP). To locate a WP in the manual quickly, check table	
	ILLUSTRATIONS	-1	50	1	0	0		2		1	ILLUSTRATIONS		
	Illustrations are used throughout this manual. Text is keyed to the illustrations by use of numbered callouts. When an item is called out in a WP, a number in parentheses in the text corresponds with a number on the illustration. In addition, exploded views and cut-away diagrams make the information in the manual easier to understand and follow. In addition, hidden parts will be identified using dashed leader lines.	-1	51	1	0	0		2		0	Exploded views and cut-away diagrams make the manual easier to understand. Hidden parts will be identified using dashed leader lines if needed a part is missing. Text is keyed to illustrations by use of call	Exploded views and cut-away diagrams make the manual easier to understand. Hidden parts will be identified using dashed leader lines if needed a part is missing. Text is keyed to illustrations by use of call	
