span	size	face	marker	line	page
Seek	10.0	0	-1	36	3
medical attention immediately if any of the following occur: weakness, dizziness, trouble	10.0	0	-1	37	3
breathing, painful muscle cramps, rapid pulse, pale skin, or weak pulse.	10.0	0	-1	38	3
Reference TB-	10.0	0	-1	38	3
MED 507 for proper work, rest, and water consumption cycle during extreme heat.	10.0	0	-1	39	3
Failure	10.0	0	-1	39	3
to follow this warning may cause injury or death.	10.0	0	-1	40	3
WARNING	12.0	1	-1	41	3
To avoid personal injury, get assistance when lifting components that weigh more than 40	10.0	0	-1	42	3
lbs.	10.0	0	-1	43	3
One assistant is required for items up to 75 lbs, two assistants for items up to 100 lbs,	10.0	0	-1	43	3
and three assistants for items up to 130 lbs.	10.0	0	-1	44	3
Ensure lifting is done with the knees and not	10.0	0	-1	44	3
lower back.	10.0	0	-1	45	3
Incorrect heavy lifting could result in lower back injury or crushed extremities.	10.0	0	-1	45	3
Failure to comply may result in injury to personnel.	10.0	0	-1	46	3
WARNING	12.0	1	-1	47	3
Ensure all personnel in the vicinity and operating the outboard engine wear personal	10.0	0	-1	48	3
protective equipment such as hearing protection when engine is being operated to prevent	10.0	0	-1	49	3
against potential noise hazards.	10.0	0	-1	50	3
Failure to comply may cause damage or loss of hearing.	10.0	0	-1	50	3
WARNING	12.0	1	-1	51	3
Ensure all personnel in the vicinity and operating the horn or siren wear personal protective	10.0	0	-1	52	3
equipment such as hearing protection while operating to prevent against potential noise	10.0	0	-1	53	3
hazards.	10.0	0	-1	54	3
Failure to comply may result in injury to personnel	10.0	0	-1	54	3
TM 5-1940-328-10	10.0	1	-1	55	3
a	10.0	1	-1	56	3
WARNING SUMMARY - Continued	14.0	1	-1	57	4
GENERAL SAFETY WARNING DESCRIPTIONS - Continued	10.0	1	-1	58	4
WARNING	12.0	1	-1	59	4
•	10.0	1	1	60	4
Do not service any part of the propeller while the outboard engine is running.	10.0	0	-1	60	4
Always shift the outboard engine to NEUTRAL position, turn the key switch OFF.	10.0	0	-1	61	4
•	10.0	1	1	62	4
Ensure the outboard engine and prop area are clear of people and objects before	10.0	0	-1	62	4
starting or operating outboard engine.	10.0	0	-1	63	4
Blades can be sharp and the propeller can	10.0	0	-1	63	4
continue to turn even after outboard engine is OFF.	10.0	0	-1	64	4
Moving parts of the equipment	10.0	0	-1	64	4
can cause serious injury to personnel.	10.0	0	-1	65	4
•	10.0	1	1	66	4
Failure to follow these warnings may result in injury or death to personnel	10.0	0	-1	66	4
WARNING	12.0	1	-1	67	4
To avoid pinch points between boat and trailer use of appropriate personal protective	10.0	0	-1	68	4
equipment such as gloves when handling the winch hook is required.	10.0	0	-1	69	4
Keep all body parts	10.0	0	-1	69	4
clear of contact points between boat and trailer winch, failure to comply may result in injury	10.0	0	-1	70	4
to personnel.	10.0	0	-1	71	4
WARNING	12.0	1	-1	72	4
To prevent falls from the sides, rear, or top of the boat, personnel should always maintain	10.0	0	-1	73	4
three points of contact (for example two feet and one hand) when climbing in, out, and on	10.0	0	-1	74	4
the boat.	10.0	0	-1	75	4
Failure to comply may result in injury to personnel.	10.0	0	-1	75	4
WARNING	12.0	1	-1	76	4
Always use the emergency stop lanyard when operating the engines to prevent runaway	10.0	0	-1	77	4
boat.	10.0	0	-1	78	4
Keep emergency stop lanyard free from obstructions and entanglements.	10.0	0	-1	78	4
Failure to	10.0	0	-1	78	4
comply may result in damage to equipment or injury to personnel.	10.0	0	-1	79	4
EXPLANATION OF HAZARDOUS MATERIAL ICONS	10.0	1	-1	80	4
<img0001>	-1.0	-1	-1	81	4
CHEMICAL	10.0	1	-1	82	4
- drops of liquid on hand shows that the material will cause burns or irritation to human skin	10.0	0	-1	82	4
or tissue.	10.0	0	-1	83	4
<img0002>	-1.0	-1	-1	84	4
EXPLOSION	10.0	1	-1	85	4
- rapidly expanding symbol shows that the material may explode if subjected to high	10.0	0	-1	85	4
temperatures, sources of ignition or high pressure.	10.0	0	-1	86	4
<img0003>	-1.0	-1	-1	87	4
FIRE	10.0	1	-1	88	4
- flame shows that a material may ignite and cause burns.	10.0	0	-1	88	4
<img0004>	-1.0	-1	-1	89	4
VAPOR	10.0	1	-1	90	4
- human figure in a cloud shows that material vapors present a danger to life or health.	10.0	0	-1	90	4
<img0005>	-1.0	-1	-1	91	4
SLICK FLOOR	10.0	1	-1	92	4
- indicates slippery floor that present a danger.	10.0	0	-1	92	4
TM 5-1940-328-10	10.0	1	-1	93	4
b	10.0	1	-1	94	4
WARNING SUMMARY - Continued	14.0	1	-1	95	5
EXPLANATION OF HAZARDOUS MATERIAL ICONS - Continued	10.0	1	-1	96	5
<img0006>	-1.0	-1	-1	97	5
EYE PROTECTION	10.0	1	-1	98	5
- indicates hazardous situation in which eye protection should be used.	10.0	0	-1	98	5
HAZARDOUS MATERIALS WARNING DESCRIPTIONS	10.0	1	-1	99	5
WARNING	12.0	1	-1	100	5
<img0007>	-1.0	-1	-1	101	5
<img0008>	-1.0	-1	-1	102	5
<img0009>	-1.0	-1	-1	103	5
Brake Fluid may be flammable.	10.0	0	-1	104	5
Keep away from heat, open flame and/or other	10.0	0	-1	104	5
ignition sources.	10.0	0	-1	105	5
Prolonged contact with brake fluid may cause a skin rash.	10.0	0	-1	105	5
Wear	10.0	0	-1	105	5
personal protective equipment such as eyewear, gloves and clothing.	10.0	0	-1	106	5
Remove	10.0	0	-1	106	5
saturated clothing immediately and thoroughly wash skin that comes in contact	10.0	0	-1	107	5
with brake fluid.	10.0	0	-1	108	5
If exposed, flush skin and/or eyes with water and seek medical	10.0	0	-1	108	5
attention.	10.0	0	-1	109	5
Use a drain pan or suitable container to capture any draining, leaking or spilled	10.0	0	-1	110	5
fluid.	10.0	0	-1	111	5
Refer to local procedures and plans for preventing and responding to fluid	10.0	0	-1	111	5
spills or leaks.	10.0	0	-1	112	5
Immediately clean up spilled oil.	10.0	0	-1	112	5
Keep cloths/rags away from open	10.0	0	-1	112	5
flame and/or ignition sources.	10.0	0	-1	113	5
Comply with local procedures and environmental	10.0	0	-1	113	5
regulations when disposing of brake fluid, soiled/cleanup materials (such as filters	10.0	0	-1	114	5
and rags), and drained, leaked or spilled fluids.	10.0	0	-1	115	5
Failure to comply may result in injury to personnel and/or damage to the	10.0	0	-1	116	5
environment.	10.0	0	-1	117	5
TM 5-1940-328-10	10.0	1	-1	118	5
c	10.0	1	-1	119	5
WARNING SUMMARY - Continued	14.0	1	-1	120	6
HAZARDOUS MATERIALS WARNING DESCRIPTIONS - Continued	10.0	1	-1	121	6
WARNING	12.0	1	-1	122	6
<img0010>	-1.0	-1	-1	123	6
<img0011>	-1.0	-1	-1	124	6
<img0012>	-1.0	-1	-1	125	6
<img0013>	-1.0	-1	-1	126	6
<img0014>	-1.0	-1	-1	127	6
<img0015>	-1.0	-1	-1	128	6
•	10.0	1	1	129	6
Fuel is flammable and harmful to health.	10.0	0	-1	129	6
Keep fuel away from heat or ignition	10.0	0	-1	129	6
sources.	10.0	0	-1	130	6
DO NOT smoke within 50 feet (15 m) of a fuel source.	10.0	0	-1	130	6
Do not work on	10.0	0	-1	130	6
fuel system when engine is hot.	10.0	0	-1	131	6
Shut down engine before refueling.	10.0	0	-1	131	6
Ensure fuel	10.0	0	-1	131	6
nozzle is grounded to filler neck.	10.0	0	-1	132	6
Do not overfill fuel tank.	10.0	0	-1	132	6
Keep fire extinguisher	10.0	0	-1	132	6
nearby.	10.0	0	-1	133	6
Wear personal protective equipment such as gloves and eye protection	10.0	0	-1	133	6
and ensure adequate ventilation during refueling.	10.0	0	-1	134	6
•	10.0	1	1	135	6
Refer to local procedures and plans for preventing and responding to fuel spills or	10.0	0	-1	135	6
leaks.	10.0	0	-1	136	6
Use a drain pan or suitable container to capture any draining, leaking or	10.0	0	-1	136	6
spilled fuel.	10.0	0	-1	137	6
Immediately clean up spilled fuel.	10.0	0	-1	137	6
Keep cloths/rags away from open	10.0	0	-1	137	6
flame and/or ignition sources.	10.0	0	-1	138	6
Comply with local procedures and environmental	10.0	0	-1	138	6
regulations when disposing of unused fuel, soiled/cleanup materials (such as filters	10.0	0	-1	139	6
and rags), and drained, leaked or spilled fuel.	10.0	0	-1	140	6
•	10.0	1	1	141	6
Failure to comply may result in injury to personnel and/or damage to the	10.0	0	-1	141	6
environment.	10.0	0	-1	142	6
WARNING	12.0	1	-1	143	6
<img0016>	-1.0	-1	-1	144	6
Ensure engine is operated in well ventilated area.	10.0	0	-1	145	6
DO NOT idle engine without proper	10.0	0	-1	145	6
ventilation.	10.0	0	-1	146	6
•	10.0	1	1	147	6
BE ALERT for exhaust poisoning symptoms.	10.0	0	-1	147	6
They are: Headache, Dizziness,	10.0	0	-1	147	6
Sleepiness, Loss of muscular control.	10.0	0	-1	148	6
•	10.0	1	1	149	6
If you see another person with exhaust poisoning symptoms:	10.0	0	-1	149	6
•	10.0	1	1	150	6
Remove person from area.	10.0	0	-1	150	6
•	10.0	1	1	151	6
Expose to fresh air.	10.0	0	-1	151	6
•	10.0	1	1	152	6
Keep person warm.	10.0	0	-1	152	6
•	10.0	1	1	153	6
DO NOT permit physical exercise.	10.0	0	-1	153	6
•	10.0	1	1	154	6
Administer Cardiopulmonary Resuscitation (CPR) if necessary.	10.0	0	-1	154	6
•	10.0	1	1	155	6
Notify a medic.	10.0	0	-1	155	6
TM 5-1940-328-10	10.0	1	-1	156	6
d	10.0	1	-1	157	6
WARNING SUMMARY - Continued	14.0	1	-1	158	7
HAZARDOUS MATERIALS WARNING DESCRIPTIONS - Continued	10.0	1	-1	159	7
WARNING	12.0	1	-1	160	7
<img0017>	-1.0	-1	-1	161	7
<img0018>	-1.0	-1	-1	162	7
•	10.0	1	1	163	7
Lubricating Oil may be flammable.	10.0	0	-1	163	7
Keep away from heat, open flame and/or other	10.0	0	-1	163	7
ignition sources.	10.0	0	-1	164	7
Prolonged contact with lubricating oil may cause a skin rash.	10.0	0	-1	164	7
Wear personal protective eyewear, gloves and clothing.	10.0	0	-1	165	7
Remove saturated	10.0	0	-1	165	7
clothing immediately and thoroughly wash skin that comes in contact with	10.0	0	-1	166	7
lubricating oil.	10.0	0	-1	167	7
If exposed, flush skin and/or eyes with water and seek medical	10.0	0	-1	167	7
attention.	10.0	0	-1	168	7
•	10.0	1	1	169	7
Use a drain pan or suitable container to capture any draining, leaking or spilled	10.0	0	-1	169	7
fluid.	10.0	0	-1	170	7
Refer to local procedures and plans for preventing and responding to fluid	10.0	0	-1	170	7
spills or leaks.	10.0	0	-1	171	7
Immediately clean up spilled oil.	10.0	0	-1	171	7
Keep cloths/rags away from open	10.0	0	-1	171	7
flame and/or ignition sources.	10.0	0	-1	172	7
Comply with local procedures and environmental	10.0	0	-1	172	7
regulations when disposing of lubricating oil, soiled/cleanup materials (such as	10.0	0	-1	173	7
filters and rags), and drained, leaked or spilled fluids.	10.0	0	-1	174	7
•	10.0	1	1	175	7
Failure to comply may result in injury to personnel and/or damage to the	10.0	0	-1	175	7
environment.	10.0	0	-1	176	7
TM 5-1940-328-10	10.0	1	-1	177	7
e/blank	10.0	1	-1	178	7
Date of issue for the original manual is:	10.0	0	-1	179	9
Original	10.0	0	-1	180	9
01	10.0	0	2	180	9
June	10.0	0	-1	180	9
2019	10.0	0	-1	180	9
TOTAL NUMBER OF PAGES FOR FRONT AND REAR MATTER IS 32 AND TOTAL NUMBER OF	10.0	1	-1	181	9
WORK PACKAGES IS 63, CONSISTING OF THE FOLLOWING:	10.0	1	-1	182	9
Page/WP No.	10.0	1	-1	183	9
Change No.	10.0	1	-1	183	9
Front Cover	10.0	0	-1	184	9
0	10.0	0	2	184	9
Blank	10.0	0	-1	185	9
0	10.0	0	2	185	9
a-j/blank	10.0	0	-1	186	9
0	10.0	0	2	186	9
i-xxxii/blank	10.0	0	-1	187	9
0	10.0	0	2	187	9
Chapter 1 Title Page	10.0	0	-1	188	9
0	10.0	0	2	188	9
Blank	10.0	0	-1	189	9
0	10.0	0	2	189	9
WP 0001 (8 pages)	10.0	0	-1	190	9
0	10.0	0	2	190	9
WP 0002 (8 pages)	10.0	0	-1	191	9
0	10.0	0	2	191	9
WP 0003 (2 pages)	10.0	0	-1	192	9
0	10.0	0	2	192	9
Chapter 2 Title Page	10.0	0	-1	193	9
0	10.0	0	2	193	9
Blank	10.0	0	-1	194	9
0	10.0	0	2	194	9
WP 0004 (18 pages)	10.0	0	-1	195	9
0	10.0	0	2	195	9
WP 0005 (8 pages)	10.0	0	-1	196	9
0	10.0	0	2	196	9
WP 0006 (8 pages)	10.0	0	-1	197	9
0	10.0	0	2	197	9
WP 0007 (4 pages)	10.0	0	-1	198	9
0	10.0	0	2	198	9
WP 0008 (8 pages)	10.0	0	-1	199	9
0	10.0	0	2	199	9
WP 0009 (2 pages)	10.0	0	-1	200	9
0	10.0	0	2	200	9
WP 0010 (4 pages)	10.0	0	-1	201	9
0	10.0	0	2	201	9
WP 0011 (4 pages)	10.0	0	-1	202	9
0	10.0	0	2	202	9
WP 0012 (4 pages)	10.0	0	-1	203	9
0	10.0	0	2	203	9
WP 0013 (2 pages)	10.0	0	-1	204	9
0	10.0	0	2	204	9
WP 0014 (20 pages)	10.0	0	-1	205	9
0	10.0	0	2	205	9
WP 0015 (6 pages)	10.0	0	-1	206	9
0	10.0	0	2	206	9
WP 0016 (22 pages)	10.0	0	-1	207	9
0	10.0	0	2	207	9
WP 0017 (6 pages)	10.0	0	-1	208	9
0	10.0	0	2	208	9
WP 0018 (14 pages)	10.0	0	-1	209	9
0	10.0	0	2	209	9
WP 0019 (10 pages)	10.0	0	-1	210	9
0	10.0	0	2	210	9
WP 0020 (6 pages)	10.0	0	-1	211	9
0	10.0	0	2	211	9
WP 0021 (8 pages)	10.0	0	-1	212	9
0	10.0	0	2	212	9
WP 0022 (10 pages)	10.0	0	-1	213	9
0	10.0	0	2	213	9
WP 0023 (4 pages)	10.0	0	-1	214	9
0	10.0	0	2	214	9
WP 0024 (12 pages)	10.0	0	-1	215	9
0	10.0	0	2	215	9
WP 0025 (4 pages)	10.0	0	-1	216	9
0	10.0	0	2	216	9
WP 0026 (10 pages)	10.0	0	-1	217	9
0	10.0	0	2	217	9
WP 0027 (2 pages)	10.0	0	-1	218	9
0	10.0	0	2	218	9
WP 0028 (10 pages)	10.0	0	-1	219	9
0	10.0	0	2	219	9
WP 0029 (2 pages)	10.0	0	-1	220	9
0	10.0	0	2	220	9
WP 0030 (2 pages)	10.0	0	-1	221	9
0	10.0	0	2	221	9
WP 0031 (4 pages)	10.0	0	-1	222	9
0	10.0	0	2	222	9
WP 0032 (2 pages)	10.0	0	-1	223	9
0	10.0	0	2	223	9
WP 0033 (2 pages)	10.0	0	-1	224	9
0	10.0	0	2	224	9
WP 0034 (2 pages)	10.0	0	-1	225	9
0	10.0	0	2	225	9
Page/WP No.	10.0	1	-1	226	9
Change No.	10.0	1	-1	226	9
WP 0035 (2 pages)	10.0	0	-1	227	9
0	10.0	0	2	227	9
WP 0036 (2 pages)	10.0	0	-1	228	9
0	10.0	0	2	228	9
WP 0037 (4 pages)	10.0	0	-1	229	9
0	10.0	0	2	229	9
WP 0038 (2 pages)	10.0	0	-1	230	9
0	10.0	0	2	230	9
WP 0039 (8 pages)	10.0	0	-1	231	9
0	10.0	0	2	231	9
Chapter 3 Title Page	10.0	0	-1	232	9
0	10.0	0	2	232	9
Blank	10.0	0	-1	233	9
0	10.0	0	2	233	9
WP 0040 (2 pages)	10.0	0	-1	234	9
0	10.0	0	2	234	9
WP 0041 (4 pages)	10.0	0	-1	235	9
0	10.0	0	2	235	9
WP 0042 (4 pages)	10.0	0	-1	236	9
0	10.0	0	2	236	9
WP 0043 (4 pages)	10.0	0	-1	237	9
0	10.0	0	2	237	9
WP 0044 (2 pages)	10.0	0	-1	238	9
0	10.0	0	2	238	9
WP 0045 (4 pages)	10.0	0	-1	239	9
0	10.0	0	2	239	9
WP 0046 (2 pages)	10.0	0	-1	240	9
0	10.0	0	2	240	9
WP 0047 (2 pages)	10.0	0	-1	241	9
0	10.0	0	2	241	9
WP 0048 (4 pages)	10.0	0	-1	242	9
0	10.0	0	2	242	9
WP 0049 (4 pages)	10.0	0	-1	243	9
0	10.0	0	2	243	9
WP 0050 (4 pages)	10.0	0	-1	244	9
0	10.0	0	2	244	9
WP 0051 (4 pages)	10.0	0	-1	245	9
0	10.0	0	2	245	9
WP 0052 (4 pages)	10.0	0	-1	246	9
0	10.0	0	2	246	9
Chapter 4 Title Page	10.0	0	-1	247	9
0	10.0	0	2	247	9
Blank	10.0	0	-1	248	9
0	10.0	0	2	248	9
WP 0053 (4 pages)	10.0	0	-1	249	9
0	10.0	0	2	249	9
WP 0054 (72 pages)	10.0	0	-1	250	9
0	10.0	0	2	250	9
Chapter 5 Title Page	10.0	0	-1	251	9
0	10.0	0	2	251	9
Blank	10.0	0	-1	252	9
0	10.0	0	2	252	9
WP 0055 (2 pages)	10.0	0	-1	253	9
0	10.0	0	2	253	9
WP 0056 (2 pages)	10.0	0	-1	254	9
0	10.0	0	2	254	9
WP 0057 (2 pages)	10.0	0	-1	255	9
0	10.0	0	2	255	9
WP 0058 (2 pages)	10.0	0	-1	256	9
0	10.0	0	2	256	9
WP 0059 (2 pages)	10.0	0	-1	257	9
0	10.0	0	2	257	9
WP 0060 (12 pages)	10.0	0	-1	258	9
0	10.0	0	2	258	9
Chapter 6 Title Page	10.0	0	-1	259	9
0	10.0	0	2	259	9
Blank	10.0	0	-1	260	9
0	10.0	0	2	260	9
WP 0061 (2 pages)	10.0	0	-1	261	9
0	10.0	0	2	261	9
WP 0062 (14 pages)	10.0	0	-1	262	9
0	10.0	0	2	262	9
WP 0063 (2 pages)	10.0	0	-1	263	9
0	10.0	0	2	263	9
FO – 01 (14 pages)	10.0	0	-1	264	9
0	10.0	0	2	264	9
Inside back cover	10.0	0	-1	265	9
0	10.0	0	2	265	9
Back cover	10.0	0	-1	266	9
0	10.0	0	2	266	9
TM 5-1940-328-10	10.0	1	-1	267	9
LIST OF EFFECTIVE PAGES/WORK PACKAGES	14.0	1	-1	268	9
A/blank	10.0	1	-1	269	9
"NOTE: Zero in the ""Change No."" column indicates an original page or work package."	12.0	0	-1	270	9
HEADQUARTERS, DEPARTMENT OF THE ARMY	10.0	1	-1	271	11
WASHINGTON, DC,	10.0	1	-1	272	11
01 JUNE	10.0	1	-1	272	11
2019	10.0	1	-1	272	11
OPERATOR MANUAL	10.0	1	-1	273	11
FOR	10.0	1	-1	274	11
RIGID INFLATABLE BOAT (RIB)	9.600000381469727	1	-1	275	11
P/N NSW8MTR-OPEN-001	9.600000381469727	1	-1	276	11
NSN 1940-01–646–7565	9.600000381469727	1	-1	277	11
DISTRIBUTION STATEMENT C	8.0	1	-1	278	11
- Distribution authorized to U.S.	8.0	0	-1	278	11
Government Agencies and their contractors only for Administrative-	8.0	0	-1	278	11
Operational Use as determined on 16 July 2014.	8.0	0	-1	279	11
Other requests for this document shall be referred to	8.0	0	-1	279	11
US Army Tank-automotive and	8.0	0	-1	279	11
Armaments Command,	8.0	0	-1	280	11
ATTN: Product Manager, Sets, Kits, Outfits & Tools (PM-SKOT), MS 901, Selfridge ANGB, SFAE-CSSFP-SK, MS	8.0	0	-1	280	11
640, 6501 E.	8.0	0	-1	281	11
11 Mile Road, Warren, MI 48397-5000.	8.0	0	-1	281	11
DESTRUCTION NOTICE	8.0	1	-1	282	11
– Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	8.0	0	-1	282	11
COPYRIGHT RELEASE	8.0	1	-1	283	11
-	8.0	0	-1	283	11
The contractor has obtained and provided to the Government copyright releases in writing from all pertinent	8.0	0	-1	283	11
copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical	8.0	0	-1	284	11
manual to Government agencies and their contractors.	8.0	0	-1	285	11
TM 5-1940-328-10	10.0	1	-1	286	11
i	10.0	1	-1	287	11
REPORTING ERRORS AND RECOMMENDING	10.020000457763672	1	-1	288	11
IMPROVEMENTS	9.962652206420898	1	-1	288	11
You can help improve this publication.	10.020000457763672	0	-1	289	11
If you find any errors, or if you would like to recommend any	10.020000457763672	0	-1	289	11
improvements to the procedures in this publication, please let us know.	10.020000457763672	0	-1	290	11
The preferred method is to	10.020000457763672	0	-1	290	11
submit your DA Form 2028 (Recommended Changes to Publications and Blank Forms) through the	10.020000457763672	0	-1	291	11
Internet on the TACOM Unique Logistics Support Applications (TULSA) Web site.	10.020000457763672	0	-1	292	11
The Internet	10.020000457763672	0	-1	292	11
address is	10.020000457763672	0	-1	293	11
https://tulsa.tacom.army.mil	10.020000457763672	0	-1	293	11
. Access to all applications	10.020000457763672	0	-1	293	11
requires CAC	9.971260070800781	0	-1	293	11
authentication, and	10.020000457763672	0	-1	293	11
you must complete the Access Request form the first time you use it.	10.020000457763672	0	-1	294	11
The DA Form 2028 is located	10.020000457763672	0	-1	294	11
under the TULSA Applications on the left-hand navigation bar.	10.020000457763672	0	-1	295	11
Fill out the form and click on SUBMIT.	10.020000457763672	0	-1	295	11
Using this form on the TULSA Web site will enable us to respond more quickly to your comments and	10.020000457763672	0	-1	296	11
to better manage the DA Form 2028 program.	10.020000457763672	0	-1	297	11
You may also mail, e-mail, or fax your comments or DA	10.020000457763672	0	-1	297	11
Form 2028 directly to the U.S.	10.020000457763672	0	-1	298	11
Army Tank-automotive and Armaments Command.	10.020000457763672	0	-1	298	11
The postal mail	10.020000457763672	0	-1	298	11
address is U.S.	10.020000457763672	0	-1	299	11
Army Tank-automotive and Armaments Command, ATTN: AMSTA-LCL-IMP/TECH	10.020000457763672	0	-1	299	11
PUBS, MS 727, 6501 E.	10.020000457763672	0	-1	300	11
11 Mile Road, Warren, MI 48397-5000.	10.020000457763672	0	-1	300	11
The e-mail address is	10.020000457763672	0	-1	300	11
usarmy.detroit.tacom.mbx.ilsc-tech-pubs@mail.mil	10.020000457763672	0	-1	301	11
. The fax number is DSN 786-1856 or Commercial	10.020000457763672	0	-1	301	11
(586) 282-1856.	10.020000457763672	0	-1	302	11
A reply will be furnished to you.	10.020000457763672	0	-1	302	11
TABLE OF CONTENTS	14.0	1	-1	303	12
Page No.	10.0	1	-1	304	12
WP Sequence No.	10.0	1	-1	305	12
HOW TO USE THIS MANUAL.................................................................................................................................. v	10.0	0	-1	306	12
Chapter 1 - GENERAL INFORMATION	10.0	1	-1	307	12
GENERAL INFORMATION................................................................................................................ WP 0001	10.0	0	-1	308	12
EQUIPMENT DESCRIPTION AND DATA......................................................................................... WP 0002	10.0	0	-1	309	12
THEORY OF OPERATION................................................................................................................ WP 0003	10.0	0	-1	310	12
Chapter 2 - OPERATOR INSTRUCTIONS FOR RIGID INFLATABLE BOAT (RIB)	10.0	1	-1	311	12
DESCRIPTION AND USE OF CONTROLS AND INDICATORS....................................................... WP 0004	10.0	0	-1	312	12
OPERATING UNDER USUAL CONDITIONS PRE-START PROCEDURES.................................... WP 0005	10.0	0	-1	313	12
OPERATING UNDER USUAL CONDITIONS LAUNCHING BY TRAILER.......................................  WP 0006	10.0	0	-1	314	12
OPERATING UNDER USUAL CONDITIONS STARTING PROCEDURES...................................... WP 0007	10.0	0	-1	315	12
OPERATING UNDER USUAL CONDITIONS DOCKING AND CASTING OFF................................ WP 0008	10.0	0	-1	316	12
OPERATING UNDER USUAL CONDITIONS LOADING..................................................................  WP 0009	10.0	0	-1	317	12
OPERATING UNDER USUAL CONDITIONS OPERATION UNDERWAY AND TRIMMING............ WP 0010	10.0	0	-1	318	12
OPERATING UNDER USUAL CONDITIONS SPOTLIGHT..............................................................  WP 0011	10.0	0	-1	319	12
OPERATING UNDER USUAL CONDITIONS LOUD SPEAKER AND SIREN.................................. WP 0012	10.0	0	-1	320	12
OPERATING UNDER USUAL CONDITIONS VESSEL SYSTEM MONITOR................................... WP 0013	10.0	0	-1	321	12
OPERATING UNDER USUAL CONDITIONS MULTI-FUNCTION DISPLAY OVERVIEW...............  WP 0014	10.0	0	-1	322	12
OPERATING UNDER USUAL CONDITIONS NAVIGATION PLOTTER OPERATION..................... WP 0015	10.0	0	-1	323	12
OPERATING UNDER USUAL CONDITIONS NAVIGATION POINTS AND ROUTES.....................  WP 0016	10.0	0	-1	324	12
OPERATING UNDER USUAL CONDITIONS NAVIGATION RADAR OPERATION......................... WP 0017	10.0	0	-1	325	12
OPERATING UNDER USUAL CONDITIONS NAVIGATION SONAR OPERATION........................  WP 0018	10.0	0	-1	326	12
OPERATING UNDER USUAL CONDITIONS COMMAND MICROPHONE REMOTE VHF.............  WP 0019	10.0	0	-1	327	12
OPERATING UNDER USUAL CONDITIONS VHF RADIO............................................................... WP 0020	10.0	0	-1	328	12
