PageID,TextDisplayValue,UnitID,UnitName,Path,UnitPath
59944,HIGH MOBILITY DECONTAMINATION SYSTEM,71120,Side Menu,/-1(*)/00(*)/01(*)/03(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Side Menu
59944,Side Menu,71120,Side Menu,/-1(*)/00(*)/01(*)/03(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Side Menu
59944,"Left click the three bar icon at anytime to open the Side Menu:Course Map: Quickly jump to any page, key word search is available.References: Provides access to additional documents related to the course.Help: Provides a descriptive PDF version of course features.Print: Prints the current page, if available.Exit Course: Closes the course.",71120,Side Menu,/-1(*)/00(*)/01(*)/03(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Side Menu
59944,Side Menu,71120,Side Menu,/-1(*)/00(*)/01(*)/03(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Side Menu
59944,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71120,Side Menu,/-1(*)/00(*)/01(*)/03(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Side Menu
59943,Left click any numbered highlight to view a description. Right click and drag to view the object from different angles. The previous and next page arrows may occasionally become locked until the current page's instruction is completed.,71121,3D Viewer,/-1(*)/00(*)/01(*)/04(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | 3D Viewer
59943,3D Viewer,71121,3D Viewer,/-1(*)/00(*)/01(*)/04(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | 3D Viewer
59943,HIGH MOBILITY DECONTAMINATION SYSTEM,71121,3D Viewer,/-1(*)/00(*)/01(*)/04(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | 3D Viewer
59943,3D Viewer,71121,3D Viewer,/-1(*)/00(*)/01(*)/04(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | 3D Viewer
59943,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71121,3D Viewer,/-1(*)/00(*)/01(*)/04(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | 3D Viewer
59942,HIGH MOBILITY DECONTAMINATION SYSTEM,71122,Simulation,/-1(*)/00(*)/01(*)/05(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Simulation
59942,Simulation,71122,Simulation,/-1(*)/00(*)/01(*)/05(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Simulation
59942,Left click to interact directly with the simulation based on the provided instruction.,71122,Simulation,/-1(*)/00(*)/01(*)/05(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Simulation
59942,Simulation,71122,Simulation,/-1(*)/00(*)/01(*)/05(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Simulation
59942,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71122,Simulation,/-1(*)/00(*)/01(*)/05(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Simulation
59955,SYSTEM OVERVIEW,71137,System Overview,/-1(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Overview
59955,HIGH MOBILITY DECONTAMINATION SYSTEM,71137,System Overview,/-1(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Overview
59955,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71137,System Overview,/-1(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Overview
59956,System Overview Objectives,71138,System Overview Objectives,/-1(*)/01(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Overview Objectives | System Overview Objectives
59956,HIGH MOBILITY DECONTAMINATION SYSTEM,71138,System Overview Objectives,/-1(*)/01(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Overview Objectives | System Overview Objectives
59956,By the end of this lesson you will be able to:,71138,System Overview Objectives,/-1(*)/01(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Overview Objectives | System Overview Objectives
59956,Explain the mission of the HMDSExplain the capabilities of the HMDSIdentify the forms of decontamination solution the HMDS can deployIdentify the major components of the HMDS,71138,System Overview Objectives,/-1(*)/01(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Overview Objectives | System Overview Objectives
59956,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71138,System Overview Objectives,/-1(*)/01(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Overview Objectives | System Overview Objectives
59946,SAFETY WARNINGS,71124,Safety Warnings,/-1(*)/01(*)/02(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Warnings | Safety Warnings
59946,HIGH MOBILITY DECONTAMINATION SYSTEM,71124,Safety Warnings,/-1(*)/01(*)/02(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Warnings | Safety Warnings
59946,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71124,Safety Warnings,/-1(*)/01(*)/02(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Warnings | Safety Warnings
59949,General Safety Warnings,71128,General Safety Warnings,/-1(*)/01(*)/03(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | General Safety Warnings | General Safety Warnings
59949,HIGH MOBILITY DECONTAMINATION SYSTEM,71128,General Safety Warnings,/-1(*)/01(*)/03(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | General Safety Warnings | General Safety Warnings
60213,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71524,HMDS Overview (continued),/-1(*)/01(*)/05(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | HMDS Overview | HMDS Overview (continued)
60214,Major System Components Objectives,71526,Major System Components Objectives,/-1(*)/01(*)/06(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Major System Components | Major System Components Objectives
59949,"WARNINGRemove all jewelry before starting work. Metal objects such as rings or tools can cause serious injuries and damage to equipment. WARNINGTo prevent injury to personnel and damage to equipment, disconnect the battery prior to maintenance actions. WARNINGTOXIC CHEMICALS, DIESEL FUEL, and VOLTAGE (12V DC) are used in the operation of the equipment. CARBON-MONOXIDE is present in the exhaust gases of the engine. WARNINGALWAYS wear military standard Personal Protective Equipment (PPE) when handling, mixing, and using decontamination solutions. WARNINGALWAYS wear hearing protection while operating within 30 feet of the Power Unit. WARNINGAn operator must be in attendance at all times during operation of the Power Unit. WARNINGMake certain that the fuel supply and fuel return lines are properly connected before operating the Power Unit.",71128,General Safety Warnings,/-1(*)/01(*)/03(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | General Safety Warnings | General Safety Warnings
59949,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71128,General Safety Warnings,/-1(*)/01(*)/03(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | General Safety Warnings | General Safety Warnings
59950,General Safety Warnings (continued),71129,General Safety Warnings (continued),/-1(*)/01(*)/03(*)/03(*),High Mobility Decontamination System (HMDS) | System Overview | General Safety Warnings | General Safety Warnings (continued)
59950,HIGH MOBILITY DECONTAMINATION SYSTEM,71129,General Safety Warnings (continued),/-1(*)/01(*)/03(*)/03(*),High Mobility Decontamination System (HMDS) | System Overview | General Safety Warnings | General Safety Warnings (continued)
59950,"WARNINGOnly use authorized fuel. WARNINGKeep decontaminant containers closed and stored in a cool, dry place. Mix only in accordance with directions for use. WARNINGKeep clear of the exhaust stack during operation of the Power Unit.",71129,General Safety Warnings (continued),/-1(*)/01(*)/03(*)/03(*),High Mobility Decontamination System (HMDS) | System Overview | General Safety Warnings | General Safety Warnings (continued)
59950,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71129,General Safety Warnings (continued),/-1(*)/01(*)/03(*)/03(*),High Mobility Decontamination System (HMDS) | System Overview | General Safety Warnings | General Safety Warnings (continued)
59953,Specific Safety Warnings,71133,Specific Safety Warnings,/-1(*)/01(*)/04(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings
59953,HIGH MOBILITY DECONTAMINATION SYSTEM,71133,Specific Safety Warnings,/-1(*)/01(*)/04(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings
59953,"WARNINGPersonnel using the HMDS must be trained in the basic principles of decontamination in order to mitigate the risks of performing these inherently dangerous operations. WARNINGThe HMDS uses pressurized air (~100 psi) as an energy source to both create and propel decontamination solutions onto a target. Before operation, always verify that all hoses and accessories are properly connected. Always inspect the unit to ensure that the integrity of air lines and liquid hoses are not compromised and are serviceable In Accordance With (IAW) the Preventive Maintenance Checks and Services (PMCS) guidance set forth in this course. After operation, always turn off the Tank Drain Valves and discharge any fluids/pressure in the hose(s). Failure to do so can result in injury and/or system damage. WARNINGThe HMDS deploys various chemical and/or biological decontamination solutions. Operators must be fully trained in this type of operation. Mission Oriented Protective Posture (MOPP) is required prior, during, and after decontamination operations. WARNINGALWAYS wear eye and hearing protection while operating the HMDS.",71133,Specific Safety Warnings,/-1(*)/01(*)/04(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings
59953,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71133,Specific Safety Warnings,/-1(*)/01(*)/04(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings
59951,Specific Safety Warnings (continued),71130,Specific Safety Warnings (continued),/-1(*)/01(*)/04(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings (continued)
59951,HIGH MOBILITY DECONTAMINATION SYSTEM,71130,Specific Safety Warnings (continued),/-1(*)/01(*)/04(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings (continued)
60214,HIGH MOBILITY DECONTAMINATION SYSTEM,71526,Major System Components Objectives,/-1(*)/01(*)/06(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Major System Components | Major System Components Objectives
60214,The following section covers the major components of the HMDS.,71526,Major System Components Objectives,/-1(*)/01(*)/06(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Major System Components | Major System Components Objectives
60444,Selector Valve #1,71896,Question 3 of 5,/-1(*)/02(*)/10(*)/02(*),High Mobility Decontamination System (HMDS) | System Setup and PMCS | Checks on Learning | Question 3 of 5
60444,Selector Valve #2,71896,Question 3 of 5,/-1(*)/02(*)/10(*)/02(*),High Mobility Decontamination System (HMDS) | System Setup and PMCS | Checks on Learning | Question 3 of 5
60444,INCORRECT,71896,Question 3 of 5,/-1(*)/02(*)/10(*)/02(*),High Mobility Decontamination System (HMDS) | System Setup and PMCS | Checks on Learning | Question 3 of 5
59951,"WARNINGWhen working with any decontaminant, take appropriate measures to avoid getting the substance into the eyes and mouth or onto the skin. In the event of eye, mouth, or skin contact, refer to the Safety Data Sheet (SDS) for emergencies or first aid. WARNINGLiquids deployed by this system may be slippery. Every effort should be made to control accidental slippage and to avoid walking on areas where liquid has been spilled and/or applied. WARNINGNEVER operate the HMDS if an air line or discharge hose is worn/damaged, or if an air leak has been discovered. Once pressurized, a loose/leaking/damaged connection and/or hose may disconnect or rupture, potentially causing serious injury. WARNINGALWAYS treat the HMDS as though the discharge line(s) are pressurized. Once the system is pressurized, it will remain so until the air supply is turned off and the system is completely depressurized. A depressurized system can be identified by examining the air pressure gauge or the lack of a hissing sound. WARNINGALWAYS ensure that all connections, hoses, and nozzles are tightly attached while operating the HMDS. ALWAYS point all discharge devices in a safe direction.",71130,Specific Safety Warnings (continued),/-1(*)/01(*)/04(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings (continued)
59951,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71130,Specific Safety Warnings (continued),/-1(*)/01(*)/04(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings (continued)
59952,Specific Safety Warnings (continued),71131,Specific Safety Warnings (continued),/-1(*)/01(*)/04(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings (continued)
59952,HIGH MOBILITY DECONTAMINATION SYSTEM,71131,Specific Safety Warnings (continued),/-1(*)/01(*)/04(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings (continued)
60217,HIGH MOBILITY DECONTAMINATION SYSTEM,71530,System Tanks,/-1(*)/01(*)/08(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | System Tanks
60218,Tank Inspection/Cleanout Ports,71533,Tank Inspection/Cleanout Ports,/-1(*)/01(*)/08(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | Tank Inspection/Cleanout Ports
60218,HIGH MOBILITY DECONTAMINATION SYSTEM,71533,Tank Inspection/Cleanout Ports,/-1(*)/01(*)/08(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | Tank Inspection/Cleanout Ports
60218,There are four (4) Inspection/Cleanout Ports incorporated into each tank . They can be used to assist with tank cleaning and content inspection. These ports have lanyard-attached camlock caps.,71533,Tank Inspection/Cleanout Ports,/-1(*)/01(*)/08(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | Tank Inspection/Cleanout Ports
59952,"WARNINGThe HMDS engine runs on diesel fuel. Observe all applicable precautions when handling, storing, or dispensing fuels. WARNINGThe Power Unit uses a 12V DC battery to supply electrical energy to the starter. To mitigate risks associated with the battery/charging system, do not remove or install any cables while the system is running or energized. Never allow any object to touch metal components in the battery box or other electrical components. WARNINGDisconnect all battery cables before servicing the HMDS engine. WARNINGSome parts of this system, especially the exhaust system, may be hot to the touch during and after operation. NEVER attempt to service internal components while the HMDS is running! Once the system is shut down, allow adequate time for components to cool before attempting to service any internal components. WARNINGThe operator shall have a firm grip and wide stance while discharging a hose from a spray nozzle. The HMDS propels solutions with significant force! Once the system is pressurized, never release the hose prior to closing the discharge nozzle/D-bale hand set and/or the Pump Control valve. A loose discharge hose will whip around violently and can cause serious injury or equipment damage. Always close the Pump Control valve on the Power Unit's Control Panel and relieve pressure from the discharge line before releasing the hose.",71131,Specific Safety Warnings (continued),/-1(*)/01(*)/04(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings (continued)
59952,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71131,Specific Safety Warnings (continued),/-1(*)/01(*)/04(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | Specific Safety Warnings | Specific Safety Warnings (continued)
60208,HMDS Overview,71498,HMDS Overview,/-1(*)/01(*)/05(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | HMDS Overview | HMDS Overview
60208,HIGH MOBILITY DECONTAMINATION SYSTEM,71498,HMDS Overview,/-1(*)/01(*)/05(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | HMDS Overview | HMDS Overview
60218,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71533,Tank Inspection/Cleanout Ports,/-1(*)/01(*)/08(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | Tank Inspection/Cleanout Ports
60219,Tank Selector Valve Assembly,71534,Tank Selector Valve Assembly,/-1(*)/01(*)/08(*)/03(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | Tank Selector Valve Assembly
60219,HIGH MOBILITY DECONTAMINATION SYSTEM,71534,Tank Selector Valve Assembly,/-1(*)/01(*)/08(*)/03(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | Tank Selector Valve Assembly
60208,"The High Mobility Decontamination System (HMDS) is a modular, diesel-driven system specifically designed for rapid, mobile decontamination missions for terrain and military equipment. The system is designed to be operated while mounted in the back of a M1083 vehicle or on a M1095 trailer, while stationary or mobile. The HMDS Power Unit uses a Diesel engine-powered air compressor to create and propel decontamination solutions through a 1.5"" (3.81cm) pump. It deploys these solutions through vehicle- or trailer-mounted spray bars, a remote-control stanchion-mounted Monitor (water cannon), and non-collapsible hoses with D-Bale handset(s).  The HMDS is capable of drafting from external water sources, such as bulk tanks or natural bodies of water. In addition to the Power Unit, the HMDS incorporates two solution-mixing tanks, each with a fill capacity of 750 gallons. The tanks are constructed with internal baffles to minimize liquid movement and weight shift during transport.",71498,HMDS Overview,/-1(*)/01(*)/05(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | HMDS Overview | HMDS Overview
60208,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71498,HMDS Overview,/-1(*)/01(*)/05(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | HMDS Overview | HMDS Overview
60213,HMDS Overview (continued),71524,HMDS Overview (continued),/-1(*)/01(*)/05(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | HMDS Overview | HMDS Overview (continued)
60213,HIGH MOBILITY DECONTAMINATION SYSTEM,71524,HMDS Overview (continued),/-1(*)/01(*)/05(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | HMDS Overview | HMDS Overview (continued)
60213,"The HMDS can deploy decontamination solutions in two forms: liquid and slurry. Liquid ? Water, Calcium hypochlorite (HTH),  Joint General Purpose Decontaminate for Hardened Military Equipment (JGPD-HME) only. Slurry ? Super Tropical Bleach (STB), concentrated solution that is applied in a semi-liquid consistency.  Additional System Performance Information Output Stream: 90-95 Gallons Per Minute (GPM)Output Discharge Distance: Up to ~90' (Dependent upon user settings, decontaminant, nozzle, wind, and other factors)Zero-Prime Drafting: Up to ~20' of vertical liftHydrant Fill Capability: Dispensed directly into a tank",71524,HMDS Overview (continued),/-1(*)/01(*)/05(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | HMDS Overview | HMDS Overview (continued)
60214,The major components of the HMDS are: The Power UnitSystem TanksHose KitHosesNozzlesThe Monitor (Water Cannon)Front Spray Bar (FSB)Rear Spray Bar (RSB)De-Icer KitCab and Tailgate MagnetsFuel Container and Gauge,71526,Major System Components Objectives,/-1(*)/01(*)/06(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Major System Components | Major System Components Objectives
60214,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71526,Major System Components Objectives,/-1(*)/01(*)/06(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Major System Components | Major System Components Objectives
60215,The Power Unit,71528,The Power Unit,/-1(*)/01(*)/07(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | The Power Unit
60215,HIGH MOBILITY DECONTAMINATION SYSTEM,71528,The Power Unit,/-1(*)/01(*)/07(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | The Power Unit
60212,HIGH MOBILITY DECONTAMINATION SYSTEM,71504,Programmable Logic Control (PLC) Controls and Indicators,/-1(*)/01(*)/07(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | Programmable Logic Control (PLC) Controls and Indicators
60212,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71504,Programmable Logic Control (PLC) Controls and Indicators,/-1(*)/01(*)/07(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | Programmable Logic Control (PLC) Controls and Indicators
60217,System Tanks,71530,System Tanks,/-1(*)/01(*)/08(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | System Tanks
60251,Click Image,71581,Hoses,/-1(*)/01(*)/10(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | Hoses | Hoses
60215,"The Power Unit provides the power to run all HDMS equipment. It consists of: A Kubota M EngineA Rotary Screw Compressor - Type SC18A Pneumatic PumpA Programmable Logic Control (PLC)A Parker/Racor R20P Fuel and Water Separator with Pump/Primer The Power Unit is affixed to an 80"" x 60"" platform, which is used to anchor the Power Unit to the bed of a truck. The platform must be strapped down to the bed of a truck for transit.  WARNING!When using a forklift to lift the Power Unit platform, extended forks (at least 72"" long) must be used. Insert the forks under the Power Unit platform for proper weight distribution! Failure to use the correct forks may result in injury and system damage. Only lift the Power Unit/platform with extended forks from the driver?s side of the vehicle or the tailgate end of the platform.",71528,The Power Unit,/-1(*)/01(*)/07(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | The Power Unit
60215,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71528,The Power Unit,/-1(*)/01(*)/07(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | The Power Unit
60211,Power Unit Controls and Indicators,71503,Power Unit Controls and Indicators,/-1(*)/01(*)/07(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | Power Unit Controls and Indicators
60211,HIGH MOBILITY DECONTAMINATION SYSTEM,71503,Power Unit Controls and Indicators,/-1(*)/01(*)/07(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | Power Unit Controls and Indicators
60211,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71503,Power Unit Controls and Indicators,/-1(*)/01(*)/07(*)/01(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | Power Unit Controls and Indicators
60212,Programmable Logic Control (PLC) Controls and Indicators,71504,Programmable Logic Control (PLC) Controls and Indicators,/-1(*)/01(*)/07(*)/02(*),High Mobility Decontamination System (HMDS) | System Overview | The Power Unit | Programmable Logic Control (PLC) Controls and Indicators
60128,Introduction,71411,Drafting Operation,/-1(*)/04(*)/10(*)/00(*),High Mobility Decontamination System (HMDS) | Operating the System | Drafting Operation | Drafting Operation
60217,"The HMDS has two 750-gallon tanks with incorporated skids. Tank Specifications:Weight (empty): ~1,000 lbs.  Weight (full of water): ~7,500 lbs.  Overall Dimensions (with skid, without storage basket): 92"" L x 80"" W x 43.5"" H Actual Dimensions of the Tank (outside-to-outside): 68"" L x 78"" W x 36"" H   The tanks are built using a 4-way, modular platform skid design which allows for 360-degree forklifting capability. EMPTY tanks can also be lifted from underneath with a forklift, using extended forks or slings and an overhead crane or wrecker. They can be loaded from either the rear or the sides of transport vehicles.  Both tanks have an approximate 13"" notched bottom lip (skid cutouts to the front to accommodate the monitor) on the front ends, which butts the tank against the front wall of the truck bed. This helps in preventing slippage and damage to the tank itself.  Each tank is equipped with a Hopper/Blender assembly and fill connection, Agitator assembly and fill connection, tank level indicator port, and a ball valve fluid output/drain with a 1.5"" camlock. WARNING! Although the tanks are sturdy and supported with internal baffles, do not stand on them! They may become very slippery and can create a slip and fall hazard.",71530,System Tanks,/-1(*)/01(*)/08(*)/00(*),High Mobility Decontamination System (HMDS) | System Overview | System Tanks | System Tanks
