word,line,page,elo,tlo,type,content
10,4,1,2,0,Page,Project
11,4,1,2,0,Page,Manager
12,4,1,2,0,Page,for
13,4,1,2,0,Page,"Chemical,"
14,4,1,2,0,Page,"Biological,"
15,4,1,2,0,Page,"Radiological,"
16,4,1,2,0,Page,and
17,4,1,2,0,Page,Nuclear
18,4,1,2,0,Page,Protection
19,4,1,2,0,Page,(23
20,4,1,2,0,Page,February
21,4,1,2,0,Page,2021)
22,4,1,2,0,Page,or
23,4,1,2,0,Page,higher
24,4,1,2,0,Page,DoD
25,4,1,2,0,Page,authority.
0,0,2,2,0,Page,Video
0,1,2,2,0,Page,HIGH
1,1,2,2,0,Page,MOBILITY
2,1,2,2,0,Page,DECONTAMINATION
3,1,2,2,0,Page,SYSTEM
0,2,2,2,0,Page,Click
1,2,2,2,0,Page,on
2,2,2,2,0,Page,any
3,2,2,2,0,Page,step
4,2,2,2,0,Page,to
5,2,2,2,0,Page,advance
6,2,2,2,0,Page,to
7,2,2,2,0,Page,that
8,2,2,2,0,Page,section
9,2,2,2,0,Page,in
10,2,2,2,0,Page,the
11,2,2,2,0,Page,video.
12,2,2,2,0,Page,Click
13,2,2,2,0,Page,the
14,2,2,2,0,Page,Previous
15,2,2,2,0,Page,(
16,2,2,2,0,Page,<
17,2,2,2,0,Page,)
18,2,2,2,0,Page,or
19,2,2,2,0,Page,Next
20,2,2,2,0,Page,(
21,2,2,2,0,Page,>
22,2,2,2,0,Page,)
23,2,2,2,0,Page,button
24,2,2,2,0,Page,to
25,2,2,2,0,Page,display
26,2,2,2,0,Page,additional
27,2,2,2,0,Page,steps.
28,2,2,2,0,Page,Hover
29,2,2,2,0,Page,your
30,2,2,2,0,Page,cursor
31,2,2,2,0,Page,over
32,2,2,2,0,Page,a
33,2,2,2,0,Page,video
34,2,2,2,0,Page,to
35,2,2,2,0,Page,display
36,2,2,2,0,Page,the
37,2,2,2,0,Page,control
38,2,2,2,0,Page,panel:Play/PauseTime/LengthAudioView
39,2,2,2,0,Page,full
40,2,2,2,0,Page,frameThree
41,2,2,2,0,Page,dots
42,2,2,2,0,Page,menu
43,2,2,2,0,Page,features
44,2,2,2,0,Page,are
45,2,2,2,0,Page,available
46,2,2,2,0,Page,when
47,2,2,2,0,Page,playing
48,2,2,2,0,Page,in
49,2,2,2,0,Page,full
50,2,2,2,0,Page,frameDownloadPicture
51,2,2,2,0,Page,in
52,2,2,2,0,Page,picture
0,3,2,2,0,Page,Video
1,3,2,2,0,Page,Controls
0,4,2,2,0,Page,DISTRIBUTION
1,4,2,2,0,Page,STATEMENT
2,4,2,2,0,Page,F:
3,4,2,2,0,Page,Further
4,4,2,2,0,Page,dissemination
5,4,2,2,0,Page,only
6,4,2,2,0,Page,as
7,4,2,2,0,Page,directed
8,4,2,2,0,Page,by
9,4,2,2,0,Page,Joint
10,4,2,2,0,Page,Project
11,4,2,2,0,Page,Manager
12,4,2,2,0,Page,for
13,4,2,2,0,Page,"Chemical,"
14,4,2,2,0,Page,"Biological,"
15,4,2,2,0,Page,"Radiological,"
16,4,2,2,0,Page,and
17,4,2,2,0,Page,Nuclear
18,4,2,2,0,Page,Protection
19,4,2,2,0,Page,(23
20,4,2,2,0,Page,February
21,4,2,2,0,Page,2021)
22,4,2,2,0,Page,or
23,4,2,2,0,Page,higher
24,4,2,2,0,Page,DoD
25,4,2,2,0,Page,authority.
0,0,3,2,0,Page,HIGH
1,0,3,2,0,Page,MOBILITY
2,0,3,2,0,Page,DECONTAMINATION
3,0,3,2,0,Page,SYSTEM
0,1,3,2,0,Page,Side
1,1,3,2,0,Page,Menu
0,2,3,2,0,Page,Side
1,2,3,2,0,Page,Menu
0,3,3,2,0,Page,Left
1,3,3,2,0,Page,click
2,3,3,2,0,Page,the
3,3,3,2,0,Page,three
4,3,3,2,0,Page,bar
5,3,3,2,0,Page,icon
6,3,3,2,0,Page,at
7,3,3,2,0,Page,anytime
8,3,3,2,0,Page,to
9,3,3,2,0,Page,open
10,3,3,2,0,Page,the
11,3,3,2,0,Page,Side
12,3,3,2,0,Page,Menu:Course
13,3,3,2,0,Page,Map:
14,3,3,2,0,Page,Quickly
15,3,3,2,0,Page,jump
16,3,3,2,0,Page,to
17,3,3,2,0,Page,any
18,3,3,2,0,Page,"page,"
19,3,3,2,0,Page,key
20,3,3,2,0,Page,word
21,3,3,2,0,Page,search
22,3,3,2,0,Page,is
23,3,3,2,0,Page,available.References:
24,3,3,2,0,Page,Provides
25,3,3,2,0,Page,access
26,3,3,2,0,Page,to
27,3,3,2,0,Page,additional
28,3,3,2,0,Page,documents
29,3,3,2,0,Page,related
30,3,3,2,0,Page,to
31,3,3,2,0,Page,the
32,3,3,2,0,Page,course.Help:
33,3,3,2,0,Page,Provides
34,3,3,2,0,Page,a
35,3,3,2,0,Page,descriptive
36,3,3,2,0,Page,PDF
37,3,3,2,0,Page,version
38,3,3,2,0,Page,of
39,3,3,2,0,Page,course
40,3,3,2,0,Page,features.Print:
41,3,3,2,0,Page,Prints
42,3,3,2,0,Page,the
43,3,3,2,0,Page,current
44,3,3,2,0,Page,"page,"
45,3,3,2,0,Page,if
46,3,3,2,0,Page,available.Exit
47,3,3,2,0,Page,Course:
48,3,3,2,0,Page,Closes
49,3,3,2,0,Page,the
50,3,3,2,0,Page,course.
0,4,3,2,0,Page,DISTRIBUTION
1,4,3,2,0,Page,STATEMENT
2,4,3,2,0,Page,F:
3,4,3,2,0,Page,Further
4,4,3,2,0,Page,dissemination
5,4,3,2,0,Page,only
6,4,3,2,0,Page,as
7,4,3,2,0,Page,directed
8,4,3,2,0,Page,by
9,4,3,2,0,Page,Joint
10,4,3,2,0,Page,Project
11,4,3,2,0,Page,Manager
12,4,3,2,0,Page,for
13,4,3,2,0,Page,"Chemical,"
14,4,3,2,0,Page,"Biological,"
15,4,3,2,0,Page,"Radiological,"
16,4,3,2,0,Page,and
17,4,3,2,0,Page,Nuclear
18,4,3,2,0,Page,Protection
19,4,3,2,0,Page,(23
20,4,3,2,0,Page,February
21,4,3,2,0,Page,2021)
22,4,3,2,0,Page,or
23,4,3,2,0,Page,higher
24,4,3,2,0,Page,DoD
25,4,3,2,0,Page,authority.
0,0,4,2,0,Page,3D
1,0,4,2,0,Page,Viewer
0,1,4,2,0,Page,HIGH
1,1,4,2,0,Page,MOBILITY
2,1,4,2,0,Page,DECONTAMINATION
3,1,4,2,0,Page,SYSTEM
0,2,4,2,0,Page,Left
1,2,4,2,0,Page,click
2,2,4,2,0,Page,any
3,2,4,2,0,Page,numbered
4,2,4,2,0,Page,highlight
5,2,4,2,0,Page,to
6,2,4,2,0,Page,view
7,2,4,2,0,Page,a
8,2,4,2,0,Page,description.
9,2,4,2,0,Page,Right
10,2,4,2,0,Page,click
11,2,4,2,0,Page,and
12,2,4,2,0,Page,drag
13,2,4,2,0,Page,to
14,2,4,2,0,Page,view
15,2,4,2,0,Page,the
16,2,4,2,0,Page,object
17,2,4,2,0,Page,from
18,2,4,2,0,Page,different
19,2,4,2,0,Page,angles.
20,2,4,2,0,Page,The
21,2,4,2,0,Page,previous
22,2,4,2,0,Page,and
23,2,4,2,0,Page,next
24,2,4,2,0,Page,page
25,2,4,2,0,Page,arrows
26,2,4,2,0,Page,may
27,2,4,2,0,Page,occasionally
28,2,4,2,0,Page,become
29,2,4,2,0,Page,locked
30,2,4,2,0,Page,until
31,2,4,2,0,Page,the
32,2,4,2,0,Page,current
33,2,4,2,0,Page,page's
34,2,4,2,0,Page,instruction
35,2,4,2,0,Page,is
36,2,4,2,0,Page,completed.
0,3,4,2,0,Page,3D
1,3,4,2,0,Page,Viewer
0,4,4,2,0,Page,DISTRIBUTION
1,4,4,2,0,Page,STATEMENT
2,4,4,2,0,Page,F:
3,4,4,2,0,Page,Further
4,4,4,2,0,Page,dissemination
5,4,4,2,0,Page,only
6,4,4,2,0,Page,as
7,4,4,2,0,Page,directed
8,4,4,2,0,Page,by
9,4,4,2,0,Page,Joint
10,4,4,2,0,Page,Project
11,4,4,2,0,Page,Manager
12,4,4,2,0,Page,for
13,4,4,2,0,Page,"Chemical,"
14,4,4,2,0,Page,"Biological,"
15,4,4,2,0,Page,"Radiological,"
16,4,4,2,0,Page,and
17,4,4,2,0,Page,Nuclear
18,4,4,2,0,Page,Protection
19,4,4,2,0,Page,(23
20,4,4,2,0,Page,February
21,4,4,2,0,Page,2021)
22,4,4,2,0,Page,or
23,4,4,2,0,Page,higher
24,4,4,2,0,Page,DoD
25,4,4,2,0,Page,authority.
0,0,5,2,0,Page,HIGH
1,0,5,2,0,Page,MOBILITY
2,0,5,2,0,Page,DECONTAMINATION
3,0,5,2,0,Page,SYSTEM
0,1,5,2,0,Page,Simulation
0,2,5,2,0,Page,Left
1,2,5,2,0,Page,click
2,2,5,2,0,Page,to
3,2,5,2,0,Page,interact
4,2,5,2,0,Page,directly
5,2,5,2,0,Page,with
6,2,5,2,0,Page,the
7,2,5,2,0,Page,simulation
8,2,5,2,0,Page,based
9,2,5,2,0,Page,on
10,2,5,2,0,Page,the
11,2,5,2,0,Page,provided
12,2,5,2,0,Page,instruction.
0,3,5,2,0,Page,Simulation
0,4,5,2,0,Page,DISTRIBUTION
1,4,5,2,0,Page,STATEMENT
2,4,5,2,0,Page,F:
3,4,5,2,0,Page,Further
4,4,5,2,0,Page,dissemination
5,4,5,2,0,Page,only
6,4,5,2,0,Page,as
7,4,5,2,0,Page,directed
8,4,5,2,0,Page,by
9,4,5,2,0,Page,Joint
10,4,5,2,0,Page,Project
11,4,5,2,0,Page,Manager
12,4,5,2,0,Page,for
13,4,5,2,0,Page,"Chemical,"
14,4,5,2,0,Page,"Biological,"
15,4,5,2,0,Page,"Radiological,"
16,4,5,2,0,Page,and
17,4,5,2,0,Page,Nuclear
18,4,5,2,0,Page,Protection
19,4,5,2,0,Page,(23
20,4,5,2,0,Page,February
21,4,5,2,0,Page,2021)
22,4,5,2,0,Page,or
23,4,5,2,0,Page,higher
24,4,5,2,0,Page,DoD
25,4,5,2,0,Page,authority.
0,0,0,0,1,TLO,System
1,0,0,0,1,TLO,Overview
0,0,0,1,1,Page,SYSTEM
1,0,0,1,1,Page,OVERVIEW
0,1,0,1,1,Page,HIGH
1,1,0,1,1,Page,MOBILITY
2,1,0,1,1,Page,DECONTAMINATION
3,1,0,1,1,Page,SYSTEM
0,2,0,1,1,Page,DISTRIBUTION
1,2,0,1,1,Page,STATEMENT
2,2,0,1,1,Page,F:
3,2,0,1,1,Page,Further
4,2,0,1,1,Page,dissemination
5,2,0,1,1,Page,only
6,2,0,1,1,Page,as
7,2,0,1,1,Page,directed
8,2,0,1,1,Page,by
9,2,0,1,1,Page,Joint
10,2,0,1,1,Page,Project
11,2,0,1,1,Page,Manager
12,2,0,1,1,Page,for
13,2,0,1,1,Page,"Chemical,"
14,2,0,1,1,Page,"Biological,"
15,2,0,1,1,Page,"Radiological,"
16,2,0,1,1,Page,and
17,2,0,1,1,Page,Nuclear
18,2,0,1,1,Page,Protection
19,2,0,1,1,Page,(23
20,2,0,1,1,Page,February
21,2,0,1,1,Page,2021)
22,2,0,1,1,Page,or
23,2,0,1,1,Page,higher
24,2,0,1,1,Page,DoD
25,2,0,1,1,Page,authority.
0,0,0,2,1,ELO,System
1,0,0,2,1,ELO,Overview
2,0,0,2,1,ELO,Objectives
0,0,1,2,1,Page,HIGH
1,0,1,2,1,Page,MOBILITY
2,0,1,2,1,Page,DECONTAMINATION
3,0,1,2,1,Page,SYSTEM
0,1,1,2,1,Page,System
1,1,1,2,1,Page,Overview
2,1,1,2,1,Page,Objectives
0,2,1,2,1,Page,By
1,2,1,2,1,Page,the
2,2,1,2,1,Page,end
3,2,1,2,1,Page,of
4,2,1,2,1,Page,this
5,2,1,2,1,Page,lesson
6,2,1,2,1,Page,you
7,2,1,2,1,Page,will
8,2,1,2,1,Page,be
9,2,1,2,1,Page,able
10,2,1,2,1,Page,to:
0,3,1,2,1,Page,Explain
1,3,1,2,1,Page,the
2,3,1,2,1,Page,mission
3,3,1,2,1,Page,of
4,3,1,2,1,Page,the
5,3,1,2,1,Page,HMDSExplain
6,3,1,2,1,Page,the
7,3,1,2,1,Page,capabilities
8,3,1,2,1,Page,of
9,3,1,2,1,Page,the
10,3,1,2,1,Page,HMDSIdentify
11,3,1,2,1,Page,the
12,3,1,2,1,Page,forms
13,3,1,2,1,Page,of
14,3,1,2,1,Page,decontamination
15,3,1,2,1,Page,solution
16,3,1,2,1,Page,the
17,3,1,2,1,Page,HMDS
18,3,1,2,1,Page,can
19,3,1,2,1,Page,deployIdentify
20,3,1,2,1,Page,the
21,3,1,2,1,Page,major
22,3,1,2,1,Page,components
23,3,1,2,1,Page,of
24,3,1,2,1,Page,the
25,3,1,2,1,Page,HMDS
0,4,1,2,1,Page,DISTRIBUTION
1,4,1,2,1,Page,STATEMENT
2,4,1,2,1,Page,F:
3,4,1,2,1,Page,Further
4,4,1,2,1,Page,dissemination
5,4,1,2,1,Page,only
6,4,1,2,1,Page,as
7,4,1,2,1,Page,directed
8,4,1,2,1,Page,by
9,4,1,2,1,Page,Joint
10,4,1,2,1,Page,Project
11,4,1,2,1,Page,Manager
12,4,1,2,1,Page,for
13,4,1,2,1,Page,"Chemical,"
14,4,1,2,1,Page,"Biological,"
15,4,1,2,1,Page,"Radiological,"
16,4,1,2,1,Page,and
17,4,1,2,1,Page,Nuclear
18,4,1,2,1,Page,Protection
19,4,1,2,1,Page,(23
20,4,1,2,1,Page,February
21,4,1,2,1,Page,2021)
22,4,1,2,1,Page,or
23,4,1,2,1,Page,higher
24,4,1,2,1,Page,DoD
25,4,1,2,1,Page,authority.
0,0,0,3,1,ELO,System
1,0,0,3,1,ELO,Warnings
0,0,1,3,1,Page,SAFETY
1,0,1,3,1,Page,WARNINGS
0,1,1,3,1,Page,HIGH
1,1,1,3,1,Page,MOBILITY
2,1,1,3,1,Page,DECONTAMINATION
3,1,1,3,1,Page,SYSTEM
0,2,1,3,1,Page,DISTRIBUTION
1,2,1,3,1,Page,STATEMENT
2,2,1,3,1,Page,F:
3,2,1,3,1,Page,Further
4,2,1,3,1,Page,dissemination
5,2,1,3,1,Page,only
6,2,1,3,1,Page,as
7,2,1,3,1,Page,directed
8,2,1,3,1,Page,by
9,2,1,3,1,Page,Joint
10,2,1,3,1,Page,Project
11,2,1,3,1,Page,Manager
12,2,1,3,1,Page,for
13,2,1,3,1,Page,"Chemical,"
14,2,1,3,1,Page,"Biological,"
15,2,1,3,1,Page,"Radiological,"
16,2,1,3,1,Page,and
17,2,1,3,1,Page,Nuclear
18,2,1,3,1,Page,Protection
19,2,1,3,1,Page,(23
20,2,1,3,1,Page,February
21,2,1,3,1,Page,2021)
22,2,1,3,1,Page,or
23,2,1,3,1,Page,higher
24,2,1,3,1,Page,DoD
25,2,1,3,1,Page,authority.
0,0,0,4,1,ELO,General
1,0,0,4,1,ELO,Safety
2,0,0,4,1,ELO,Warnings
0,0,1,4,1,Page,General
1,0,1,4,1,Page,Safety
2,0,1,4,1,Page,Warnings
0,1,1,4,1,Page,HIGH
1,1,1,4,1,Page,MOBILITY
2,1,1,4,1,Page,DECONTAMINATION
3,1,1,4,1,Page,SYSTEM
0,2,1,4,1,Page,WARNINGRemove
1,2,1,4,1,Page,all
2,2,1,4,1,Page,jewelry
3,2,1,4,1,Page,before
4,2,1,4,1,Page,starting
5,2,1,4,1,Page,work.
6,2,1,4,1,Page,Metal
7,2,1,4,1,Page,objects
8,2,1,4,1,Page,such
9,2,1,4,1,Page,as
10,2,1,4,1,Page,rings
11,2,1,4,1,Page,or
12,2,1,4,1,Page,tools
13,2,1,4,1,Page,can
14,2,1,4,1,Page,cause
15,2,1,4,1,Page,serious
16,2,1,4,1,Page,injuries
17,2,1,4,1,Page,and
18,2,1,4,1,Page,damage
19,2,1,4,1,Page,to
20,2,1,4,1,Page,equipment.
21,2,1,4,1,Page,WARNINGTo
22,2,1,4,1,Page,prevent
23,2,1,4,1,Page,injury
24,2,1,4,1,Page,to
25,2,1,4,1,Page,personnel
26,2,1,4,1,Page,and
27,2,1,4,1,Page,damage
28,2,1,4,1,Page,to
29,2,1,4,1,Page,"equipment,"
30,2,1,4,1,Page,disconnect
31,2,1,4,1,Page,the
32,2,1,4,1,Page,battery
33,2,1,4,1,Page,prior
34,2,1,4,1,Page,to
35,2,1,4,1,Page,maintenance
36,2,1,4,1,Page,actions.
37,2,1,4,1,Page,WARNINGTOXIC
38,2,1,4,1,Page,"CHEMICALS,"
39,2,1,4,1,Page,DIESEL
40,2,1,4,1,Page,"FUEL,"
41,2,1,4,1,Page,and
42,2,1,4,1,Page,VOLTAGE
43,2,1,4,1,Page,(12V
44,2,1,4,1,Page,DC)
45,2,1,4,1,Page,are
46,2,1,4,1,Page,used
47,2,1,4,1,Page,in
48,2,1,4,1,Page,the
49,2,1,4,1,Page,operation
50,2,1,4,1,Page,of
51,2,1,4,1,Page,the
52,2,1,4,1,Page,equipment.
53,2,1,4,1,Page,CARBON-MONOXIDE
54,2,1,4,1,Page,is
55,2,1,4,1,Page,present
56,2,1,4,1,Page,in
57,2,1,4,1,Page,the
58,2,1,4,1,Page,exhaust
59,2,1,4,1,Page,gases
60,2,1,4,1,Page,of
61,2,1,4,1,Page,the
62,2,1,4,1,Page,engine.
63,2,1,4,1,Page,WARNINGALWAYS
64,2,1,4,1,Page,wear
65,2,1,4,1,Page,military
66,2,1,4,1,Page,standard
67,2,1,4,1,Page,Personal
68,2,1,4,1,Page,Protective
69,2,1,4,1,Page,Equipment
70,2,1,4,1,Page,(PPE)
71,2,1,4,1,Page,when
72,2,1,4,1,Page,"handling,"
73,2,1,4,1,Page,"mixing,"
74,2,1,4,1,Page,and
75,2,1,4,1,Page,using
76,2,1,4,1,Page,decontamination
77,2,1,4,1,Page,solutions.
78,2,1,4,1,Page,WARNINGALWAYS
79,2,1,4,1,Page,wear
80,2,1,4,1,Page,hearing
81,2,1,4,1,Page,protection
82,2,1,4,1,Page,while
83,2,1,4,1,Page,operating
84,2,1,4,1,Page,within
85,2,1,4,1,Page,30
86,2,1,4,1,Page,feet
87,2,1,4,1,Page,of
88,2,1,4,1,Page,the
89,2,1,4,1,Page,Power
90,2,1,4,1,Page,Unit.
91,2,1,4,1,Page,WARNINGAn
92,2,1,4,1,Page,operator
93,2,1,4,1,Page,must
94,2,1,4,1,Page,be
95,2,1,4,1,Page,in
96,2,1,4,1,Page,attendance
97,2,1,4,1,Page,at
98,2,1,4,1,Page,all
99,2,1,4,1,Page,times
100,2,1,4,1,Page,during
101,2,1,4,1,Page,operation
102,2,1,4,1,Page,of
103,2,1,4,1,Page,the
104,2,1,4,1,Page,Power
105,2,1,4,1,Page,Unit.
106,2,1,4,1,Page,WARNINGMake
107,2,1,4,1,Page,certain
108,2,1,4,1,Page,that
109,2,1,4,1,Page,the
110,2,1,4,1,Page,fuel
111,2,1,4,1,Page,supply
112,2,1,4,1,Page,and
113,2,1,4,1,Page,fuel
114,2,1,4,1,Page,return
115,2,1,4,1,Page,lines
116,2,1,4,1,Page,are
117,2,1,4,1,Page,properly
118,2,1,4,1,Page,connected
119,2,1,4,1,Page,before
120,2,1,4,1,Page,operating
121,2,1,4,1,Page,the
122,2,1,4,1,Page,Power
123,2,1,4,1,Page,Unit.
0,3,1,4,1,Page,DISTRIBUTION
1,3,1,4,1,Page,STATEMENT
2,3,1,4,1,Page,F:
3,3,1,4,1,Page,Further
4,3,1,4,1,Page,dissemination
5,3,1,4,1,Page,only
6,3,1,4,1,Page,as
7,3,1,4,1,Page,directed
8,3,1,4,1,Page,by
9,3,1,4,1,Page,Joint
10,3,1,4,1,Page,Project
11,3,1,4,1,Page,Manager
12,3,1,4,1,Page,for
13,3,1,4,1,Page,"Chemical,"
14,3,1,4,1,Page,"Biological,"
15,3,1,4,1,Page,"Radiological,"
16,3,1,4,1,Page,and
17,3,1,4,1,Page,Nuclear
18,3,1,4,1,Page,Protection
19,3,1,4,1,Page,(23
20,3,1,4,1,Page,February
21,3,1,4,1,Page,2021)
22,3,1,4,1,Page,or
23,3,1,4,1,Page,higher
24,3,1,4,1,Page,DoD
25,3,1,4,1,Page,authority.
0,0,2,4,1,Page,General
1,0,2,4,1,Page,Safety
2,0,2,4,1,Page,Warnings
3,0,2,4,1,Page,(continued)
0,1,2,4,1,Page,HIGH
1,1,2,4,1,Page,MOBILITY
2,1,2,4,1,Page,DECONTAMINATION
3,1,2,4,1,Page,SYSTEM
0,2,2,4,1,Page,WARNINGOnly
1,2,2,4,1,Page,use
2,2,2,4,1,Page,authorized
3,2,2,4,1,Page,fuel.
4,2,2,4,1,Page,WARNINGKeep
5,2,2,4,1,Page,decontaminant
6,2,2,4,1,Page,containers
7,2,2,4,1,Page,closed
8,2,2,4,1,Page,and
9,2,2,4,1,Page,stored
10,2,2,4,1,Page,in
11,2,2,4,1,Page,a
12,2,2,4,1,Page,"cool,"
13,2,2,4,1,Page,dry
14,2,2,4,1,Page,place.
15,2,2,4,1,Page,Mix
16,2,2,4,1,Page,only
17,2,2,4,1,Page,in
18,2,2,4,1,Page,accordance
19,2,2,4,1,Page,with
20,2,2,4,1,Page,directions
21,2,2,4,1,Page,for
22,2,2,4,1,Page,use.
23,2,2,4,1,Page,WARNINGKeep
24,2,2,4,1,Page,clear
25,2,2,4,1,Page,of
26,2,2,4,1,Page,the
27,2,2,4,1,Page,exhaust
28,2,2,4,1,Page,stack
29,2,2,4,1,Page,during
30,2,2,4,1,Page,operation
31,2,2,4,1,Page,of
32,2,2,4,1,Page,the
33,2,2,4,1,Page,Power
34,2,2,4,1,Page,Unit.
0,3,2,4,1,Page,DISTRIBUTION
1,3,2,4,1,Page,STATEMENT
2,3,2,4,1,Page,F:
3,3,2,4,1,Page,Further
4,3,2,4,1,Page,dissemination
5,3,2,4,1,Page,only
6,3,2,4,1,Page,as
7,3,2,4,1,Page,directed
8,3,2,4,1,Page,by
9,3,2,4,1,Page,Joint
10,3,2,4,1,Page,Project
11,3,2,4,1,Page,Manager
12,3,2,4,1,Page,for
13,3,2,4,1,Page,"Chemical,"
14,3,2,4,1,Page,"Biological,"
15,3,2,4,1,Page,"Radiological,"
16,3,2,4,1,Page,and
17,3,2,4,1,Page,Nuclear
18,3,2,4,1,Page,Protection
19,3,2,4,1,Page,(23
20,3,2,4,1,Page,February
21,3,2,4,1,Page,2021)
22,3,2,4,1,Page,or
23,3,2,4,1,Page,higher
24,3,2,4,1,Page,DoD
25,3,2,4,1,Page,authority.
0,0,0,5,1,ELO,Specific
1,0,0,5,1,ELO,Safety
2,0,0,5,1,ELO,Warnings
0,0,1,5,1,Page,Specific
1,0,1,5,1,Page,Safety
2,0,1,5,1,Page,Warnings
0,1,1,5,1,Page,HIGH
1,1,1,5,1,Page,MOBILITY
2,1,1,5,1,Page,DECONTAMINATION
3,1,1,5,1,Page,SYSTEM
0,2,1,5,1,Page,WARNINGPersonnel
1,2,1,5,1,Page,using
2,2,1,5,1,Page,the
3,2,1,5,1,Page,HMDS
4,2,1,5,1,Page,must
5,2,1,5,1,Page,be
6,2,1,5,1,Page,trained
7,2,1,5,1,Page,in
8,2,1,5,1,Page,the
9,2,1,5,1,Page,basic
10,2,1,5,1,Page,principles
11,2,1,5,1,Page,of
12,2,1,5,1,Page,decontamination
13,2,1,5,1,Page,in
14,2,1,5,1,Page,order
15,2,1,5,1,Page,to
16,2,1,5,1,Page,mitigate
17,2,1,5,1,Page,the
18,2,1,5,1,Page,risks
19,2,1,5,1,Page,of
20,2,1,5,1,Page,performing
21,2,1,5,1,Page,these
22,2,1,5,1,Page,inherently
23,2,1,5,1,Page,dangerous
24,2,1,5,1,Page,operations.
25,2,1,5,1,Page,WARNINGThe
26,2,1,5,1,Page,HMDS
27,2,1,5,1,Page,uses
28,2,1,5,1,Page,pressurized
29,2,1,5,1,Page,air
30,2,1,5,1,Page,(~100
31,2,1,5,1,Page,psi)
32,2,1,5,1,Page,as
33,2,1,5,1,Page,an
34,2,1,5,1,Page,energy
35,2,1,5,1,Page,source
36,2,1,5,1,Page,to
37,2,1,5,1,Page,both
38,2,1,5,1,Page,create
39,2,1,5,1,Page,and
40,2,1,5,1,Page,propel
41,2,1,5,1,Page,decontamination
42,2,1,5,1,Page,solutions
43,2,1,5,1,Page,onto
44,2,1,5,1,Page,a
45,2,1,5,1,Page,target.
46,2,1,5,1,Page,Before
47,2,1,5,1,Page,"operation,"
48,2,1,5,1,Page,always
49,2,1,5,1,Page,verify
50,2,1,5,1,Page,that
51,2,1,5,1,Page,all
52,2,1,5,1,Page,hoses
