page,elo,tlo,pid,type,name
1,22,5,60336,Page,Line 1 Discharge Operation 
0,23,5,,ELO,Line 2 Discharge Operation 
1,23,5,60337,Page,Line 2 Discharge Operation 
0,24,5,,ELO,Using the De-Icer
1,24,5,60119,Page,Using the De-Icer
0,25,5,,ELO,Checks on Learning
1,25,5,60239,Page,Question 1 of 5
2,25,5,60451,Page,Question 2 of 5
3,25,5,60452,Page,Question 3 of 5
4,25,5,60453,Page,Question 4 of 5
5,25,5,60454,Page,Question 5 of 5
0,0,6,,TLO,Slurry Mixing
0,1,6,60294,Page,Slurry Mixing
0,2,6,,ELO,Slurry Mixing Objectives
1,2,6,60295,Page,Slurry Mixing Objectives
0,3,6,,ELO,Slurry Mixing Warnings
1,3,6,60402,Page,Slurry Mixing Warnings
2,3,6,60408,Page,Slurry Mixing Warnings (continued)
0,4,6,,ELO,Preparation of the Power Unit for Mixing Slurry
1,4,6,60400,Page,Preparation of the Power Unit for Mixing Slurry
0,5,6,,ELO,"Quantity Requirements for STB, Anti-foam, and Anti-set."
1,5,6,60467,Page,Quantity Requirements for STB and HTH
0,6,6,,ELO,Configuration of the Tanks and Hoses
1,6,6,60401,Page,Configuration of the Tanks and Hoses
2,6,6,60473,Page,Configuration of the Tanks and Hoses
3,6,6,60407,Page,Configuration of the Tanks and Hoses (continued)
0,7,6,,ELO,Slurry Mixing for Specified Slurry
1,7,6,60409,Page,Slurry Mixing for Specified Slurry
0,8,6,,ELO,Dispensing Slurry
1,8,6,60412,Page,Dispensing Slurry with Spray Gun
0,9,6,,ELO,Checks on Learning
1,9,6,60240,Page,Question 1 of 5
2,9,6,60455,Page,Question 2 of 5
3,9,6,60456,Page,Question 3 of 5
4,9,6,60457,Page,Question 4 of 5
5,9,6,60458,Page,Question 5 of 5
0,0,7,,TLO,Maintaining the System
0,1,7,60344,Page,Maintaining the System
0,2,7,,ELO,Maintaining the System Objectives
1,2,7,60345,Page,Maintaining the System Objectives
0,3,7,,ELO,Maintaining the System Warnings
1,3,7,60346,Page,Maintaining the System Warnings
0,4,7,,ELO,Tank Cleaning Procedure
1,4,7,60348,Page,Tank Cleaning Procedure
0,5,7,,ELO,Winterization and Freeze Prevention Procedures
1,5,7,60349,Page,Winterization and Freeze Prevention Procedures
2,5,7,60470,Page,Winterizing
0,6,7,,ELO,Checks on Learning
1,6,7,60242,Page,Question 1 of 5
2,6,7,60459,Page,Question 2 of 5
3,6,7,60460,Page,Question 3 of 5
4,6,7,60461,Page,Question 4 of 5
5,6,7,60462,Page,Question 5 of 5
0,0,8,,TLO,Troubleshooting
0,1,8,60358,Page,Troubleshooting
0,2,8,,ELO,Troubleshooting Objectives
1,2,8,60359,Page,Troubleshooting Objectives
0,3,8,,ELO,No Power to the PLC
1,3,8,60137,Page,No Power to the PLC
0,4,8,,ELO,Programmable Logic Controller Error Codes
1,4,8,60074,Page,Programmable Logic Controller Error Codes
2,4,8,60136,Page,PLC Fault Codes
0,5,8,,ELO,Stuck Valve (Open or Shut)
1,5,8,60135,Page,Stuck Valve (Open or Shut)
0,6,8,,ELO,System Will Not Build Pressure
1,6,8,60134,Page,System Will Not Build Pressure
0,7,8,,ELO,No Flow or Pressure
1,7,8,60133,Page,No Flow or Pressure
0,8,8,,ELO,HMDS Power Unit Will Not Start
1,8,8,60130,Page,HMDS Power Unit Will Not Start
0,9,8,,ELO,Monitor is not Responding
1,9,8,60118,Page,Monitor is not Responding
0,10,8,,ELO,Inconsistent Flow from the Spray Bars
1,10,8,60113,Page,Inconsistent Flow from the Spray Bars
0,11,8,,ELO,Problems and Corrective Actions
1,11,8,60394,Page,Problems and Corrective Actions
2,11,8,,Learning Step,"When the green Start button is pressed, the engine does NOT turn on"
2,11,8,60073,Page,"When the green Start button is pressed, the engine does NOT turn on"
3,11,8,,Learning Step,Air to system shuts off
3,11,8,60362,Page,Air to system shuts off
4,11,8,,Learning Step,While the system is running the “Charging” indicator light comes on and stays on 
4,11,8,60363,Page,While the system is running the “Charging” indicator light comes on and stays on 
5,11,8,,Learning Step,While the system is running the “Oil Pressure” indicator light comes on and stays on
5,11,8,60367,Page,While the system is running the “Oil Pressure” indicator light comes on and stays on
6,11,8,,Learning Step,The system shuts itself down during operations – the “Oil Pressure” indicator light is on
6,11,8,60378,Page,The system shuts itself down during operations – the “Oil Pressure” indicator light is on
7,11,8,,Learning Step,While the system is running the “Alternator” indicator light comes on and stays on 4
7,11,8,60372,Page,While the system is running the “Alternator” indicator light comes on and stays on 4
8,11,8,,Learning Step,The system shuts itself down during operations – the “Over Heat” light is on 
8,11,8,60379,Page,The system shuts itself down during operations – the “Over Heat” light is on 
9,11,8,,Learning Step,The air compressor “Temperature” gauge needle goes above 318 degrees and stalls unit
9,11,8,60380,Page,The air compressor “Temperature” gauge needle goes above 318 degrees and stalls unit
10,11,8,,Learning Step,The air compressor “Pressure” gauge needle is over 115 psi the system shuts down
10,11,8,60381,Page,The air compressor “Pressure” gauge needle is over 115 psi the system shuts down
11,11,8,,Learning Step,The system shuts down/cuts off during operation
11,11,8,60382,Page,The system shuts down/cuts off during operation
12,11,8,,Learning Step,"System runs rough, does not idle smoothly"
12,11,8,60383,Page,"System runs rough, does not idle smoothly"
13,11,8,,Learning Step,"When conducting spray operations, the discharge line surges"
13,11,8,60384,Page,"When conducting spray operations, the discharge line surges"
14,11,8,,Learning Step,"Pump cycles unevenly, or skip-cycles"
14,11,8,60385,Page,"Pump cycles unevenly, or skip-cycles"
15,11,8,,Learning Step,Pump cycles rapidly – faster than usual
15,11,8,60386,Page,Pump cycles rapidly – faster than usual
16,11,8,,Learning Step,When attempting to draft the pump will not prime
16,11,8,60387,Page,When attempting to draft the pump will not prime
17,11,8,,Learning Step,Fluid leaks detected – fluid appears to be coming from the VMDS power module
17,11,8,60388,Page,Fluid leaks detected – fluid appears to be coming from the VMDS power module
18,11,8,,Learning Step,Fluid leaks detected – fluid appears to be leaking from the tank(s)
18,11,8,60389,Page,Fluid leaks detected – fluid appears to be leaking from the tank(s)
19,11,8,,Learning Step,During operation a ‘pulsating hissing noise’ is heard from the pump area of the VMDS power module
19,11,8,60390,Page,During operation a ‘pulsating hissing noise’ is heard from the pump area of the VMDS power module
20,11,8,,Learning Step,A small trickle of water is seen coming from the pump compartment
20,11,8,60391,Page,A small trickle of water is seen coming from the pump compartment
21,11,8,,Learning Step,Line ‘bucks’ when discharging foam
21,11,8,60392,Page,Line ‘bucks’ when discharging foam
22,11,8,,Learning Step,Water is discharged from discharge air line(s)
22,11,8,60393,Page,Water is discharged from discharge air line(s)
0,12,8,,ELO,Checks on Learning
1,12,8,60243,Page,Question 1 of 5
2,12,8,60463,Page,Question 2 of 5
3,12,8,60464,Page,Question 3 of 5
4,12,8,60465,Page,Question 4 of 5
5,12,8,60466,Page,Question 5 of 5
0,0,9,,TLO,Contact
0,1,9,60234,Page,Contact Information
