PageID,TextDisplayValue
52480,Hull and Inflatable Tube Boat Length (with Engine Guard) ..............................  31 ft 6 in. (9.6 m)Hull Length ...................................................................  26 ft (7.9 m)Hull Width ....................................................................  10 ft 2 in. (3.1 m)Estimated Draft at Max Load ..................................... 1 ft 6 in. (45.72 cm)Hull Material ................................................................  AluminumInflatable Tube Material .............................................  Polyurethane
52512,Override
52512,Question: 3 of 8
52512,A/H
52516,2 seconds
52480,"Electrical System Battery, Type ............................................................. 12 Voltage (V) Marine BatteryBattery, Number ....................................................... 5 Circuit Breakers:1x50A ......................................................................... Bilge Pumps 3x80A ......................................................................... House, Port, Starboard Batteries1x40A ......................................................................... Spare"
52480,"Controls Throttle ...................................................... ElectronicPropulsion ................................................. Forward, Neutral, and ReverseSteering .....................................................  Hydraulic"
52480,Capacities Fuel  240 gal. .................................................................  (908.5 L)Oil Reservoir (on Engine) .............................................  2 gal. (7.57 L)Oil Reservoir (on Boat) .................................................  3 gal. (11.35 L)Gearcase Lubricant (with Reservoir) ? Port ...............  44.7 oz (1321.9 mL)Gearcase Lubricant (with Reservoir) ? Starboard .....  45.6 oz (1348.5 mL)
52516,3 seconds
52516,4 seconds
52516,Question: 8 of 8
52480,"Engine Model ...................................................  E250ZType ......................................................  6-cylinder, 2-strokeDisplacement ......................................  210 cu. In. (3441 cc)Peak Output ........................................  250 HP @ 5500 RPMIdle Speed ............................................  450-550 RPMMaximum ............................................  RPM 6000 RPMRotation ?Port .....................................  CounterclockwiseRotation ? Starboard ..........................  ClockwiseFuel Type .............................................  Gasoline, Unleaded"
52482,CORRECT
52482,"Weight SpecificationsBoat Payload Capacity with Full Tank  3,815 lbs (1731 kg)"
52482,INCORRECT
52496,Port Engine Battery Switch: Port engine control system
52516,5 seconds
52480,"Trailer Model ...................................................  WS8M-180Axles ....................................................  3 AxlesGross Vehicle Weight Rating ............  18,000 lbs (8,165 kg)Tire Size ...............................................  245/75R16Material ...............................................  Aluminum"
52480,"Weights Trailer ..............................................................................  3,000 lbs (1360.77 kg)Boat (Engines ? no fuel) .................................................  8,004 lbs (3630.55 kg)Boat (Engines ? Full Fuel, No trailer) ............................  9,564 lbs (4338 kg)Boat Payload Capacity with ? Tank .............................  4,842 lbs (2197 kg)Boat Payload Capacity with Full Tank ..........................  3,815 lbs (1731 kg)Outboard Engine ............................................................  570 lbs (258.54 kg)Total Hoisting Weight ....................................................  15,390 lbs (6980.78 kg)Medium Tactical Vehicle Trailer Transport (boat with 240 gal (908 L) of fuel on trailer) ...............  12,564 lbs (5699 kg)Light Medium Tactical Vehicle Trailer Transport (boat with 82 gal (310 L) of fuel on trailer) .................  11,537 lbs (5233 kg)Gross Vehicle Weight(with trailer, full payload, and full tank of fuel) .........  16,379 lbs (7429 kg)"
59930,Yellow circle in a black circle
59930,Question: 6 of 10
59930,Black circle in a yellow circle
52480,"Fuel Tank Gauge ? Tank ? 25gal. (95 L) ........................  163 lbs (74 kg)? Tank ? 82 gal. (310 L) .....................  533 lbs (242 kg)? Tank ? 161 gal. (609 L) ...................  1,046 lbs (474 kg)Full Tank ? 240 gal. (908 L) ................  1,560 lbs (707 kg)"
52481,64 gal. (240 L)
52481,200 gal. (757 L)
52481,240 gal. (908 L)
52481,Question: 1 of 2
52481,300 gal. (1135 L)
52481,CORRECT
52481,"Fuel Tank Gauge SpecificationsFull Tank ? 240 gal. (908 L)        1,560 lbs (707 kg)"
52481,INCORRECT
52482,"3,815 lbs (1,731 kg)"
52482,"4,842 lbs (2197 kg)"
52482,"8,004 lbs (3630.55 kg)"
52482,Question: 2 of 2
52482,"9,564 lbs (4338 kg)"
52496,Starboard Engine Battery Switch: Starboard engine control system
52496,House Battery Switch: Boat electrical system
52496,Question: 1 of 2
52496,Bilge Battery Switch: Bilge pump electrical system
52496,CORRECT
52496,There is no Bilge Battery Switch.  The 24 HOUR POWER 50 AMP supplies(un-tripped) or disables (tripped) power to bilge pumps electrical circuit.
52496,INCORRECT
52497,Question: 2 of 2
52497,CORRECT
52497,The Fuel Gauge is located on the cabin console above the throttle.
52497,INCORRECT
52499,Aft Transom
52499,Starboard Bow
52499,Console
52499,Console
52488,"Spotlight Operation Procedure The following steps will instruct you on how to install, operate, and remove a Spotlight: Connect the spotlight plug to a receptacle.Turn the hand spotlight operating switch to the ON position.Turn the spotlight operating switch to the OFF position.Disconnect spotlight plug from receptacle."
52501,"Microphone and Control Panel Operation Procedure The Loud Speaker and Siren is a three-tone siren system featuring WAIL, YELP, and AIRHORN, or A/H, functions. The following steps will instruct you on how to operate this system: Ensure that the microphone (Item 3) is connected to the Siren control panel (Item 1).Select the HI/LO volume button (Item 2) to adjust the volume of your output. NOTE: Depressing the microphone button will override all other Siren functions. When the microphone button is released, the currently selected Siren function will continue.      3. Depress the microphone button (Item 4) and speak into microphone. NOTE: Depressing the override button during the WAIL or YELP functions will change the pitch and tone of the Siren.      4. Select the WAIL (Figure 2, Item 1), YELP (Figure 2, Item 3) or A/H (Figure 2, Item 2) button on the Siren control panel          (Figure 2, Item 4) to operate the desired function."
52506,"Command Microphone Remote VHF Operation Procedure The following steps will instruct you on how to operate the Command Microphone Remote VHF: Powering ON the Command Microphone Remote VHF Press and hold the ?PWR? knob (Item 1) until the radio turns on.Push the ?UP? or ?DOWN? channel keys (Item 2) to select the desired channel. NOTE: Each push of the power/squelch/volume dial toggles the mode between volume adjustment, squelch adjustment, and channel selection. Adjusting the Volume on the Command Microphone Push the ?VOL? dial (Item 2) to select the volume adjustment mode and open the ?Volume? window.Rotate the ?VOL? dial (Item 2) until noise or audio from the speaker is at the desired level.Push the ?ENT? key (Item 1) to set the volume level. NOTE: If no key operation is performed for approximately 5 seconds, the command microphone sets the selected level and returns to normal mode."
52502,"Command Microphone Remote Transmission/Reception Procedure The following steps will instruct you on how to operate the Command Microphone Remote?s Transmission and Reception functions: Press the ?Push-To-Talk? button (Item 1) on the microphone. The ?TX? indicator will appear on the screen.Speak slowly and clearly into the microphone.When the transmission is finished, release the ?Push-To-Talk? button.When a message is received, the ?BUSY? indicator will appear on the screen while the message is being received. NOTE: When the ?Push-To-Talk? button is held, the message transmission time limit is five minutes. After five minutes, the radio will automatically go into receive mode. To transmit again, the ?Push-To-Talk? button must first be released then pressed again. Transmissions cannot be sent while the radio is in weather, or ?WX?, mode. If the Command Microphone is in ?WX? mode press the ?CH/WX? soft key (Item 2) to return to the previously selected channel (Item 1)."
52504,"Command Microphone Softkeys Operation Procedure Various functions can be assigned to the softkeys located on the Command Microphone. The following steps will instruct you on how to select and program the softkeys: Softkey Function SelectionPush the ?LEFT? (Item 1) or ?RIGHT? keys (Item 3) to scroll to the desired function.Push the softkey (Item 2) below the desired function to select.When a key function is selected, the key icon will be displayed above the softkey.   Softkey ProgrammingPush the ?MENU? key (Figure 5, Item 1) to open the menu screen.Rotate dial (Figure 5, Item 2) until the ?CONFIG? icon appears on screen.Push the softkey (Figure 5, Item 3) below the ?CONFIG? icon to select.Rotate the dial to highlight the key assignment menu. Push the ?ENT? key (Figure 5, Item 4).Rotate the dial to highlight the softkey menu. Push the ?ENT? key.Rotate the dial to highlight the desired softkey to be programmed. Push the ?ENT? key.Rotate the dial to highlight the desired softkey function. Push the ?ENT? key.Push the ?BACK? key.Repeat steps 6-10 for the remaining softkeys to be programmed.Push the ?MENU? key to return to the home screen.  "
52509,"The RIB has four receptacles for spotlights. One is located on aft transom, two are located on the console, and one on starboard bow."
52509,INCORRECT
52512,Microphone
52512,HI/LO Volume
52505,"National Oceanic and Atmospheric Administration (NOAA) Weather Channel Selection The following steps will instruct you on how to select and operate the National Oceanic and Atmospheric Administration, or NOAA, Weather Channel: Push the ?CH/WX? softkey (Item 4) to select the weather channel. The ?WX? icon (Item 3) will appear on the screen.Push the ?UP? (Item 1) or DOWN? keys (Item 2) to select the desired NOAA weatherchannel.To exit from any NOAA weather channel, press the ?CH/WX? key. The radio will return to the last selected operating channel. NOTE: The ten NOAA weather channels broadcast continuous weather reports and severe weather alerts. They are only available within the United States and Canada."
52507,Command Microphone: Emergency Channel 16 Channel 16 is the distress and safety channel used for emergency communications. Channel 16 should be routinely monitored during operations. The following steps will instruct you on how to select and monitor Channel 16: Push the ?16/C? button (Item 1) to select Channel 16.Perform any emergency broadcast instructions.Push the ?CH/WX? softkey (Item 2) to return to the previously selected channel.
52503,"VHF Radio: Powering On & Transmission Procedures The following steps will instruct you on how to power on and transmit a message using the VHF Radio: Powering On the VHF RadioPress and hold the ?PWR? knob (Item 3) until the radio turns on.Turn the ?SQL? dial (Item 4) fully counter-clockwise.Turn the ?VOL? dial (Item 5) up until noise or audio from the speaker is at the desired level.Turn the ?SQL? dial clockwise until undesirable noise disappears.Push the ?UP? (Item 1) or ?DOWN? (Item 2) channel keys to select the desired channel. VHF Radio TransmissionPress the ?Push-To-Talk? button (Item 1) on the microphone. The ?TX? indicator will appear on the Screen.Speak slowly and clearly into the microphone.When the transmission is finished, release the ?Push-To-Talk? button. NOTE: When the ?Push-To-Talk? button is held, the message transmission time limit is five minutes. After five minutes, the radio will automatically go into receive mode. To transmit again, the ?Push-To-Talk? button must first be released then pressed again."
52508,"VHF Radio: Emergency & Distress Procedures Emergency Channel 16Channel 16 is the distress and safety channel used for emergency communications. Channel 16 should be routinely monitored during operation.   Push the ?16/C? button (Item 3) to select channel 16.Perform emergency broadcast instructions.Push the ?UP ? (Item 1) or DOWN? (Item 2) channel to return to the previously selected channel. Transmitting A Distress CallA distress call should only be made when the boat or personnel are in distress and require immediate assistance. Never make a distress call if the boat or personnel are not in an emergency. Lift cover (Item 1) and hold down ?DISTRESS? button (Item 2) for three seconds to transmit a distress call. NOTE: Once the distress button is pressed channel 70 is automatically selected and the distress call is transmitted.The distress call is automatically transmitted every 3.5 to 4.5 minutes until an acknowledgment is received. Cancelling A Distress CallWhen a distress call has been transmitted and not acknowledged, push the ?CANCEL? button (Item 1).Push the ?CONTINUE? button (Item 1).Push the ?FINISH? button (Item 1).   NOTE: After selecting the ?FINISH? button channel 16 is automatically selected."
52511,2
52511,3
52511,4
52511,Question: 1 of 8
52511,5
52511,CORRECT
52511,The RIB is equipped with four receptacles for connecting a spotlight.
52511,INCORRECT
52509,Question: 2 of 8
52509,CORRECT
52512,CORRECT
52512,"Depressing the microphone button will override all other siren functions. When the microphone button is released, the currently selected siren function will continue."
52512,INCORRECT
52510,WAIL
52510,YELP
52510,AIRHORN
52510,Question: 4 of 8
52510,FOGHORN
52510,CORRECT
52510,"The Loudspeaker and Siren is a three-tone siren system featuring WAIL, YELP, and AIRHORN, or A/H, functions."
52510,INCORRECT
52513,3 minutes
52513,4 minutes
52513,5 minutes
52513,Question: 5 of 8
52513,6 minutes
52513,CORRECT
52513,"When the ?Push-To-Talk? button is held, the message transmission time limit is 5 minutes. After 5 minutes, the radio will automatically go into receive mode."
52513,INCORRECT
52514,Every 3 to 4 minutes until acknowledged.
52514,Every 3.5 to 4.5 minutes until acknowledged.
52514,Every 4 to 5 minutes until acknowledged.
52514,Question: 6 of 8
52514,Every 4.5 to 5.5 minutes until acknowledged.
52514,CORRECT
52514,Once the distress button is pressed channel 70 is automatically selected and the distress call is transmitted.  The distress call is automatically transmitted every 3.5 to 4.5 minutes until an acknowledgment is received.
52514,INCORRECT
52515,Channel 16
52515,Channel 17
52515,Channel 60
52515,Question: 7 of 8
52515,Channel 70
52515,CORRECT
52515,Channel 16 is the distress and safety channel used for emergency communications. Channel 16 should be routinely monitored during operation.
52515,INCORRECT
52516,CORRECT
52516,Hold down the ?DISTRESS? button for 3 seconds to transmit a distress call.
52516,INCORRECT
59917,Tap
59917,Drag
59935,Zoom In
59935,Zoom Out
59935,Tap
59925,White
59925,Orange
59925,Red
59925,Question: 1 of 10
59925,Gray
59925,CORRECT
59925,A white light represents normal operations of the sensors. A red or gray light indicates an issue.
59925,INCORRECT
59926,"During start-up. Allow start-up to complete, then shut off."
59926,"During plotting. Allow navigation to complete, then shut off."
59926,"When checking the weather forecast. Allow the forecast to display, then shut off."
59926,Question: 2 of 10
59926,"When using the radar. Switch to the home screen, then shut off."
59926,CORRECT
59926,Never power off the Multi-Function Display during start up. Doing so risks causing issues with the device's internal programming.
59926,INCORRECT
59927,Remote
59927,Gloves
59927,Stylus Pen
59927,Question: 3 of 10
59927,Fingers
59927,CORRECT
59927,"The Multi-Functional Display screen is made of glass. Sharp or textured objects, such as stylus pens or gloves, should not be used to operate the device."
59927,INCORRECT
59928,Built-in maps
59928,Built-in GPS
59928,Built-in inertial measuring system
59928,Question: 4 of 10
59928,Radar
59928,CORRECT
59928,The Multi-Function Display is equipped with a plotter function which receives its position data from a built in GPS receiver.
59928,INCORRECT
59929,NU means North is at the top of the screen.
59929,NU means current compass heading is at the top of the screen.
59929,HU means North is at the top of the screen.
59929,Question: 5 of 10
59929,HU means current compass heading is at the top of the screen.
59929,CORRECT
59929,The orientation of the plotter can be adjusted to be shown in a ?head-up? or ?north-up? orientation while the boat is underway. A ?north-up? orientation displays the plotter chart with north at the top of the screen. A ?head-up? orientation displays the plotter chart with the current compass heading at the top of the screen.
59929,INCORRECT
59930,Green circle in a black circle
59930,Red circle in a yellow circle
59930,CORRECT
59930,The default look of a point is a black circle within a yellow circle.
59930,INCORRECT
59931,FALSE
59931,TRUE
59931,Question: 7 of 10
59931,CORRECT
59931,"If a boat is veers off course and does not need to return to the original course, it can be navigated back to the point from its current position."
59931,INCORRECT
59932,Question: 8 of 10
59932,CORRECT
59932,The TX icon should be highlighted in yellow if not in stand-by.
59932,INCORRECT
59933,Reduces radar exposure in the RIB
59933,Preserves the life of the house batteries
59933,Preserves the life of the radar
59933,Question: 9 of 10
59933,Preserves the life of the multi-function display
59933,CORRECT
59933,"If the radar is not required, switch the TX icon to stand-by mode to preserve the life of the radar."
59933,INCORRECT
59934,Assists in separating objects near the sea bottom from the sea bottom itself
59934,Expands the sea bottom and any object near the bottom
59934,Assists in identifying the composition of the sea bottom
59934,Question: 10 of 10
59934,Expands the zoom function to help identify a hard or soft sea bottom
59934,CORRECT
59934,The bottom lock function can help with separating objects near the sea bottom from the sea bottom itself.
59934,INCORRECT
52583,Introduction
52583,Keep in Mind
52565,1-2 minutes
52548,"Pre-Start Procedures The following steps will instruct you on how to execute Pre-Start Procedures for the RIB: WARNING: To avoid falling from the sides, rear, or top of the boat, always maintain three points of contact ? such as both feet and one hand ? when climbing in, out, and on the boat. Failure to comply may result in injury. Secure and stow all equipment.Remove the retaining strap (Item 1) and raise the dive mast (Item 2) to a vertical position.Rotate the lock lever (Item 3) to approximately 90? and lock the mast (Item 2) into position.Rotate the lock lever (Item 1) to approximately 90? and unlock the antenna (Item 2).Raise the antenna (Item 2) to a vertical position.Rotate the lock lever (Item 1) to approximately 90? and lock the antenna (Item 2) into position.Remove the radome canvas cover.Raise the radome mast into an upright position and replace the radome canvas cover.Engage the two turnbuckle fasteners and secure the radome mast.Verify that the port and starboard engine throttle levers are in the NEUTRAL position.Turn port, starboard, and house battery switches to Position 1.Verify that the house, 24 hour power, port engine, and starboard engine alternator breakers are in the UN-TRIPPED position. NOTE: The breaker is in the UN-TRIPPED position when the yellow RESET arm is in line with the breaker housing. If the yellow RESET arm is at a 30? angle from the breaker housing and the word ?RESET? is visible, the breaker is in the TRIPPED position.    13. Ensure that all control switches are in the ON position. WARNING: Vapor from fuel is heavier than air and will flow to the lowest part of the boat. Ventilate bilges for at least five minutes prior to starting engines. Failure to comply may result in damage to equipment, injury, or death.    14. Turn the fuel tank vent blower switch (Figure 6, Item 1) to the ON position.   15. Turn the navigation lights switch to the RUNNING position.   16. Set the command microphone to the pre-determined channel (WP 0019).   17. Using the Multi-Function Display, plot the mission?s points and routes (WP 0016).   18. Ensure the port and starboard scupper drains are in the downward position.   19. Verify the starboard compartment fuel valves and aft compartment fuel valves are in OPEN the position. NOTE: Fuel valves are in the OPEN position when the valves are parallel with the fuel lines.    20. Turn the ignition key to the ON position (Item 1)."
52583,Corrosion Prevention and Care (CPC)
52583,PMCS Intervals
52583,"Introduction To ensure that the RIB is ready for operation at all times, it must be inspected on a regular basis to find and correct problems before they result in damage, failure, or injury to personnel.  The PMCS table (WP 0054) contains systematic instructions that describe how to care for, inspect, and service the RIB to keep it in good condition and to prevent breakdowns.  It is your responsibility to adhere to all cautions, warnings, and notes within the PMCS procedures."
52583,"Keep in Mind Keep it clean: Dirt, grease, oil, and debris only get in the way and may cover up a serious problem. Always clean as you work. Bolts, nuts, and screws: Check for loose, missing, bent, or broken fasteners. Also, look for chipped paint, bare metal, or rust around bolt heads. Welds: Look for loose or chipped paint, rust, or gaps where parts are welded together."
52583,"Corrosion Prevention and Care (CPC) Corrosion Prevention and Control (CPC) is a measure taken to ensure the boat and its parts are protected from deterioration.  Corrosion damage in metals can be seen, depending on the metal, as tarnishing, pitting, fogging, surface residue, and/or cracking. Plastics, composites, and rubbers can also degrade, caused by exposure to heat or light, and will appear as cracking, softening, swelling, and/or breaking to CPC"
52583,"PMCS Intervals To easily remember how frequently PMCS should be performed, use the acronym ?BDAMA?. BDAMA stands for: BEFORE:        Once before operationDURING:       Once during operationAFTER:           Once after operationMONTHLY:   Once every monthANNUAL:      Once every 12 months"
52587,WARNING Fluid spills may be slippery and cause falls. Refer to local procedures and plans for preventing and responding to fluid spills or leaks. Immediately clean up any spilled fluid.Fluid spills may be slippery and cause falls. Refer to local procedures and plans for preventing and responding to fluid spills or leaks. Immediately clean up any spilled fluid.
52587,"Class I Seepage of fluid (as indicated by wetness or discoloration) not great enough to form drops. When operating with Class I leaks, continue to check fluid levels as required in the PMCS."
52587,"Class II A Class II Leaks involves leakage of fluid great enough to form drops, but not enough to cause drops to drip from the item being inspected. When operating with Class II leaks, continue to check fluid levels as required in the PMCS."
52587,Class III Leakage of fluid great enough to form drops that fall from item being inspected. Immediately report all Class III leaks to your Supervisor.
52587,Warning
52587,Class I
52587,Class II
52587,Class III
52550,One
52550,Two
52550,Three
52550,Question: 1 of 2
52550,Four
52550,CORRECT
52550,"For safety, always use three points of contact - such as both feet and one hand - when climbing in, on, or out of the RIB."
52550,INCORRECT
52549,A/B/D/M/A
52549,B/D/A/M/A
52549,B/A/D/M/A
52549,Question: 2 of 2
52549,B/M/A/D/A
52549,CORRECT
52549,"To easily remember how frequently PMCS should be performed, use the acronym ?BDAMA?: BEFORE:  Once before operationDURING: Once during operationAFTER:  Once after operationMONTHLY:  Once every monthANNUAL:  Once every 12 months"
52549,INCORRECT
52565,2-3 minutes
52565,Question: 2 of 6
52565,3-4 minutes
52555,"Start Procedures The following steps will instruct you on how to execute Start Procedures for the RIB: Attach the emergency stop safety lanyard to the boat operator.Push the port engine start button to start the engine.Have an assistant observe the cooling water flow from the engine water pump indicator. If no water is observed, shut down the engines and refer to troubleshooting.Observe the engine monitor for any fault codes.Push the starboard engine start button and repeat steps 3 and 4.If engines fail to start after three or more attempts, refer to troubleshooting.Allow engines to idle in NEUTRAL for one to two minutes.Alert the crew and, using the throttle lever, place the port engine in FORWARD idle, REVERSE idle, and then back to NEUTRAL, ensuring that the engine engages and the indicator lights illuminate. Repeat this process for the starboard engine.Alert the crew and get the boat underway."
52558,"A pop-up and audible warning will remain in effect until acknowledged by the operator by touching the pop-up area. As long as the fault is active, the pop-up may be re-initiated by touching the right-hand side of the ?Outboard Status Indicator? area of the ?Status Bar?. System faults are generated by the outboard engines and throttle levers. When an active or current fault is broadcast on the network by the throttle levers or outboard engine, the display will: Take no action unless the display is in ?Diagnostic? or ?System mode?. In those instances, the faults will be displayed.Indicate an existing warning by highlighting an ?Outboard Status Indicator? on the status bar (Item 1).Initiate a pop-up with the appropriate information displayed. The pop-up color will be yellow. In addition, the appropriate Outboard Status Indicator in the Status Bar will be highlighted; orInitiate a pop-up with the appropriate information displayed. In addition, the Audible Alarm Drive Output will be set to sound an audible user alert. The pop-up color will be red. In addition, the appropriate outboard status indicator in the status bar will be highlighted."
52657,Introduction
52657,Warnings 1
52657,Warnings 2
52657,Warnings 3
52657,Caution
52657,If Winterizing In Water
52657,If Winterizing Out of Water
52657,"Introduction The winterization mode is used to prepare the engines for long term storage. During winterization, extra oil is used to coat the internal engine components. The winterization procedure can also be used to prime the oiling system."
52657,"WARNING Ensure engine is operated in well ventilated area. DO NOT idle engine without proper ventilation.BE ALERT for exhaust poisoning symptoms. They are: Headache, Dizziness, Sleepiness, Loss of muscular control.If you see another person with exhaust poisoning symptoms:Remove person from area.Expose to fresh air.Keep person warm.DO NOT permit physical exercise.Administer Cardiopulmonary Resuscitation (CPR) if necessary.Notify a medic."
52657,"WARNING Ensure that all personnel operating the outboard engine, as well as those within the surrounding area, wear appropriate PPE. Failure to comply may result in injury."
52657,"WARNING Do not service any part of the propeller while the outboard engine is running. Always shift the outboard engine to the NEUTRAL position, and turn the key switch to the OFF position.Ensure the outboard engine and prop area are clear of people and objects before starting or operating the outboard engine. Blades can be sharp and the propeller can continue to turn even after the outboard engine is OFF.Failure to follow these warnings may result in injury or death."
52657,"CAUTION Engines must be trimmed to the vertical, or ?Down?, position to flush the engine. Make sure the cooling system is drained completely before tilting the engine out of the vertical position. Failure to comply may result in damage to equipment."
52657,If Winterizing In Water Place the throttle levers in the NEUTRAL positionEnsure that the water intake screens are completely submerged.
52657,"If Winterizing Out of Water Place a suitable drain pan below the gear case during winterization and throughout the duration of storage to avoid potential oil spills.Place the throttle levers in the NEUTRAL position.Trim engines to the vertical, or ?Down?, position on level ground; andThread a garden hose into the flushing port, place a suitable drain pan under the propeller, and turn the water on."
52564,CORRECT
52564,"Before starting the engine, be sure to attach the emergency lanyard to the boat operator to prevent a run away boat incident."
52564,INCORRECT
52565,Less than 1 minute
52560,"Winterization Procedures The following steps will instruct you on how to properly winterize the RIB: Perform starting procedures for the desired engine to be winterized.Push the menu button (Item 1).Tap the settings icon (Item 1).Tap the winterize tab (Item 2).Tap the desired engine icon (Item 1) to be winterized.Tap the ?Winterize Engine? icon (Item 3).Follow the on-screen instructions to complete winterization.   NOTE: Leave the engine in the vertical position long enough to completely drain. Extra engine oil is used during the winterization procedure. Some excess oil may appear on the bottom of the gear case. This is normal.        8. If winterizing out of water, turn the water off and remove the garden hose from the flushing port.     9. Repeat all steps for the opposite engine."
52561,NOTEThe VSM is equipped with a backlight that turns on after a button is pressed.
52563,"Shutdown Procedures The following steps will instruct you on how to shutdown the RIB: Place the throttle levers in the NEUTRAL position. NOTE: Conditions such as:  shallow waterexpected tidal changes that result in engine contact with the groundunderwater hazardsremoving the boat from the water All require raising the engines to the high trim or trailer position. This is not required if mooring the boat in an area where shallow water, tidal changes that result in engine contacting the bottom, or underwater hazards are not present.        2. Using the trim control, adjust the engines to the appropriate trim level.     3. Place the start/stop switches (Item 2) in the STOP position.     4. Turn the ignition key (Item 1) to the OFF position.     5. Place the port and starboard battery switches in the OFF position"
52564,The boat operator
52564,The radio operator
52564,The searchlight operator
52564,Question: 1 of 6
52564,The emergency tie-down
52565,CORRECT
52565,"Before shifting into gear, be sure to let the engines run in NEUTRAL for at least 1-2 minutes."
52565,INCORRECT
52567,Pop-up and audible warning (active until acknowledged)
52567,Pop-up warning (active until acknowledged)
52567,Audible warning (active until acknowledged)
52567,Question: 3 of 6
52567,"Pop-up or audible warning, based on settings  (active until acknowledged)"
52567,CORRECT
52567,"During a system fault, the engine monitor will display a pop-up with the appropriate information. In addition, the Audible Alarm Drive Output will be set to sound an audible user alert."
52567,INCORRECT
52566,To prime the oil system
52566,To make oil changes easier
52566,For long term storage
52566,Question: 4 of 6
52566,To prepare for winter weather
52576,100 gallons
52566,CORRECT
52566,The engines should be winterized to prime the oil system and for long term storage of the RIB.
52566,INCORRECT
52568,House battery and voltage levels
52568,Starboard engine battery and voltage levels
52568,Port engine battery and voltage levels
52568,Question: 5 of 6
52568,Spare battery and voltage levels
52568,CORRECT
